policy_loss,fps,nupdates,total_timesteps,value_loss,explained_variance,policy_entropy,ep_len_mean,ep_reward_mean
-0.11949818581342697,216,1900,267759,0.015720309689641,0.9896138496696949,3.9764978885650635,1001.0,24575.182667440004
-0.016098638996481895,216,2000,281859,0.007956390269100666,0.9938073749653995,3.9508702754974365,1001.0,25760.71197602
-0.035811953246593475,216,2100,295959,0.008697855286300182,0.9941394901834428,3.918903350830078,1001.0,27500.538206460005
-0.0367945171892643,216,2200,310059,0.014921188354492188,0.9916838817298412,3.9043006896972656,1001.0,28796.54439719
-0.025437358766794205,217,2300,324159,0.015326002612709999,0.9892200836911798,3.875102996826172,1001.0,29136.083024740004
0.031541913747787476,217,2400,338259,0.011310117319226265,0.9925519712269306,3.870037317276001,1001.0,29136.743630740006
-0.1390022188425064,217,2500,352359,0.0050177183002233505,0.9959943359717727,3.846634864807129,1001.0,29056.416708529996
-0.15001626312732697,217,2600,366459,0.014621014706790447,0.9903200035914779,3.8201894760131836,1001.0,29676.51488698
0.0607885904610157,217,2700,380559,0.009209436364471912,0.993685367051512,3.8003435134887695,1001.0,30261.552773170002
-0.024903761222958565,217,2800,394659,0.006363879889249802,0.9946138025261462,3.7822608947753906,1001.0,30535.118682249995
-0.22483840584754944,217,2900,408759,0.002713865600526333,0.9982093105791137,3.7447474002838135,1001.0,30778.17035197
-0.14549219608306885,217,3000,422859,0.008297495543956757,0.9941677320748568,3.7037694454193115,1001.0,32857.857423940004
-0.0267176516354084,217,3100,436959,0.013446435332298279,0.9916156269609928,3.6782236099243164,1001.0,33077.4364606
-0.18572697043418884,217,3200,451059,0.0069907247088849545,0.996470857411623,3.6419293880462646,1001.0,33853.3357938
-0.1355585902929306,217,3300,465159,0.019071495160460472,0.9906992288306355,3.627945899963379,1001.0,34837.031260899996
0.01214757189154625,217,3400,479259,0.016517596319317818,0.9889248115941882,3.6061086654663086,1001.0,35747.78517072
0.03616928681731224,217,3500,493359,0.0042978376150131226,0.9943183604627848,3.6054115295410156,1001.0,34192.61181979
-0.1535777598619461,217,3600,507459,0.011717857792973518,0.9912078939378262,3.5837697982788086,1001.0,31808.35900801
-0.07732704281806946,217,3700,521559,0.020018311217427254,0.9855505768209696,3.577822685241699,1001.0,31226.661571199995
0.2908861041069031,217,3800,535659,0.02758157253265381,0.9827869012951851,3.577118158340454,1001.0,29997.81557039
-0.17716801166534424,217,3900,549759,0.015550021082162857,0.9883068352937698,3.5595128536224365,1001.0,30110.804274300008
