explained_variance,nupdates,policy_entropy,policy_loss,value_loss,total_timesteps,fps,ep_len_mean,ep_reward_mean
0.036927103996276855,6600,1.6948599815368652,-0.25444716215133667,20.98309898376465,930459,294,1000.0,46106.25188577001
-0.02704596519470215,6700,1.2900104522705078,-0.12662264704704285,20.358131408691406,944559,294,1000.0,53780.04054213999
0.008689701557159424,6800,0.8847882747650146,-0.3646520674228668,20.508764266967773,958659,294,1000.0,62053.95329389
-0.006549358367919922,6900,0.46756792068481445,0.02781430259346962,20.175872802734375,972759,294,1000.0,70885.39998711
0.015208244323730469,7000,0.03664290904998779,-0.0534541979432106,20.085683822631836,986859,294,1000.0,79946.39709481999
0.005734860897064209,7100,-0.343864381313324,-0.16496479511260986,18.18478012084961,1000959,294,1000.0,88614.65114871999
2.5033950805664062e-06,7200,-0.6553658246994019,-0.29033181071281433,16.408103942871094,1015059,294,1000.0,96482.86443724
-0.0028983354568481445,7300,-0.9801694750785828,-0.04452212154865265,14.514223098754883,1029159,295,1000.0,103276.87098164
0.003512442111968994,7400,-1.2490838766098022,-0.27091071009635925,13.173434257507324,1043259,295,1000.0,109008.10499190999
0.0008145570755004883,7500,-1.5041102170944214,0.04548756033182144,11.752056121826172,1057359,295,1000.0,113687.65201810001
-0.0016723871231079102,7600,-1.7305092811584473,0.25162452459335327,10.781237602233887,1071459,295,1000.0,117232.50158881002
-0.00831294059753418,7700,-1.893167495727539,-0.2634675204753876,10.029569625854492,1085559,295,1000.0,119621.67948455998
-0.000512242317199707,7800,-2.0662002563476562,-0.15848395228385925,9.203011512756348,1099659,295,1000.0,121265.03740199002
-0.002576112747192383,7900,-2.217019557952881,-0.033914901316165924,8.489364624023438,1113759,295,1000.0,122422.58421294
0.001123189926147461,8000,-2.3574483394622803,-0.12379179894924164,7.979408264160156,1127859,295,1000.0,123221.13516219
0.0028739571571350098,8100,-2.437910795211792,0.12345986068248749,7.533031463623047,1141959,295,1000.0,123639.71267972
-4.744529724121094e-05,8200,-2.5188145637512207,-0.21707338094711304,7.2000532150268555,1156059,295,1000.0,123957.86741378
0.0054779052734375,8300,-2.6093647480010986,0.01915176585316658,6.863419532775879,1170159,295,1000.0,124165.05548109999
0.0032611489295959473,8400,-2.700923442840576,0.19271716475486755,6.636067867279053,1184259,295,1000.0,124352.47993901999
