value_loss,total_timesteps,policy_entropy,fps,policy_loss,nupdates,explained_variance,ep_reward_mean,ep_len_mean
0.001045198063366115,566083,-3.570319175720215,195,0.2883620262145996,33300,0.8280175626277924,1394.7927023,1000.0
0.0007219475810416043,567783,-3.600442409515381,195,0.2249101996421814,33400,-0.18969810009002686,1398.4108700800002,1000.0
0.027266673743724823,569483,-3.603130340576172,195,0.032590046525001526,33500,-0.04067373275756836,1391.5911089900003,1000.0
0.00045079391566105187,571183,-3.606290817260742,195,-0.02581162564456463,33600,0.7919827252626419,1397.0124020300002,1000.0
0.002476140856742859,572883,-3.602952241897583,195,-0.25897902250289917,33700,0.09434205293655396,1396.8207863999999,1000.0
0.00018576315778773278,574583,-3.6856741905212402,195,-0.04331720620393753,33800,0.8494332134723663,1396.26761308,1000.0
0.0004428364336490631,576283,-3.717522382736206,195,-0.16188299655914307,33900,-0.5757718086242676,1400.60429303,1000.0
0.013239557854831219,577983,-3.7482237815856934,195,-0.18855121731758118,34000,0.0841071605682373,1399.6964583199995,1000.0
0.00038374069845303893,579683,-3.79754900932312,195,0.27956798672676086,34100,0.7451613545417786,1400.51473084,1000.0
0.0001919495698530227,581383,-3.8513951301574707,195,0.5137473940849304,34200,0.8917548656463623,1403.87048343,1000.0
0.0002250777033623308,583083,-3.8461434841156006,195,0.6546393036842346,34300,0.9687973540276289,1409.0625521,1000.0
0.004762188531458378,584783,-3.86226749420166,195,0.008588941767811775,34400,0.37944871187210083,1409.68883796,1000.0
0.017415739595890045,586483,-3.8797149658203125,195,-0.3583621382713318,34500,-0.2266753911972046,1409.7177060500003,1000.0
6.996979209361598e-05,588183,-3.8837742805480957,195,-0.20916378498077393,34600,0.9696075730025768,1415.1870395600001,1000.0
0.00019092371803708375,589883,-3.896946430206299,195,-0.008765812031924725,34700,-5.462088584899902,1408.46380748,1000.0
7.33603083062917e-05,591583,-3.9220633506774902,195,0.20736372470855713,34800,0.5745299160480499,1399.4468604200001,1000.0
0.0006737183430232108,593283,-3.922518491744995,195,-0.3650984764099121,34900,0.7702202647924423,1405.2881557399999,1000.0
0.01666286587715149,594983,-3.970633029937744,195,-0.3369346261024475,35000,-92.94857788085938,1397.8347677800002,1000.0
1.3691545973415487e-05,596683,-3.9590134620666504,195,0.14381517469882965,35100,0.7590720057487488,1399.4461588299998,1000.0
0.002246166579425335,598383,-3.962268590927124,195,-1.1116251945495605,35200,-0.5160661935806274,1398.58244041,1000.0
0.00711494917050004,600083,-3.9391651153564453,196,0.335755854845047,35300,-0.41705524921417236,1396.1102208199998,1000.0
0.00179329514503479,601783,-3.934769630432129,195,-0.2634989619255066,35400,0.02641308307647705,1406.8843747899998,1000.0
0.00402588676661253,603483,-3.9286060333251953,195,0.30040091276168823,35500,0.07565343379974365,1401.1482665099998,1000.0
0.0001310553925577551,605183,-3.9277048110961914,196,-0.08820538967847824,35600,0.8263346701860428,1393.2109996199997,1000.0
4.295039161661407e-06,606883,-3.9551892280578613,195,0.327578067779541,35700,0.9826545584946871,1388.43803606,1000.0
0.00036374881165102124,608583,-4.010344505310059,196,-0.3232722282409668,35800,0.6543454527854919,1382.4166499799999,1000.0
0.000802659778855741,610283,-4.044065475463867,195,-0.24781350791454315,35900,0.4038028120994568,1369.85012682,1000.0
0.012655321508646011,611983,-4.048301696777344,195,-0.43471676111221313,36000,0.05534517765045166,1360.31812902,1000.0
0.024188755080103874,613683,-4.0753560066223145,196,-0.4059988558292389,36100,-2.837862968444824,1354.6638732000001,1000.0
3.902943717548624e-05,615383,-4.083995819091797,195,0.25730100274086,36200,0.9730861764401197,1350.0115428,1000.0
0.000919183949008584,617083,-4.107146739959717,196,-0.1929933726787567,36300,0.04729408025741577,1345.1926424699998,1000.0
0.007389367558062077,618783,-4.162932872772217,196,-0.24444179236888885,36400,-1.6503138542175293,1342.07661474,1000.0
0.0119036715477705,620483,-4.177211284637451,195,0.10269062966108322,36500,-0.01953744888305664,1336.1514325300002,1000.0
0.0016855598660185933,622183,-4.169095516204834,196,-0.32457461953163147,36600,0.7899570614099503,1335.46042689,1000.0
5.130979116074741e-05,623883,-4.222650051116943,196,0.5725717544555664,36700,0.9462687633931637,1326.32468177,1000.0
0.0016549641732126474,625583,-4.222019195556641,196,0.37090542912483215,36800,-3.2990245819091797,1325.58815776,1000.0
5.599549331236631e-05,627283,-4.236696243286133,196,-0.23584768176078796,36900,0.9241457581520081,1320.44517874,1000.0
0.02164367400109768,628983,-4.225153923034668,196,0.3133295476436615,37000,0.06821376085281372,1316.57511165,1000.0
0.001322662690654397,630683,-4.24619197845459,196,0.06342651695013046,37100,0.6751347482204437,1309.01557649,1000.0
0.0001131274038925767,632383,-4.22138786315918,196,-0.13520249724388123,37200,0.9459486752748489,1313.34863389,1000.0
5.851722016814165e-05,634083,-4.250399112701416,196,0.16933639347553253,37300,0.970887428149581,1310.40092711,1000.0
0.0005189288640394807,635783,-4.266854763031006,196,0.02723356895148754,37400,0.1530088186264038,1305.9287556400002,1000.0
0.01844003051519394,637483,-4.290408611297607,196,0.5283732414245605,37500,-4.73530912399292,1294.6151719300003,1000.0
0.0011138449190184474,639183,-4.368934154510498,196,-0.7997419834136963,37600,0.7044886946678162,1288.75602644,1000.0
0.0010398937156423926,640883,-4.422451972961426,196,0.009717576205730438,37700,-1.2862744331359863,1292.5238025099998,1000.0
0.0001226676831720397,642583,-4.44938850402832,196,-0.3043542802333832,37800,0.6714718639850616,1284.3751254899998,1000.0
3.755753277800977e-05,644283,-4.460343360900879,196,-0.10617872327566147,37900,0.9658814035356045,1275.90662342,1000.0
0.018589433282613754,645983,-4.5010762214660645,196,-0.35059303045272827,38000,-8.183565139770508,1265.3806446899998,1000.0
0.0004591711622197181,647683,-4.553247451782227,196,-0.06048305332660675,38100,0.8193526715040207,1259.2434776799998,1000.0
4.906079266220331e-05,649383,-4.547578811645508,196,-0.07972975075244904,38200,0.9046696349978447,1254.6938464300001,1000.0
1.954089748323895e-05,651083,-4.563553333282471,196,-1.0275347232818604,38300,0.9887276254594326,1251.19146869,1000.0
3.300120079074986e-05,652783,-4.587152004241943,196,-0.7152824997901917,38400,0.9486412443220615,1241.82512706,1000.0
0.015603658743202686,654483,-4.598564147949219,196,0.4162014126777649,38500,0.07377785444259644,1246.3079108599998,1000.0
0.0006729142041876912,656183,-4.572831630706787,196,0.019925447180867195,38600,0.7094398736953735,1259.01738977,1000.0
0.003413193626329303,657883,-4.60508918762207,196,-0.24262210726737976,38700,-1.241748571395874,1265.81562652,1000.0
0.00014675104466732591,659583,-4.625118255615234,196,-0.1775924414396286,38800,0.7704878598451614,1271.4436964,1000.0
0.0008576326072216034,661283,-4.6112871170043945,196,-0.15273280441761017,38900,0.7352114319801331,1288.0540537599998,1000.0
0.023478493094444275,662983,-4.644814491271973,196,-0.046684630215168,39000,0.1438484787940979,1319.17984697,1000.0
0.0016368983779102564,664683,-4.656184673309326,196,0.43651095032691956,39100,0.030875742435455322,1316.57776753,1000.0
0.00042485404992476106,666383,-4.682377338409424,196,0.17770785093307495,39200,-0.3800550699234009,1316.3674939500002,1000.0
0.005276130046695471,668083,-4.7305426597595215,196,0.08534300327301025,39300,0.3860524296760559,1314.02055526,1000.0
0.0011238603619858623,669783,-4.732579231262207,196,-0.30606770515441895,39400,0.269234836101532,1314.77187139,1000.0
0.01826285943388939,671483,-4.742502689361572,196,0.3210275173187256,39500,0.09060066938400269,1329.04906108,1000.0
2.0435385522432625e-05,673183,-4.743062496185303,196,-0.2722778916358948,39600,0.9737785197794437,1334.0367632100001,1000.0
0.0005675998982042074,674883,-4.776240825653076,196,-0.004283905494958162,39700,0.7969077527523041,1344.6104040499997,1000.0
2.5195216949214227e-05,676583,-4.799149513244629,196,0.3105950355529785,39800,0.9799092076718807,1338.3015828799998,1000.0
0.0019965439569205046,678283,-4.814028263092041,196,-0.43274086713790894,39900,0.004049479961395264,1336.88639979,1000.0
0.0038182137068361044,679983,-4.872751235961914,196,0.06639517098665237,40000,nan,1345.2195705700003,1000.0
