explained_variance,total_timesteps,value_loss,fps,nupdates,policy_entropy,ep_reward_mean,ep_len_mean
0.5961015522480011,325500,0.003180617233738303,98,9300,12.56789779663086,1963.63629981,301.0
0.07996809482574463,329000,0.0016290931962430477,98,9400,12.652547836303711,1939.55454982,301.0
-0.07673513889312744,332500,0.0013277878751978278,98,9500,12.739673614501953,1942.54953063,301.0
0.585474282503128,336000,0.0031582191586494446,98,9600,12.831804275512695,1924.7327606400002,301.0
0.8529166430234909,339500,0.00222896970808506,98,9700,12.91180419921875,1906.8713718599997,301.0
0.42468440532684326,343000,0.002027058508247137,98,9800,12.987699508666992,1903.9347225200002,301.0
0.482300341129303,346500,0.002312435070052743,98,9900,13.090309143066406,1879.8702946300002,301.0
0.883779987692833,350000,0.0020655712578445673,98,10000,13.193000793457031,1851.31489032,301.0
-0.050984859466552734,353500,0.003344545839354396,98,10100,13.27619743347168,1836.0518992999996,301.0
0.29069650173187256,357000,0.000849836622364819,98,10200,13.364166259765625,1814.95967959,301.0
0.8139609694480896,360500,0.001697393017821014,98,10300,13.469023704528809,1794.0514534899994,301.0
0.39034581184387207,364000,0.0018813227070495486,98,10400,13.56405258178711,1787.5747251999994,301.0
-0.726502537727356,367500,0.0038716443814337254,98,10500,13.651638984680176,1782.1332966499997,301.0
0.19759994745254517,371000,0.003493824740871787,98,10600,13.730335235595703,1771.8372319899997,301.0
-0.08012127876281738,374500,0.001197582925669849,98,10700,13.818849563598633,1756.19134593,301.0
0.17114406824111938,378000,0.0016723029548302293,98,10800,13.906328201293945,1746.05422128,301.0
0.8050424307584763,381500,0.002851552562788129,98,10900,13.9725980758667,1739.7989235499997,301.0
0.2826533317565918,385000,0.0008680042228661478,98,11000,14.051188468933105,1736.3287493599998,301.0
0.11388379335403442,388500,0.0022645534481853247,98,11100,14.130270004272461,1721.81465651,301.0
0.6465502679347992,392000,0.0043079787865281105,98,11200,14.244248390197754,1708.8175856000003,301.0
0.14969712495803833,395500,0.0023928952869027853,98,11300,14.314329147338867,1698.3074218200002,301.0
0.2718324065208435,399000,0.002686715219169855,98,11400,14.390141487121582,1683.7207035300003,301.0
0.49416226148605347,402500,0.004483135882765055,98,11500,14.497577667236328,1668.2265012900004,301.0
0.18279069662094116,406000,0.004579736385494471,98,11600,14.57451057434082,1652.8134968,301.0
0.2960602641105652,409500,0.002228893805295229,98,11700,14.655357360839844,1632.12871351,301.0
0.06893688440322876,413000,1.0812044143676758,98,11800,14.765199661254883,1601.02289046,301.0
