nupdates,value_loss,policy_loss,policy_entropy,explained_variance,total_timesteps,fps,ep_len_mean,ep_reward_mean
2800,7.597354888916016,0.23841369152069092,7.808850288391113,0.0430869460105896,226719,217,1000.0,79737.51758680999
2900,7.363685607910156,0.27618762850761414,7.690808296203613,0.051158249378204346,234819,217,1000.0,82553.87382889999
3000,7.5670623779296875,-0.0391518697142601,7.573185920715332,-0.03745555877685547,242919,217,1000.0,85677.59624263998
3100,7.318540096282959,0.07907736301422119,7.492812156677246,-0.00045430660247802734,251019,218,1000.0,88704.38658615001
3200,7.421868324279785,0.0022549033164978027,7.392453193664551,-0.028788447380065918,259119,218,1000.0,91847.79367819996
3300,7.299443244934082,-0.16607284545898438,7.263655662536621,-0.0019097328186035156,267219,218,1000.0,94606.41068572
3400,7.4652204513549805,-0.09566962718963623,7.165915489196777,0.005052328109741211,275319,218,1000.0,97091.59522559999
3500,7.331350803375244,0.06410239636898041,7.056580543518066,-0.0138930082321167,283419,218,1000.0,99512.54622786
3600,7.320406913757324,-0.10397432744503021,6.968878746032715,-0.002787351608276367,291519,219,1000.0,101743.18334134002
3700,7.425341606140137,0.2688100337982178,6.860537528991699,-0.04640007019042969,299619,219,1000.0,103839.04163751999
3800,7.163619041442871,-0.22669243812561035,6.775162696838379,-0.003328680992126465,307719,219,1000.0,106111.98923207
3900,7.110706329345703,0.3091903328895569,6.699085235595703,-0.02447509765625,315819,219,1000.0,107970.97156387
4000,7.040659427642822,-0.2053006887435913,6.631808280944824,-0.006242156028747559,323919,220,1000.0,109585.37020973001
4100,6.874513149261475,0.05623440444469452,6.562399864196777,-0.10673654079437256,332019,220,1000.0,111249.90865972001
4200,6.8867292404174805,-0.06929527223110199,6.428745269775391,0.020692646503448486,340119,220,1000.0,112596.4114132
4300,6.914525032043457,0.10741350799798965,6.358201503753662,-0.0031213760375976562,348219,220,1000.0,113786.50462542003
4400,6.797211647033691,0.051211755722761154,6.238198757171631,-0.006943345069885254,356319,220,1000.0,114827.81207067
4500,6.704192161560059,0.014521043747663498,6.200607776641846,0.0014878511428833008,364419,220,1000.0,115707.81701047
4600,6.782356262207031,0.076883465051651,6.141738414764404,-0.02556633949279785,372519,220,1000.0,116380.14482618003
4700,6.628251552581787,0.02379043772816658,6.084327220916748,-0.00024020671844482422,380619,221,1000.0,117020.52981287002
4800,6.541277885437012,-0.22051915526390076,6.066346645355225,0.008249402046203613,388719,221,1000.0,117512.95180582
4900,6.494035243988037,0.18187034130096436,6.038952350616455,-0.0059316158294677734,396819,221,1000.0,118108.64276941
5000,6.398609638214111,0.000656910240650177,5.964370250701904,-0.0034427642822265625,404919,222,1000.0,118511.76205192001
5100,6.438302040100098,-0.2727174460887909,5.933395862579346,0.014984607696533203,413019,222,1000.0,118974.26684618002
5200,6.5139265060424805,-0.5474158525466919,5.88834285736084,-0.014960885047912598,421119,223,1000.0,119478.63128877999
5300,6.350619316101074,0.02043609693646431,5.820198059082031,0.01743263006210327,429219,223,1000.0,119771.24267956002
5400,6.295290946960449,0.17476893961429596,5.783015727996826,0.010113000869750977,437319,223,1000.0,120118.37507863
5500,6.381133556365967,0.10533040761947632,5.741459369659424,-0.008880853652954102,445419,224,1000.0,120476.07519484003
5600,6.42196798324585,-0.07837298512458801,5.780888080596924,0.0033205151557922363,453519,224,1000.0,120489.00846465
5700,6.368212699890137,0.00740215927362442,5.807507038116455,-0.004860877990722656,461619,224,1000.0,120685.48669199999
5800,6.256874084472656,-0.049481745809316635,5.777651786804199,-0.035944581031799316,469719,225,1000.0,120920.23672605002
5900,6.275958061218262,-0.2659150958061218,5.7355732917785645,0.00943988561630249,477819,225,1000.0,121167.72844190997
6000,6.379884719848633,-0.204695925116539,5.72384786605835,-0.013742923736572266,485919,225,1000.0,121479.72202677
6100,6.323548316955566,0.14139853417873383,5.726131439208984,-0.027118802070617676,494019,225,1000.0,121683.0941086
6200,6.3732500076293945,0.04183652624487877,5.713398456573486,-0.0009849071502685547,502119,226,1000.0,121948.85087067999
