,cliprange,cliprange_vf,ent_coef,gamma,lam,learning_rate,max_grad_norm,n_steps,nminibatches,noptepochs,vf_coef,mean_auc,std_auc,mean_fer,std_fer
76,0.2,0.2,0.1,0.99,0.95,0.00037,0.5,32,4,4,1.0,6386.37,3475.71,11012.96,5724.37
77,0.2,0.2,0.1,0.99,0.95,0.00037,0.5,32,4,4,0.5,6234.45,3065.07,10285.1,3506.97
78,0.2,0.2,0.0,0.99,0.95,0.00019,0.5,32,4,4,0.25,6204.18,3683.53,13064.14,5807.92
79,0.2,0.2,0.001,0.99,0.95,0.00019,0.5,32,4,4,1.0,6060.27,4274.12,13833.19,10364.77
80,0.2,0.2,0.01,0.99,0.95,0.00019,0.5,32,4,4,0.75,6021.42,3564.24,11456.74,5565.74
81,0.2,0.2,0.1,0.99,0.95,0.00027,0.5,32,4,4,1.0,5956.83,3249.58,10207.41,3545.54
82,0.2,0.2,0.0,0.99,0.95,0.00027,0.5,32,4,4,1.0,5931.0,3433.57,11072.04,5466.03
83,0.2,0.2,0.1,0.99,0.95,0.00072,0.5,32,4,4,0.5,5713.46,2447.53,7433.3,3251.65
84,0.2,0.2,0.0,0.99,0.95,0.00027,0.5,32,4,4,0.25,5661.01,3249.23,10990.67,9281.75
85,0.2,0.2,0.01,0.99,0.95,0.00019,0.5,32,4,4,0.5,5584.15,3127.48,10348.95,4119.43
86,0.2,0.2,0.1,0.99,0.95,0.00027,0.5,32,4,4,0.25,5555.72,3007.22,10741.32,4491.3
87,0.2,0.2,0.1,0.99,0.95,0.001,0.5,32,4,4,0.5,5529.36,2238.18,5891.24,4118.28
88,0.2,0.2,0.1,0.99,0.95,0.00019,0.5,32,4,4,1.0,5452.87,3095.49,10675.73,4888.47
89,0.2,0.2,0.0,0.99,0.95,0.00014,0.5,32,4,4,0.5,5192.44,2977.42,11355.59,4673.29
90,0.2,0.2,0.01,0.99,0.95,0.00019,0.5,32,4,4,0.25,5081.87,2901.64,10496.43,4277.04
91,0.2,0.2,0.01,0.99,0.95,0.00019,0.5,32,4,4,1.0,4952.71,3157.73,10019.04,4132.72
92,0.2,0.2,0.001,0.99,0.95,0.00019,0.5,32,4,4,0.75,4887.16,2492.23,9097.56,2669.02
93,0.2,0.2,0.0,0.99,0.95,0.00019,0.5,32,4,4,0.5,4791.55,2635.82,10081.2,3839.65
94,0.2,0.2,0.1,0.99,0.95,0.001,0.5,32,4,4,0.25,4756.81,1613.98,4682.57,1497.53
95,0.2,0.2,0.1,0.99,0.95,0.00019,0.5,32,4,4,0.75,4722.81,2419.98,8634.41,3110.35
96,0.2,0.2,0.001,0.99,0.95,0.00014,0.5,32,4,4,1.0,4677.76,2745.29,9034.72,4665.16
97,0.2,0.2,0.1,0.99,0.95,0.00019,0.5,32,4,4,0.25,4655.27,2366.27,8748.72,3067.74
98,0.2,0.2,0.0,0.99,0.95,0.00014,0.5,32,4,4,0.75,4605.45,2499.88,8820.7,3506.98
99,0.2,0.2,0.1,0.99,0.95,0.00019,0.5,32,4,4,0.5,4572.97,2237.41,8306.36,2783.84
100,0.2,0.2,0.0,0.99,0.95,0.00014,0.5,32,4,4,1.0,4489.13,2525.21,9583.41,4417.53
101,0.2,0.2,0.1,0.99,0.95,0.00014,0.5,32,4,4,1.0,4463.72,2135.7,7942.81,2591.33
102,0.2,0.2,0.01,0.99,0.95,0.00014,0.5,32,4,4,0.5,4414.63,2261.48,7755.83,3037.66
103,0.2,0.2,0.01,0.99,0.95,0.00014,0.5,32,4,4,1.0,4399.92,2645.33,9483.16,4339.11
104,0.2,0.2,0.001,0.99,0.95,0.00014,0.5,32,4,4,0.5,4293.56,2406.66,8948.92,3615.46
105,0.2,0.2,0.001,0.99,0.95,0.00014,0.5,32,4,4,0.75,4086.67,2187.93,8284.31,3361.88
106,0.2,0.2,0.01,0.99,0.95,0.00014,0.5,32,4,4,0.75,4015.52,2199.54,8533.63,4510.64
107,0.2,0.2,0.1,0.99,0.95,0.00014,0.5,32,4,4,0.5,3896.3,1976.84,7302.42,2130.12
108,0.2,0.2,0.0,0.99,0.95,0.00014,0.5,32,4,4,0.25,3876.73,2127.53,8059.25,3922.26
109,0.2,0.2,0.001,0.99,0.95,0.00014,0.5,32,4,4,0.25,3754.35,1959.82,6853.19,2378.71
