,ent_coef,gamma,kfac_clip,learning_rate,lr_schedule,max_grad_norm,n_steps,vf_coef,vf_fisher_coef,mean_auc,std_auc,mean_fer,std_fer
70,0.0,0.99,0.001,0.02,linear,0.5,32,0.75,1.0,51517.72,8170.75,42084.06,7216.1
71,0.001,0.99,0.001,0.05,constant,0.5,32,0.25,1.0,51596.85,8677.7,37964.21,18484.26
72,0.0,0.99,0.001,0.12,linear,0.5,32,0.5,1.0,51707.2,8460.65,37967.69,14587.27
73,0.0,0.99,0.001,0.12,linear,0.5,32,0.25,1.0,51725.2,8562.8,38504.53,11412.51
74,0.001,0.99,0.001,0.3,double_middle_drop,0.5,32,0.75,1.0,51733.26,8560.3,36946.34,14285.15
75,0.001,0.99,0.001,0.02,constant,0.5,32,1.0,1.0,51736.04,9092.02,36864.03,15826.75
76,0.0,0.99,0.001,0.05,constant,0.5,32,0.25,1.0,51820.08,8185.0,38079.44,18766.55
77,0.001,0.99,0.001,0.02,linear,0.5,32,0.25,1.0,51837.67,7484.98,42482.31,7871.67
78,0.0,0.99,0.001,0.12,constant,0.5,32,0.25,1.0,51882.0,8454.95,36839.73,16589.22
79,0.01,0.99,0.001,0.12,linear,0.5,32,0.25,1.0,52102.46,8814.28,38397.72,10906.33
80,0.0,0.99,0.001,0.12,double_middle_drop,0.5,32,0.75,1.0,52317.15,8220.58,38526.34,7551.44
81,0.001,0.99,0.001,0.12,double_middle_drop,0.5,32,0.75,1.0,52378.45,7709.63,37676.72,8186.09
82,0.01,0.99,0.001,0.02,linear,0.5,32,1.0,1.0,52497.54,7535.77,44646.8,7362.76
83,0.01,0.99,0.001,0.3,constant,0.5,32,0.25,1.0,52502.77,7412.8,40491.57,12477.58
84,0.001,0.99,0.001,0.02,linear,0.5,32,0.75,1.0,52565.86,7132.86,44158.98,7268.21
85,0.001,0.99,0.001,0.12,double_middle_drop,0.5,32,1.0,1.0,52569.65,8574.29,36087.58,6504.93
86,0.01,0.99,0.001,0.05,linear,0.5,32,0.25,1.0,52570.93,7215.36,42519.31,9779.86
87,0.01,0.99,0.001,0.02,linear,0.5,32,0.75,1.0,52581.46,7654.83,44017.3,6305.93
88,0.0,0.99,0.001,0.3,constant,0.5,32,0.25,1.0,52598.43,8143.77,38784.45,17334.6
