,cliprange,cliprange_vf,ent_coef,gamma,lam,learning_rate,max_grad_norm,n_steps,nminibatches,noptepochs,vf_coef,mean_auc,std_auc,mean_fer,std_fer
73,0.2,0.2,0.01,0.99,0.95,0.00027,0.5,32,4,4,0.75,59128.97,3504.62,52870.43,6924.23
74,0.2,0.2,0.1,0.99,0.95,0.00072,0.5,32,4,4,0.25,59085.53,2664.16,57609.67,1496.17
75,0.2,0.2,0.01,0.99,0.95,0.00027,0.5,32,4,4,1.0,59048.4,3785.5,52435.96,5411.85
76,0.2,0.2,0.0,0.99,0.95,0.00037,0.5,32,4,4,0.25,59042.27,3423.88,53379.13,7673.92
77,0.2,0.2,0.1,0.99,0.95,0.00052,0.5,32,4,4,0.75,58737.52,3464.92,54370.08,5165.68
78,0.2,0.2,0.1,0.99,0.95,0.00037,0.5,32,4,4,0.5,58713.34,3534.34,53492.78,2270.25
79,0.2,0.2,0.1,0.99,0.95,0.00052,0.5,32,4,4,0.25,58598.21,3524.51,54178.5,4155.41
80,0.2,0.2,0.1,0.99,0.95,0.00072,0.5,32,4,4,0.5,58535.67,3219.47,56397.02,5104.44
81,0.2,0.2,0.0,0.99,0.95,0.00052,0.5,32,4,4,0.75,58392.01,3767.88,52526.42,7497.4
82,0.2,0.2,0.1,0.99,0.95,0.00052,0.5,32,4,4,1.0,58337.1,3911.43,54247.91,4289.25
83,0.2,0.2,0.01,0.99,0.95,0.00037,0.5,32,4,4,0.5,58315.75,3921.12,52885.51,6711.85
84,0.2,0.2,0.1,0.99,0.95,0.00037,0.5,32,4,4,1.0,58087.64,3938.48,52947.41,5052.52
85,0.2,0.2,0.001,0.99,0.95,0.00037,0.5,32,4,4,0.75,57975.12,4356.0,50749.49,11458.05
86,0.2,0.2,0.001,0.99,0.95,0.00037,0.5,32,4,4,1.0,57917.35,4376.71,49528.99,9704.11
87,0.2,0.2,0.01,0.99,0.95,0.00052,0.5,32,4,4,0.25,57864.99,4518.99,49932.03,12204.65
88,0.2,0.2,0.0,0.99,0.95,0.00037,0.5,32,4,4,0.5,57739.73,4455.02,50993.36,12299.75
89,0.2,0.2,0.001,0.99,0.95,0.00027,0.5,32,4,4,0.75,57704.68,4574.04,51704.77,3928.44
90,0.2,0.2,0.001,0.99,0.95,0.00052,0.5,32,4,4,1.0,57581.64,4500.61,49591.88,12712.44
91,0.2,0.2,0.001,0.99,0.95,0.00072,0.5,32,4,4,0.75,57546.35,3916.03,51033.52,14307.81
92,0.2,0.2,0.0,0.99,0.95,0.00027,0.5,32,4,4,0.75,57464.02,5177.31,49262.85,6967.27
93,0.2,0.2,0.001,0.99,0.95,0.00027,0.5,32,4,4,0.25,57204.25,5466.26,48705.95,9133.83
94,0.2,0.2,0.0,0.99,0.95,0.00037,0.5,32,4,4,1.0,57096.79,4400.25,49558.59,6443.58
95,0.2,0.2,0.001,0.99,0.95,0.00037,0.5,32,4,4,0.5,57081.8,4855.98,49402.28,8667.83
96,0.2,0.2,0.001,0.99,0.95,0.00037,0.5,32,4,4,0.25,56756.18,5264.18,47620.47,10665.4
97,0.2,0.2,0.01,0.99,0.95,0.00072,0.5,32,4,4,0.25,56615.56,5191.98,47116.07,15723.11
