value_loss,fps,explained_variance,total_timesteps,nupdates,policy_entropy,ep_len_mean,ep_reward_mean
2230.008056640625,264,-0.00045800209045410156,84000,2400,9.938356399536133,1000.0,823.6981879166666
421.4413757324219,267,0.00038564205169677734,87500,2500,9.957737922668457,1000.0,823.6981879166666
3607.001220703125,266,0.00021576881408691406,91000,2600,9.943704605102539,1000.0,952.964123032967
420.3897705078125,269,-0.0010315179824829102,94500,2700,9.922863960266113,1000.0,952.964123032967
4471.76318359375,268,-0.0004696846008300781,98000,2800,9.923157691955566,1000.0,1060.819496826531
87.49693298339844,271,0.0030580759048461914,101500,2900,9.87639331817627,1000.0,1060.819496826531
6126.09130859375,270,0.003586292266845703,105000,3000,9.875727653503418,1000.0,1261.4732036300002
309.3758239746094,273,0.0020253658294677734,108500,3100,9.854950904846191,1000.0,1261.4732036300002
6923.4091796875,272,0.0005218386650085449,112000,3200,9.830764770507812,1000.0,1477.1466849
367.55450439453125,275,0.00026148557662963867,115500,3300,9.819515228271484,1000.0,1477.1466849
6699.05517578125,274,0.00013005733489990234,119000,3400,9.821995735168457,1000.0,1754.69524577
198.64419555664062,276,-0.0005143880844116211,122500,3500,9.80404281616211,1000.0,1754.69524577
8255.7861328125,275,0.0014594793319702148,126000,3600,9.829463958740234,1000.0,2090.2913152700003
379.5177307128906,277,-0.0003020763397216797,129500,3700,9.806602478027344,1000.0,2090.2913152700003
11741.103515625,277,6.735324859619141e-06,133000,3800,9.81893539428711,1000.0,2435.0158486800005
116.16381072998047,279,-5.733966827392578e-05,136500,3900,9.810739517211914,1000.0,2435.0158486800005
10943.703125,278,-5.125999450683594e-06,140000,4000,9.804550170898438,1000.0,2786.0215892799997
452.0787353515625,280,0.00012218952178955078,143500,4100,9.772252082824707,1000.0,2786.0215892799997
14213.853515625,279,0.00016355514526367188,147000,4200,9.740806579589844,1000.0,3190.66877531
187.2125701904297,280,0.00012224912643432617,150500,4300,9.747865676879883,1000.0,3190.66877531
14582.365234375,279,-0.0002422332763671875,154000,4400,9.726825714111328,1000.0,3599.1964818799997
907.2314453125,281,0.00014531612396240234,157500,4500,9.692065238952637,1000.0,3599.1964818799997
17145.53125,280,6.091594696044922e-05,161000,4600,9.667576789855957,1000.0,4078.75977977
667.172607421875,281,-3.9577484130859375e-05,164500,4700,9.621827125549316,1000.0,4078.75977977
18429.40625,280,2.9206275939941406e-06,168000,4800,9.615793228149414,1000.0,4537.79856363
540.9953002929688,282,-2.586841583251953e-05,171500,4900,9.601226806640625,1000.0,4537.79856363
20627.1796875,281,-3.0159950256347656e-05,175000,5000,9.572583198547363,1000.0,4944.96153536
433.0739440917969,283,2.4378299713134766e-05,178500,5100,9.577641487121582,1000.0,4944.96153536
21488.552734375,282,1.8477439880371094e-06,182000,5200,9.557462692260742,1000.0,5452.295082280001
669.0773315429688,284,-1.3470649719238281e-05,185500,5300,9.53869342803955,1000.0,5452.295082280001
25943.2890625,283,-2.1457672119140625e-05,189000,5400,9.552323341369629,1000.0,5946.4634827
714.1744384765625,284,-2.6941299438476562e-05,192500,5500,9.569580078125,1000.0,5946.4634827
27896.447265625,284,5.364418029785156e-06,196000,5600,9.544350624084473,1000.0,6485.3728450300005
1025.2725830078125,285,2.5987625122070312e-05,199500,5700,9.542123794555664,1000.0,6485.3728450300005
29720.7734375,284,1.0728836059570312e-06,203000,5800,9.526121139526367,1000.0,6976.72110494
543.192138671875,286,1.811981201171875e-05,206500,5900,9.531341552734375,1000.0,6976.72110494
37063.70703125,285,-3.3736228942871094e-05,210000,6000,9.50416374206543,1000.0,7431.926518440001
790.283935546875,286,-3.0040740966796875e-05,213500,6100,9.478355407714844,1000.0,7431.926518440001
36348.01953125,286,1.4543533325195312e-05,217000,6200,9.4290771484375,1000.0,7877.59420457
444.4566345214844,287,-4.458427429199219e-05,220500,6300,9.445241928100586,1000.0,7877.59420457
37754.77734375,286,-4.76837158203125e-07,224000,6400,9.40776252746582,1000.0,8278.398422029997
861.8180541992188,288,-5.066394805908203e-05,227500,6500,9.385994911193848,1000.0,8278.398422029997
43211.67578125,287,2.4378299713134766e-05,231000,6600,9.37838363647461,1000.0,8670.481590039999
803.5596923828125,288,-0.00013887882232666016,234500,6700,9.330085754394531,1000.0,8670.481590039999
45136.359375,287,1.5795230865478516e-05,238000,6800,9.330967903137207,1000.0,9070.91015887
394.9189147949219,288,1.4841556549072266e-05,241500,6900,9.297492027282715,1000.0,9070.91015887
51436.66015625,288,2.7298927307128906e-05,245000,7000,9.268320083618164,1000.0,9417.54061525
1098.537841796875,289,1.2040138244628906e-05,248500,7100,9.24121379852295,1000.0,9417.54061525
55236.2578125,288,8.940696716308594e-07,252000,7200,9.222369194030762,1000.0,9717.909320820001
804.3956909179688,289,-1.5139579772949219e-05,255500,7300,9.168707847595215,1000.0,9717.909320820001
58346.35546875,289,2.4974346160888672e-05,259000,7400,9.155627250671387,1000.0,9962.71467113
780.5990600585938,290,-1.0132789611816406e-05,262500,7500,9.171998977661133,1000.0,9962.71467113
69194.359375,289,3.0517578125e-05,266000,7600,9.139111518859863,1000.0,10073.589237589998
1115.95947265625,290,-2.1457672119140625e-06,269500,7700,9.105154991149902,1000.0,10073.589237589998
69660.3984375,289,-3.075599670410156e-05,273000,7800,9.108540534973145,1000.0,10291.452113729998
777.3786010742188,290,-1.2040138244628906e-05,276500,7900,9.095992088317871,1000.0,10291.452113729998
73398.1875,290,-1.1444091796875e-05,280000,8000,9.098590850830078,1000.0,10511.966327469998
851.5850830078125,290,6.23464584350586e-05,283500,8100,9.08845329284668,1000.0,10511.966327469998
