value_loss,policy_loss,nupdates,policy_entropy,explained_variance,fps,total_timesteps,ep_reward_mean,ep_len_mean
23106.060546875,-0.21856039762496948,5600,10.2713623046875,3.3974647521972656e-06,288,789459,12463.077042750001,1000.0
22451.427734375,-0.2894114851951599,5700,10.270132064819336,9.47713851928711e-06,288,803559,13128.29734482,1000.0
10735.890625,-0.032256096601486206,5800,10.272099494934082,2.6941299438476562e-05,287,817659,13666.842763119996,1000.0
115325.5859375,-0.16242241859436035,5900,10.273774147033691,5.4836273193359375e-06,287,831759,14509.95284548,1000.0
64414.7578125,-0.13832993805408478,6000,10.276728630065918,9.47713851928711e-06,287,845859,15227.884233949999,1000.0
22277.001953125,-0.04077008366584778,6100,10.277766227722168,1.8298625946044922e-05,286,859959,15939.50244713,1000.0
38576.859375,-0.25741249322891235,6200,10.279708862304688,-3.5762786865234375e-07,286,874059,16260.63747289,1000.0
244669.9375,-0.12451771646738052,6300,10.280214309692383,4.172325134277344e-07,286,888159,16682.206157689998,1000.0
13424.65234375,-0.2973145842552185,6400,10.282144546508789,7.903575897216797e-05,285,902259,17026.092368690002,1000.0
143389.078125,0.40052253007888794,6500,10.282303810119629,5.9604644775390625e-06,285,916359,17542.511907239998,1000.0
57615.2109375,-0.04397840425372124,6600,10.283041000366211,4.231929779052734e-06,285,930459,17573.12010009,1000.0
16631.947265625,-0.03243456035852432,6700,10.284499168395996,0.00018227100372314453,284,944559,17607.823813329996,1000.0
57814.30078125,0.2360689342021942,6800,10.28614616394043,0.0007427334785461426,284,958659,17808.475087729996,1000.0
32118.921875,0.09829051792621613,6900,10.28721809387207,6.258487701416016e-06,284,972759,18295.19154074,1000.0
174316.578125,-0.16592353582382202,7000,10.289616584777832,1.33514404296875e-05,283,986859,18281.68947852,1000.0
60836.9140625,-0.07950688898563385,7100,10.290891647338867,2.205371856689453e-06,283,1000959,19133.6925694,1000.0
337626.0,-0.08976023644208908,7200,10.292027473449707,8.940696716308594e-07,283,1015059,19640.186718549998,1000.0
179517.390625,-0.2987699508666992,7300,10.293245315551758,7.3909759521484375e-06,283,1029159,20466.407431990003,1000.0
206581.296875,-0.22015294432640076,7400,10.296812057495117,2.4437904357910156e-06,282,1043259,20962.0332061,1000.0
73894.0078125,0.09966884553432465,7500,10.298323631286621,5.781650543212891e-06,282,1057359,21674.778906270003,1000.0
158099.21875,-0.08583642542362213,7600,10.300093650817871,1.138448715209961e-05,282,1071459,21936.65157437,1000.0
50414.04296875,-0.3113994598388672,7700,10.30219841003418,0.00012022256851196289,281,1085559,22087.231159259998,1000.0
49285.734375,-0.020526878535747528,7800,10.302888870239258,1.5854835510253906e-05,281,1099659,21985.347996819997,1000.0
58700.89453125,-0.26993033289909363,7900,10.305410385131836,9.119510650634766e-06,281,1113759,22340.133207639996,1000.0
122417.828125,0.2082761526107788,8000,10.306721687316895,2.6226043701171875e-06,280,1127859,22055.64846296,1000.0
111995.53125,-0.03310146927833557,8100,10.308134078979492,5.781650543212891e-06,280,1141959,22495.75397022,1000.0
22076.33203125,-0.1302483081817627,8200,10.30927848815918,4.476308822631836e-05,280,1156059,22467.91377163,1000.0
76720.421875,-0.07198648899793625,8300,10.311722755432129,8.52346420288086e-06,280,1170159,22778.012301359995,1000.0
152819.734375,-0.10543550550937653,8400,10.311732292175293,3.039836883544922e-06,279,1184259,22824.900570130005,1000.0
48316.9296875,0.00038249045610427856,8500,10.313324928283691,3.7550926208496094e-06,279,1198359,23288.863721169997,1000.0
