fps,approxkl,serial_timesteps,total_timesteps,policy_entropy,explained_variance,value_loss,time_elapsed,policy_loss,n_updates,clipfrac,ep_reward_mean,ep_len_mean
260,0.016801104,41856,167424,7.3543944,0.06286060810089111,0.0004283473,934.9906163215637,-0.0029098957,1308,0.2421875,58193.33341973,500.0
258,0.021994073,41888,167552,7.3565497,0.07193785905838013,0.00040638229,935.4832491874695,-0.00025204802,1309,0.23242188,58193.33341973,500.0
256,0.0285532,41920,167680,7.3478565,0.11081546545028687,0.0008046457,935.9785354137421,-0.014987965,1310,0.26757812,58193.33341973,500.0
250,0.033856004,41952,167808,7.340112,0.05001586675643921,0.00023085633,936.4792234897614,0.005733561,1311,0.33007812,58193.33341973,500.0
258,0.021862358,41984,167936,7.341904,0.06604152917861938,0.00020566772,936.9908573627472,0.00022675423,1312,0.26171875,58193.33341973,500.0
32,0.020609643,42016,168064,7.3499374,-0.011142969131469727,0.74606997,937.4864656925201,-0.022815881,1313,0.2890625,58295.98965521999,500.0
261,0.047169574,42048,168192,7.350156,-0.03217458724975586,0.002958436,941.4569103717804,-0.017756846,1314,0.3359375,58295.98965521999,500.0
249,0.030010331,42080,168320,7.3493457,-0.04190528392791748,0.0011772444,941.9473788738251,-0.0043084994,1315,0.3359375,58295.98965521999,500.0
254,0.03394444,42112,168448,7.3512516,0.06089329719543457,0.0009810237,942.4619650840759,0.0026785985,1316,0.30078125,58295.98965521999,500.0
272,0.03285511,42144,168576,7.347247,-0.02214515209197998,0.0010000428,942.9676668643951,0.0046185646,1317,0.33984375,58295.98965521999,500.0
262,0.024632253,42176,168704,7.3463826,-0.02366948127746582,0.0006652219,943.437539100647,-0.012798745,1318,0.28125,58295.98965521999,500.0
262,0.013437225,42208,168832,7.3586855,-0.053145647048950195,0.00050258,943.9267041683197,-0.00018018961,1319,0.18359375,58295.98965521999,500.0
274,0.016693773,42240,168960,7.365209,-0.024903535842895508,0.00046602575,944.4142203330994,0.00078552426,1320,0.21679688,58295.98965521999,500.0
285,0.023721596,42272,169088,7.370242,-0.02915668487548828,0.00031761522,944.8818955421448,-0.0062133064,1321,0.296875,58295.98965521999,500.0
276,0.020065764,42304,169216,7.375602,-0.03843569755554199,0.00037273546,945.3311545848846,-0.0151869645,1322,0.2265625,58295.98965521999,500.0
278,0.047232535,42336,169344,7.3854985,-0.0415576696395874,0.00025803625,945.7956652641296,0.032170318,1323,0.4453125,58295.98965521999,500.0
279,0.025043188,42368,169472,7.386279,-0.10424971580505371,0.00024103056,946.2553658485413,-0.012703495,1324,0.30664062,58295.98965521999,500.0
256,0.037905023,42400,169600,7.3899274,-0.2954360246658325,0.00026415312,946.7140512466431,0.0043659406,1325,0.3984375,58295.98965521999,500.0
260,0.04501484,42432,169728,7.3915453,0.18292570114135742,0.0013201055,947.2158844470978,-0.023005227,1326,0.37890625,58295.98965521999,500.0
256,0.027150087,42464,169856,7.3865795,0.020862102508544922,0.00031046598,947.7091207504272,-0.0073920647,1327,0.28125,58295.98965521999,500.0
262,0.029526066,42496,169984,7.3855524,-0.31562530994415283,0.00012830082,948.2085921764374,-0.01821783,1328,0.32226562,58295.98965521999,500.0
30,0.027668796,42528,170112,7.3798304,-0.008857369422912598,0.3702225,948.697628736496,-0.016266134,1329,0.2734375,58398.85835593999,500.0
269,0.043605376,42560,170240,7.3723974,-0.057779908180236816,0.00042270534,952.9519033432007,-0.009598477,1330,0.40429688,58398.85835593999,500.0
275,0.09038752,42592,170368,7.374458,-0.02524435520172119,0.00044659773,953.4291350841522,0.015015332,1331,0.5332031,58398.85835593999,500.0
