value_loss,nupdates,explained_variance,policy_entropy,policy_loss,fps,total_timesteps,ep_reward_mean,ep_len_mean
5.486342430114746,2500,0.009884893894195557,9.497084617614746,-0.4323868155479431,263,202419,13637.973764150003,1000.0
5.505600929260254,2600,-0.009001493453979492,9.385174751281738,-0.3221220076084137,263,210519,13874.907108959998,1000.0
5.592621803283691,2700,0.005178630352020264,9.299088478088379,-0.3088668882846832,263,218619,14075.464444190004,1000.0
5.62457799911499,2800,0.004670917987823486,9.272797584533691,-0.3132864236831665,263,226719,14276.88473286,1000.0
5.678483009338379,2900,0.0015642642974853516,9.2055082321167,-0.1297362744808197,263,234819,14458.806049010002,1000.0
5.67653751373291,3000,-0.006346702575683594,9.1220121383667,-0.015237830579280853,263,242919,14627.52782207,1000.0
5.689398288726807,3100,0.0002535581588745117,9.079415321350098,-0.2960646450519562,263,251019,14802.09496694,1000.0
5.783245086669922,3200,-0.0036840438842773438,9.02748966217041,0.5110283493995667,263,259119,14966.419882859998,1000.0
5.859911918640137,3300,-0.0008474588394165039,9.033463478088379,0.02454964816570282,263,267219,15120.100513070001,1000.0
5.8573455810546875,3400,-0.0017275810241699219,8.954110145568848,-0.07446012645959854,263,275319,15263.20884427,1000.0
5.881587982177734,3500,0.0005101561546325684,8.861204147338867,-0.15215156972408295,263,283419,15375.520132790001,1000.0
5.8477044105529785,3600,-0.0035780668258666992,8.848642349243164,0.43207359313964844,263,291519,15471.555432509998,1000.0
5.818169593811035,3700,-0.000771641731262207,8.885095596313477,-0.010389260947704315,263,299619,15555.528181089998,1000.0
5.826085090637207,3800,-0.0019762516021728516,8.857789039611816,0.15738368034362793,263,307719,15606.53415311,1000.0
5.813658714294434,3900,-0.0008715391159057617,8.872052192687988,0.07570298761129379,263,315819,15648.998538930002,1000.0
5.918896198272705,4000,0.0007454752922058105,8.90836238861084,-0.061403363943099976,263,323919,15676.73045086,1000.0
5.876981258392334,4100,0.002463102340698242,8.935541152954102,0.008670076727867126,263,332019,15699.97469097,1000.0
5.990577697753906,4200,-0.012820601463317871,8.918111801147461,-0.10639672726392746,263,340119,15708.91237728,1000.0
