fps,explained_variance,value_loss,nupdates,policy_loss,total_timesteps,policy_entropy,ep_reward_mean,ep_len_mean
221,-0.014088630676269531,4.271700859069824,6000,0.2049081027507782,485919,9.399825096130371,79199.77504513,1000.0
222,0.09930109977722168,3.8248627185821533,6100,-0.05334055796265602,494019,9.458678245544434,79310.01344172,1000.0
222,-0.01683497428894043,3.7368102073669434,6200,0.10330383479595184,502119,9.465180397033691,79726.07329097,1000.0
222,-0.1340489387512207,3.8831982612609863,6300,-0.1474934220314026,510219,9.482287406921387,81557.34239894999,1000.0
222,0.024760007858276367,4.574431419372559,6400,-0.41054001450538635,518319,9.536334037780762,82267.68371071998,1000.0
221,-0.14663279056549072,4.334310054779053,6500,-0.46464163064956665,526419,9.50382137298584,82405.3584871,1000.0
221,0.1416817307472229,3.9788482189178467,6600,0.01158488541841507,534519,9.513785362243652,82612.73036252,1000.0
221,-0.0256655216217041,4.073607444763184,6700,-0.03203796595335007,542619,9.53260612487793,83294.1622691,1000.0
221,0.026221632957458496,4.182541847229004,6800,-0.16865083575248718,550719,9.530900001525879,83440.23290809999,1000.0
221,-0.04327726364135742,4.5557732582092285,6900,-0.4171329140663147,558819,9.525191307067871,84285.36392138999,1000.0
221,0.026213347911834717,4.4282612800598145,7000,-0.20163190364837646,566919,9.55704402923584,83918.25655859002,1000.0
221,0.059799790382385254,3.9387412071228027,7100,-0.17269016802310944,575019,9.583780288696289,84329.12599849999,1000.0
221,0.0379408597946167,4.53987455368042,7200,0.1279667615890503,583119,9.618084907531738,85275.37049401,1000.0
221,-0.03413283824920654,4.2348527908325195,7300,0.03236919641494751,591219,9.637497901916504,85955.53080175999,1000.0
220,0.055583178997039795,4.142828464508057,7400,-0.09887373447418213,599319,9.626267433166504,87713.84835631998,1000.0
220,0.10107386112213135,4.442441463470459,7500,-0.44112229347229004,607419,9.638808250427246,88438.44924716,1000.0
220,0.03096848726272583,4.0542893409729,7600,-0.17442521452903748,615519,9.62012004852295,89134.12516264,1000.0
220,0.01324915885925293,4.201212406158447,7700,-0.04517119750380516,623619,9.555648803710938,90001.25993309997,1000.0
220,0.09269285202026367,4.591923713684082,7800,0.011883944272994995,631719,9.546445846557617,90590.07307589,1000.0
220,0.09949696063995361,3.504831314086914,7900,-0.44226551055908203,639819,9.536918640136719,89988.99332895002,1000.0
220,-0.22686636447906494,4.207816123962402,8000,0.20085854828357697,647919,9.524397850036621,90320.70239752998,1000.0
220,-0.138869047164917,4.406216621398926,8100,-0.11825429648160934,656019,9.542405128479004,90519.88545075998,1000.0
220,-0.08432435989379883,4.03125524520874,8200,0.1970098316669464,664119,9.541223526000977,89872.68149951,1000.0
220,-0.11828160285949707,3.5304596424102783,8300,-0.28071802854537964,672219,9.539268493652344,90252.99778067,1000.0
220,5.2928924560546875e-05,3.3089280128479004,8400,0.05657801032066345,680319,9.548521041870117,89689.94438301002,1000.0
220,0.03011012077331543,3.6682515144348145,8500,-0.19975566864013672,688419,9.572778701782227,89578.29590413,1000.0
220,-0.12210118770599365,4.183930397033691,8600,-0.35105180740356445,696519,9.539999961853027,89933.69936965,1000.0
220,-0.12449252605438232,4.023715019226074,8700,0.006809569895267487,704619,9.494183540344238,90656.41660669,1000.0
220,0.01190793514251709,4.224527835845947,8800,-0.18677909672260284,712719,9.521439552307129,90703.29451919,1000.0
220,0.05784952640533447,3.9473636150360107,8900,-0.3956642150878906,720819,9.529437065124512,89712.98155952003,1000.0
220,-0.08507823944091797,4.108719825744629,9000,-0.1887780874967575,728919,9.524674415588379,89722.71803178001,1000.0
220,0.011083781719207764,4.144906044006348,9100,0.1522752344608307,737019,9.546170234680176,90724.87266302001,1000.0
220,-0.003487229347229004,4.424582481384277,9200,-0.18360571563243866,745119,9.55625057220459,91520.93443089,1000.0
220,0.012719213962554932,4.2137346267700195,9300,-0.3971441984176636,753219,9.552621841430664,91444.08796134999,1000.0
220,-0.08371639251708984,4.10915994644165,9400,-0.17504698038101196,761319,9.569785118103027,92010.07814950001,1000.0
220,-0.18065738677978516,4.115364074707031,9500,-0.24832579493522644,769419,9.55587100982666,92662.10651904998,1000.0
220,-0.025710105895996094,3.8674368858337402,9600,-0.07861880958080292,777519,9.552030563354492,93660.28938387,1000.0
220,-0.0374370813369751,3.884902238845825,9700,-0.24684515595436096,785619,9.567227363586426,94262.87352294999,1000.0
220,-0.012108445167541504,4.57943058013916,9800,0.12497161328792572,793719,9.606705665588379,94260.62741015,1000.0
220,0.1721581220626831,4.87331485748291,9900,0.18282626569271088,801819,9.631972312927246,95094.31803555001,1000.0
220,-0.08289289474487305,4.9550275802612305,10000,0.006337739527225494,809919,9.661827087402344,95749.83930179,1000.0
220,0.1916443109512329,5.095665454864502,10100,0.273163378238678,818019,9.728400230407715,96362.40387331998,1000.0
220,-0.08888566493988037,4.517265319824219,10200,-0.01743975281715393,826119,9.764824867248535,97483.1224529,1000.0
