nupdates,value_loss,explained_variance,fps,policy_loss,total_timesteps,policy_entropy,ep_reward_mean,ep_len_mean
9400,31425.689453125,-7.212162017822266e-05,301,-0.11456580460071564,1325259,10.139491081237793,20967.214270350003,1000.0
9500,120186.9140625,7.56978988647461e-05,301,-0.04652963951230049,1339359,10.140512466430664,21143.794758080003,1000.0
9600,82526.109375,0.00025767087936401367,301,-0.08548135310411453,1353459,10.142049789428711,21136.26290325,1000.0
9700,92928.765625,0.0008941292762756348,301,-0.13682463765144348,1367559,10.143528938293457,21392.168077360002,1000.0
9800,51012.24609375,0.0001271367073059082,301,-0.2322869896888733,1381659,10.144465446472168,21589.391510890004,1000.0
9900,34014.57421875,0.002011895179748535,301,-0.08420417457818985,1395759,10.145783424377441,21721.689058030002,1000.0
10000,28637.923828125,0.0001589655876159668,301,-0.19384866952896118,1409859,10.146163940429688,22190.486411789996,1000.0
10100,218314.25,7.88569450378418e-05,301,0.2079012244939804,1423959,10.146956443786621,22772.669706960005,1000.0
10200,86217.828125,4.649162292480469e-06,301,0.07741904258728027,1438059,10.147920608520508,23111.34689299,1000.0
10300,50567.91796875,7.933378219604492e-05,301,-0.19720539450645447,1452159,10.149992942810059,23621.483236910004,1000.0
10400,36955.4765625,6.091594696044922e-05,301,-0.07399731129407883,1466259,10.151961326599121,24241.302868929997,1000.0
10500,159532.40625,0.0001462101936340332,301,0.1435118168592453,1480359,10.151681900024414,24587.006507950002,1000.0
10600,53623.69921875,8.130073547363281e-05,301,-0.0850471556186676,1494459,10.1524658203125,24804.6463955,1000.0
10700,30670.4140625,0.00024396181106567383,301,-0.07306380569934845,1508559,10.153223991394043,25093.464421010005,1000.0
10800,80205.953125,6.842613220214844e-05,301,-0.32492712140083313,1522659,10.154768943786621,25441.320882160006,1000.0
10900,167620.109375,3.612041473388672e-05,301,-0.2100171446800232,1536759,10.156003952026367,25517.936307080003,1000.0
11000,173187.21875,8.100271224975586e-05,300,0.03311467915773392,1550859,10.156926155090332,26150.40542113,1000.0
11100,48310.00390625,1.0609626770019531e-05,300,-0.2913123667240143,1564959,10.157851219177246,26032.818608979996,1000.0
11200,102000.0859375,0.00018978118896484375,300,-0.025080837309360504,1579059,10.15849494934082,26778.782629920002,1000.0
11300,164155.828125,0.0001035928726196289,300,0.07271858304738998,1593159,10.160405158996582,26708.077647519996,1000.0
11400,182966.59375,1.049041748046875e-05,300,0.001266762614250183,1607259,10.16065502166748,26943.075602589994,1000.0
11500,88435.78125,9.226799011230469e-05,300,-0.22209566831588745,1621359,10.160886764526367,27627.519640040002,1000.0
11600,40916.48046875,9.524822235107422e-05,300,-0.19580945372581482,1635459,10.161442756652832,27981.74197361,1000.0
11700,137143.140625,8.803606033325195e-05,300,-0.18133383989334106,1649559,10.162374496459961,28021.80257365,1000.0
11800,93240.25,5.3763389587402344e-05,300,-0.2121662199497223,1663659,10.162355422973633,28363.54863063,1000.0
11900,207434.328125,3.49879264831543e-05,300,-0.03511884808540344,1677759,10.163599967956543,28481.6783003,1000.0
12000,529170.3125,1.6927719116210938e-05,300,0.10023433715105057,1691859,10.164884567260742,28980.886326580003,1000.0
12100,216030.65625,0.00013446807861328125,300,0.08694784343242645,1705959,10.165754318237305,29483.801893280004,1000.0
12200,77286.3671875,4.220008850097656e-05,300,-0.3958008587360382,1720059,10.167404174804688,29799.646029100004,1000.0
12300,213245.328125,6.657838821411133e-05,300,0.23592007160186768,1734159,10.167694091796875,30237.43962612,1000.0
12400,81376.15625,2.288818359375e-05,300,-0.09560846537351608,1748259,10.170186996459961,30791.155403959994,1000.0
12500,278382.40625,1.2695789337158203e-05,300,-0.1237349808216095,1762359,10.171992301940918,31137.483069530004,1000.0
12600,278962.0625,1.7881393432617188e-06,300,0.03258255124092102,1776459,10.17158317565918,31711.008224780002,1000.0
12700,200191.859375,7.927417755126953e-06,300,-0.283989280462265,1790559,10.172486305236816,31529.57355844,1000.0
12800,64069.828125,-1.1920928955078125e-07,299,-0.2057936191558838,1804659,10.172530174255371,31296.421522189998,1000.0
12900,105495.3671875,4.8160552978515625e-05,299,0.1490030288696289,1818759,10.173094749450684,31190.31996368999,1000.0
13000,274490.96875,1.8477439880371094e-05,299,-0.04722617194056511,1832859,10.173751831054688,31791.138134480003,1000.0
13100,70086.671875,0.00024300813674926758,299,0.05634354054927826,1846959,10.174331665039062,31911.70993413001,1000.0
13200,63182.05859375,3.272294998168945e-05,299,-0.08732215315103531,1861059,10.174134254455566,32352.836724020002,1000.0
13300,238544.53125,2.5570392608642578e-05,299,-0.03344564139842987,1875159,10.174697875976562,32609.392401270004,1000.0
13400,116970.9609375,3.635883331298828e-05,299,-0.2307499200105667,1889259,10.175857543945312,33291.72403501,1000.0
13500,262490.34375,3.874301910400391e-06,299,-0.20661833882331848,1903359,10.175336837768555,33870.84420574,1000.0
13600,102980.9453125,5.424022674560547e-06,299,-0.18505313992500305,1917459,10.174661636352539,33956.86330218,1000.0
13700,246634.484375,-2.6226043701171875e-06,299,-0.011077843606472015,1931559,10.175241470336914,34096.392658549994,1000.0
13800,125647.484375,6.198883056640625e-06,299,-0.06384588778018951,1945659,10.177657127380371,34284.345532880005,1000.0
13900,174405.828125,4.947185516357422e-05,299,-0.10186382383108139,1959759,10.178679466247559,34492.53375421,1000.0
14000,88384.1484375,7.253885269165039e-05,299,-0.2818695604801178,1973859,10.179539680480957,34680.24337856,1000.0
14100,168746.21875,1.2695789337158203e-05,299,0.009213469922542572,1987959,10.180373191833496,34972.22226396,1000.0
14200,157915.671875,2.7179718017578125e-05,299,-0.07928696274757385,2002059,10.181136131286621,35439.800529340006,1000.0
