explained_variance,total_timesteps,value_loss,nupdates,fps,policy_entropy,policy_loss,ep_reward_mean,ep_len_mean
0.01586008071899414,218619,7.049166679382324,2700,226,9.565949440002441,-0.06150350719690323,76251.68179321999,1000.0
-0.025508403778076172,226719,6.9115142822265625,2800,226,9.544598579406738,-0.3740635812282562,79014.80997260001,1000.0
0.01940518617630005,234819,6.631372928619385,2900,227,9.452343940734863,0.0537334606051445,81622.7249928,1000.0
0.03666889667510986,242919,6.278327941894531,3000,228,9.450380325317383,-0.08253442496061325,83948.88524869,1000.0
-0.0081712007522583,251019,6.143752098083496,3100,228,9.478095054626465,-0.3029719889163971,86888.30288801002,1000.0
-0.056066155433654785,259119,6.115149021148682,3200,229,9.456376075744629,-0.21834897994995117,89280.66436149001,1000.0
-0.00032448768615722656,267219,6.004551887512207,3300,230,9.431220054626465,-0.1990300714969635,90673.85400583001,1000.0
-0.054422974586486816,275319,5.961028099060059,3400,230,9.456055641174316,0.08075594156980515,91279.22038243001,1000.0
-0.02050340175628662,283419,5.807793617248535,3500,231,9.478216171264648,-0.35368555784225464,91848.95331279,1000.0
0.014726400375366211,291519,5.735219478607178,3600,232,9.526803016662598,-0.15667200088500977,92255.54949781,1000.0
-0.005979180335998535,299619,5.602102756500244,3700,232,9.518187522888184,-0.002283938229084015,92569.49128103002,1000.0
-0.03014981746673584,307719,5.673769950866699,3800,233,9.548421859741211,0.14572295546531677,92785.50516077998,1000.0
-0.02205824851989746,315819,5.619647979736328,3900,233,9.550483703613281,-0.4265642762184143,93076.24144162,1000.0
-0.011415958404541016,323919,5.650246620178223,4000,234,9.516650199890137,0.029740996658802032,93433.41097108,1000.0
0.0117453932762146,332019,5.312540531158447,4100,234,9.560051918029785,0.12250328063964844,93311.47237324998,1000.0
-0.04690384864807129,340119,5.386654853820801,4200,235,9.552947998046875,-0.2562727928161621,93563.85626627001,1000.0
-0.021251678466796875,348219,5.367575645446777,4300,235,9.574164390563965,0.10461737215518951,93866.89463021001,1000.0
0.0001729726791381836,356319,5.396636009216309,4400,236,9.595702171325684,0.08022553473711014,93964.91271057,1000.0
-0.007991909980773926,364419,5.429295539855957,4500,236,9.597197532653809,-0.05368862673640251,94244.5818793,1000.0
