explained_variance,value_loss,policy_loss,fps,nupdates,total_timesteps,policy_entropy
1.1920928955078125e-07,8089.4609375,-0.028767697513103485,95,13100,1846959,4.093043804168701
1.1920928955078125e-07,8907.4111328125,-0.15803056955337524,95,13200,1861059,4.090355396270752
0.0,8442.1416015625,-0.012558458372950554,95,13300,1875159,4.089115619659424
1.1920928955078125e-07,8115.11181640625,-0.21721594035625458,95,13400,1889259,4.091006755828857
5.960464477539063e-08,8377.046875,-0.02669956162571907,95,13500,1903359,4.091296195983887
0.0,7430.57763671875,-0.18240654468536377,95,13600,1917459,4.089770793914795
-1.1920928955078125e-07,8086.5830078125,0.00043697282671928406,95,13700,1931559,4.088086128234863
0.0,7585.02685546875,-0.12902432680130005,95,13800,1945659,4.088196277618408
0.0,8738.48828125,0.05922488123178482,95,13900,1959759,4.08782958984375
-1.1920928955078125e-07,8417.125,0.2346613109111786,95,14000,1973859,4.090470314025879
5.960464477539063e-08,8371.9501953125,-0.0726570188999176,95,14100,1987959,4.090973854064941
0.0,8393.14453125,-0.09067461639642715,95,14200,2002059,4.090381145477295
