policy_loss,total timesteps,entropy,qf2_loss,current_lr,qf1_loss,n_updates,mean 100 episode reward,ent_coef,value_loss,episodes,fps,eplenmean,ep_rewmean,time_elapsed,ent_coef_loss
-1.9950538,311000,-2.7515168,2.6816364e-05,0.0003,4.2614487e-05,310900,23.3,0.00022928372,5.8435584e-05,312,94,1000.0,103859.44726277998,3289,-5.7765455
-2.0270507,315000,-3.0179515,3.9985334e-05,0.0003,4.0865772e-05,314900,23.1,0.0004024496,5.2329568e-05,316,94,1000.0,103827.46910978001,3331,-3.5016813
-2.0341344,319000,-2.1633418,8.884126e-05,0.0003,8.882984e-05,318900,22.9,0.00033031814,0.00018318582,320,94,1000.0,103945.67940101,3373,2.4264357
-2.0269594,323000,-1.0519539,0.032725018,0.0003,0.03260727,322900,22.8,0.00022159831,3.1633845e-05,324,94,1000.0,104272.21048107,3415,2.428074
-2.058383,327000,-2.3002267,8.762494e-05,0.0003,0.000110147834,326900,22.8,0.00024476563,0.00024523007,328,94,1000.0,104708.89598586998,3457,2.2178273
-2.0983725,331000,-2.42533,6.760248e-05,0.0003,5.4030843e-05,330900,22.7,0.00021525967,5.5106524e-05,332,94,1000.0,105026.89069002001,3499,-1.0695735
-2.1134443,335000,-2.8122609,4.912681e-05,0.0003,4.350256e-05,334900,22.7,0.00019896535,3.9280538e-05,336,94,1000.0,105515.00705231,3541,2.6345768
-1.5754931,339000,-0.0062426403,3.337867e-05,0.0003,3.778939e-05,338900,21.8,0.00063435116,6.2671876e-05,340,94,1000.0,101872.16332807997,3583,9.564537
-1.5920514,343000,-1.0075035,3.0008512e-05,0.0003,4.189214e-05,342900,21.7,0.0004117177,8.049785e-05,344,94,1000.0,101751.50876813,3625,-2.101659
-1.7041585,347000,-2.0950692,4.5139546e-05,0.0003,4.8896854e-05,346900,22.3,0.00030738075,3.764018e-05,348,94,1000.0,104804.17360733001,3667,4.014139
-1.7992811,351000,-1.9460206,3.3368662e-05,0.0003,4.114442e-05,350900,22.6,0.00021421688,4.3733657e-05,352,94,1000.0,106426.24874488,3710,-7.8014255
-1.7980112,355000,-3.9358819,0.00011928707,0.0003,8.446512e-05,354900,22.2,0.00040653005,5.533254e-05,356,94,1000.0,104981.72843704,3752,2.9798465
-1.7921064,359000,-3.05957,3.0770487e-05,0.0003,2.3095694e-05,358900,22.0,0.00039995133,2.8896256e-05,360,94,1000.0,104754.88304532999,3794,1.7859248
-1.8041017,363000,-3.0421991,4.4303517e-05,0.0003,3.45148e-05,362900,21.9,0.00029853315,1.9662257e-05,364,94,1000.0,104676.73377294998,3835,2.753842
-1.844857,367000,-3.5506382,4.8127444e-05,0.0003,4.7444846e-05,366900,21.9,0.0002890071,3.5625955e-05,368,94,1000.0,104823.59664936998,3878,4.8137426
-1.8858696,371000,-2.2526965,3.9391853e-05,0.0003,3.3839442e-05,370900,21.8,0.0002444451,3.265578e-05,372,94,1000.0,104748.84052708001,3921,-0.33304644
-1.8865683,375000,-4.4189687,0.00015519513,0.0003,0.00013335148,374900,21.6,0.00025245105,0.0002379401,376,94,1000.0,104096.80754828,3963,7.0955143
-1.8972871,379000,-2.50801,6.531622e-05,0.0003,8.609904e-05,378900,21.5,0.00023394065,2.446891e-05,380,94,1000.0,103826.92261537998,4005,-2.47052
-1.9320246,383000,-2.5543094,0.028598236,0.0003,0.028632024,382900,21.5,0.00022994394,1.0104573e-05,384,94,1000.0,104131.7394682,4048,-2.011744
-1.9665308,387000,-2.3785095,1.9117719e-05,0.0003,2.2400454e-05,386900,21.5,0.00018693025,2.7726273e-05,388,94,1000.0,104436.13000131998,4090,5.8700075
-1.9948685,391000,-1.0626539,0.030832458,0.0003,0.030881267,390900,21.5,0.00024517073,2.330305e-05,392,94,1000.0,104800.82272786001,4132,7.758571
-2.0176105,395000,-3.4971838,9.036412e-05,0.0003,7.840594e-05,394900,21.6,0.00022982313,4.9700175e-05,396,94,1000.0,105401.6527053,4174,-7.4944973
-2.0354939,399000,-4.2914133,4.8824095e-05,0.0003,2.6277887e-05,398900,21.5,0.0003221126,0.00011065374,400,94,1000.0,104948.16794235002,4216,11.254161
