surrgain,entloss,TimeElapsed,TimestepsSoFar,entropy,explained_variance_tdlam_before,meankl,EpThisIter,EpisodesSoFar,EpLenMean,EpRewMean,optimgain
0.08048971,0.0,737.4447994232178,167936,9.792605,0.06549233198165894,0.01233297,1,167,1000.0,3376.8183718500004,0.08048971
0.07768534,0.0,741.9077003002167,168960,9.789416,0.08064466714859009,0.011038445,1,168,1000.0,3460.147169775,0.07768534
0.08097428,0.0,746.2056279182434,169984,9.775559,0.02890104055404663,0.012147935,1,169,1000.0,3517.597990200001,0.08097428
0.09315489,0.0,751.2756316661835,171008,9.755736,0.0749085545539856,0.012464605,2,171,1000.0,3653.3025998000003,0.09315489
0.074707605,0.0,755.7702565193176,172032,9.743603,0.09052151441574097,0.011019257,1,172,1000.0,3760.3658901000003,0.074707605
0.07437886,0.0,760.0692508220673,173056,9.731702,0.030545055866241455,0.010629493,1,173,1000.0,3827.537623275,0.07437886
0.087438166,0.0,764.7550785541534,174080,9.700305,0.05260735750198364,0.011418883,1,174,1000.0,3940.2104241249995,0.087438166
0.074410945,0.0,769.107684135437,175104,9.6928835,0.0043680667877197266,0.013045521,1,175,1000.0,4041.6947623250003,0.074410945
0.060181946,0.0,773.4637207984924,176128,9.662069,0.038090288639068604,0.0115540605,1,176,1000.0,4152.573239,0.060181946
0.069395244,0.0,777.9266531467438,177152,9.644284,-0.07042515277862549,0.01151498,1,177,1000.0,4252.735705525,0.069395244
0.0743372,0.0,782.5379357337952,178176,9.615735,0.05963200330734253,0.012919583,1,178,1000.0,4364.944233849999,0.0743372
0.06920553,0.0,787.1189246177673,179200,9.616101,0.07561898231506348,0.012290752,1,179,1000.0,4499.256144325,0.06920553
0.0902368,0.0,791.5835049152374,180224,9.617787,0.021057963371276855,0.013809213,1,180,1000.0,4637.219442525,0.0902368
0.07985243,0.0,795.9898684024811,181248,9.623705,0.051864445209503174,0.01201496,1,181,1000.0,4757.5495418499995,0.07985243
0.07636408,0.0,800.7430398464203,182272,9.610634,0.12388867139816284,0.013999765,1,182,1000.0,4896.731122075,0.07636408
0.07063176,0.0,805.2729163169861,183296,9.600294,0.060364365577697754,0.01191063,1,183,1000.0,5027.177931025,0.07063176
0.06277156,0.0,809.5336036682129,184320,9.629895,0.06528878211975098,0.011735758,1,184,1000.0,5192.5996029,0.06277156
0.06260418,0.0,814.1230306625366,185344,9.600827,0.11164498329162598,0.010800533,1,185,1000.0,5348.752720025,0.06260418
0.074723676,0.0,818.7705368995667,186368,9.583293,-0.002852201461791992,0.011396408,1,186,1000.0,5544.96772185,0.074723676
0.07434058,0.0,823.1115975379944,187392,9.585819,0.04042941331863403,0.011527836,1,187,1000.0,5673.58757495,0.07434058
0.06802284,0.0,827.4557213783264,188416,9.577563,0.0021101832389831543,0.011165105,1,188,1000.0,5802.775623225,0.06802284
0.05381118,0.0,831.8457183837891,189440,9.554919,0.059391140937805176,0.011435643,1,189,1000.0,5946.1855499250005,0.05381118
0.0753415,0.0,836.429205417633,190464,9.544675,0.07739490270614624,0.011936972,1,190,1000.0,6129.409039075001,0.0753415
0.057557147,0.0,840.8838975429535,191488,9.518472,0.08389478921890259,0.012463253,1,191,1000.0,6301.7883067,0.057557147
0.057135884,0.0,845.4211802482605,192512,9.452159,0.06844264268875122,0.013325791,1,192,1000.0,6539.602241025001,0.057135884
