nupdates,policy_entropy,fps,value_loss,explained_variance,total_timesteps,policy_loss,ep_len_mean,ep_reward_mean
12300,11.70258617401123,233,25912.185546875,1.4185905456542969e-05,1734159,-0.22780880331993103,1000.0,8646.98653647
12400,11.709293365478516,233,26730.03515625,-1.9073486328125e-06,1748259,-0.02459818124771118,1000.0,8704.08054653
12500,11.711013793945312,233,27179.9140625,-3.9696693420410156e-05,1762359,0.2575264871120453,1000.0,8780.621269790001
12600,11.71381664276123,233,27222.287109375,2.276897430419922e-05,1776459,0.13694311678409576,1000.0,8858.82137673
12700,11.718888282775879,233,27600.947265625,8.344650268554688e-07,1790559,-0.3938051462173462,1000.0,8860.76311283
12800,11.722193717956543,233,30623.103515625,0.0025266408920288086,1804659,-0.05983744561672211,1000.0,8886.06174501
12900,11.72364616394043,233,29088.2109375,-1.5735626220703125e-05,1818759,-0.11333385854959488,1000.0,8969.38164001
13000,11.723921775817871,233,29292.560546875,3.3974647521972656e-06,1832859,-0.05424943566322327,1000.0,8984.034080299998
13100,11.72887134552002,233,30258.943359375,7.033348083496094e-06,1846959,-0.1848250925540924,1000.0,9039.31411364
13200,11.733170509338379,233,30694.693359375,-1.1682510375976562e-05,1861059,-0.14950363337993622,1000.0,9080.487481760001
13300,11.738163948059082,233,30464.4140625,-1.537799835205078e-05,1875159,0.03435676544904709,1000.0,9082.21388526
13400,11.742094993591309,233,32615.224609375,8.64267349243164e-06,1889259,0.0037827715277671814,1000.0,9146.74179766
13500,11.745894432067871,233,32790.21875,0.0,1903359,-0.3651284873485565,1000.0,9198.62385461
13600,11.748505592346191,233,34160.12890625,-4.291534423828125e-06,1917459,-0.23703768849372864,1000.0,9222.126091350001
13700,11.752501487731934,233,33693.58203125,3.337860107421875e-06,1931559,-0.22921815514564514,1000.0,9251.91435123
13800,11.757994651794434,233,34852.06640625,5.245208740234375e-06,1945659,-0.33020007610321045,1000.0,9271.19130972
13900,11.761185646057129,233,34583.6484375,4.649162292480469e-06,1959759,-0.1297377347946167,1000.0,9274.233168820001
14000,11.76765251159668,233,35829.9609375,-1.1801719665527344e-05,1973859,0.020390726625919342,1000.0,9293.82966687
14100,11.770695686340332,233,40864.23828125,0.03803163766860962,1987959,-0.4203982353210449,1000.0,9294.26547636
14200,11.772215843200684,233,36554.1484375,1.055002212524414e-05,2002059,0.13919535279273987,1000.0,9274.889198750001
