total_timesteps,nupdates,policy_entropy,explained_variance,fps,value_loss,ep_len_mean,ep_reward_mean
87500,2500,11.588974952697754,-0.27988719940185547,180,0.029855206608772278,300.0,568.5480524400001
91000,2600,11.710453987121582,0.011585474014282227,180,0.014872118830680847,300.0,604.32366963
94500,2700,11.828726768493652,-0.16890454292297363,180,14.280078887939453,300.0,655.77407045
98000,2800,11.970332145690918,-0.26046252250671387,181,0.019648447632789612,300.0,674.63704273
101500,2900,12.085654258728027,-1.437103509902954,181,0.0238359235227108,300.0,718.5345227499998
105000,3000,12.23314094543457,-0.2301931381225586,181,15.772488594055176,300.0,779.9643162699998
108500,3100,12.366945266723633,-0.5103470087051392,182,0.004792692139744759,300.0,819.6118136800001
112000,3200,12.481000900268555,0.005229830741882324,182,0.012822720222175121,300.0,880.19053716
115500,3300,12.594491958618164,-0.2442004680633545,181,16.9218692779541,300.0,962.4179070300002
119000,3400,12.67474365234375,0.2417612075805664,183,0.008199107833206654,300.0,1005.68519905
122500,3500,12.768860816955566,0.22398358583450317,183,0.013063257560133934,300.0,1104.7425366300001
126000,3600,12.886771202087402,0.0027107596397399902,182,22.34417152404785,300.0,1222.3265732199998
129500,3700,13.007328987121582,0.45916545391082764,183,0.004339335951954126,300.0,1294.77781226
133000,3800,13.120088577270508,-0.32968640327453613,183,0.006868867203593254,300.0,1451.0348663000002
136500,3900,13.240310668945312,0.08687126636505127,182,24.974781036376953,300.0,1633.0839284900003
140000,4000,13.400479316711426,-0.0008054971694946289,184,0.004312076605856419,300.0,1720.69682554
143500,4100,13.575763702392578,0.01058584451675415,183,0.00514134019613266,300.0,1900.0960511
147000,4200,13.773883819580078,0.05067509412765503,183,19.157642364501953,300.0,2079.82048251
150500,4300,13.970550537109375,0.19958490133285522,184,0.004137518350034952,300.0,2177.92885357
154000,4400,14.166254997253418,0.07441884279251099,183,0.006586623378098011,300.0,2338.90006582
157500,4500,14.35783863067627,-0.0692681074142456,183,17.9443302154541,300.0,2468.9311719
161000,4600,14.584918975830078,-0.05861163139343262,184,0.004501044750213623,300.0,2520.5788051500003
164500,4700,14.786526679992676,-0.3996008634567261,184,0.001975429244339466,300.0,2617.03733878
168000,4800,14.998358726501465,0.08621025085449219,184,13.523796081542969,300.0,2685.2572539500006
171500,4900,15.264463424682617,0.036510348320007324,184,0.004282014910131693,300.0,2709.6078968999996
175000,5000,15.490204811096191,0.18140524625778198,184,0.0018336274661123753,300.0,2748.9785006099996
178500,5100,15.705001831054688,0.06255185604095459,184,12.178150177001953,300.0,2783.34198309
182000,5200,15.956007957458496,0.10192632675170898,185,0.0012927309144288301,300.0,2807.98480387
185500,5300,16.207046508789062,-0.12832581996917725,184,0.0014245010679587722,300.0,2845.55559324
189000,5400,16.45372772216797,-0.07239830493927002,184,11.385127067565918,300.0,2873.27792504
192500,5500,16.724946975708008,0.017470836639404297,185,0.0023131563793867826,300.0,2879.4346125399998
196000,5600,16.993412017822266,-0.10479152202606201,185,0.001611905638128519,300.0,2893.4293841899994
199500,5700,17.255109786987305,-0.20053184032440186,184,11.699799537658691,300.0,2930.03064971
203000,5800,17.54745101928711,0.3034513592720032,185,0.0009128107340075076,300.0,2944.5316071100006
206500,5900,17.813617706298828,0.023489534854888916,184,0.0010835371213033795,300.0,2965.2258023199993
210000,6000,18.06867027282715,-0.04190969467163086,184,8.847134590148926,300.0,2957.572568010001
213500,6100,18.34668731689453,0.02623903751373291,185,0.0014707891969010234,300.0,2953.8439064600007
217000,6200,18.62234115600586,0.020639359951019287,184,0.0011910899775102735,300.0,2925.97699219
220500,6300,18.853363037109375,-0.060103774070739746,184,8.513033866882324,300.0,2909.72231593
224000,6400,19.108673095703125,-0.1330099105834961,185,0.0006730787572450936,300.0,2904.0077134900002
227500,6500,19.34807586669922,-0.17879164218902588,184,0.0011798263294622302,300.0,2889.41817641
231000,6600,19.569805145263672,0.12559568881988525,184,8.156814575195312,300.0,2858.86979252
234500,6700,19.83469009399414,0.2010965347290039,184,0.001412292243912816,300.0,2832.23032008
238000,6800,20.06200408935547,0.1023627519607544,184,0.0011669860687106848,300.0,2808.2730124099994
241500,6900,20.29791259765625,-0.1502375602722168,183,7.812644958496094,300.0,2782.03709942
245000,7000,20.536928176879883,0.33898216485977173,184,0.0014458773657679558,300.0,2783.72375496
248500,7100,20.75630760192871,-0.02631402015686035,184,0.0006229968275874853,300.0,2764.3392126500007
252000,7200,20.992433547973633,-0.1546686887741089,183,6.840322494506836,300.0,2731.2725173500007
255500,7300,21.20932388305664,-0.46605610847473145,184,0.0008165538893081248,300.0,2716.1200098400004
259000,7400,21.434532165527344,0.3250575661659241,184,0.0004111395974177867,300.0,2691.7839976699997
262500,7500,21.677005767822266,0.08621037006378174,183,6.655230522155762,300.0,2659.4179632400005
266000,7600,21.880672454833984,0.18723779916763306,184,0.001968221040442586,300.0,2646.01848342
269500,7700,22.06839370727539,0.0631675124168396,184,0.0014027286088094115,300.0,2618.64732055
273000,7800,22.262208938598633,-0.25251829624176025,183,5.750847339630127,300.0,2576.4791968300005
276500,7900,22.474008560180664,0.5466218292713165,184,0.0028594168834388256,300.0,2554.4319518300003
280000,8000,22.730728149414062,0.12618905305862427,184,0.0036871638149023056,300.0,2527.10706954
283500,8100,22.935781478881836,-0.08204472064971924,183,6.372952938079834,300.0,2520.13336339
287000,8200,23.12868309020996,0.5839288234710693,184,0.0008709433604963124,300.0,2513.74295783
290500,8300,23.35116195678711,0.006985723972320557,183,0.003764382330700755,300.0,2501.45293911
294000,8400,23.562952041625977,-0.1546182632446289,183,6.316821098327637,300.0,2505.2820170799996
297500,8500,23.757577896118164,0.19817250967025757,184,0.0016815911512821913,300.0,2510.77208067
301000,8600,23.963899612426758,0.09965634346008301,183,0.0014610175276175141,300.0,2496.2733980999997
304500,8700,24.163284301757812,-0.009848475456237793,183,5.457123279571533,300.0,2478.21440824
308000,8800,24.374303817749023,-0.3456617593765259,184,0.0005698178429156542,300.0,2474.2080845200003
