time_elapsed,policy_entropy,policy_loss,total_timesteps,n_updates,fps,explained_variance,clipfrac,approxkl,value_loss,serial_timesteps,ep_reward_mean,ep_len_mean
42.78419089317322,9.6707115,-0.024533901,8320,65,237,0.6571635603904724,0.26171875,0.01955914,0.02998185,2080,1285.673321,500.0
43.32517385482788,9.6684,-0.020062003,8448,66,236,0.5598622858524323,0.16992188,0.01744476,0.030047568,2112,1285.673321,500.0
43.86704874038696,9.659026,-0.032352693,8576,67,238,0.7660025507211685,0.359375,0.035458382,0.017466424,2144,1285.673321,500.0
44.404210805892944,9.679769,-0.017056251,8704,68,229,0.7817203104496002,0.234375,0.018708507,0.025816457,2176,1285.673321,500.0
44.96269154548645,9.686988,-0.018648686,8832,69,226,0.9265874400734901,0.27148438,0.017358202,0.007991047,2208,1285.673321,500.0
45.5281982421875,9.687055,-0.0139251435,8960,70,234,0.8449810892343521,0.2421875,0.020582749,0.037352346,2240,1285.673321,500.0
46.073623180389404,9.689093,-0.026341947,9088,71,290,0.6712465286254883,0.25195312,0.015707793,0.10826152,2272,1285.673321,500.0
46.514814615249634,9.700767,-0.02399957,9216,72,242,0.7554051429033279,0.3203125,0.02614687,0.072835326,2304,1285.673321,500.0
47.04314589500427,9.706947,-0.020663435,9344,73,266,-1.1622331142425537,0.23046875,0.018004006,0.11537565,2336,1285.673321,500.0
47.52488088607788,9.69595,-0.032453902,9472,74,243,0.9016453847289085,0.25976562,0.017961707,0.014795799,2368,1285.673321,500.0
48.05110263824463,9.6753025,-0.0150132775,9600,75,244,0.16550183296203613,0.21875,0.01857421,0.02338276,2400,1285.673321,500.0
48.57543992996216,9.666364,-0.016208464,9728,76,251,-0.6371290683746338,0.29882812,0.028153185,0.007994021,2432,1285.673321,500.0
49.08539414405823,9.642504,-0.01222172,9856,77,225,0.08041977882385254,0.30078125,0.020292327,0.023990221,2464,1285.673321,500.0
49.65372061729431,9.633212,-0.039177727,9984,78,257,-0.4974757432937622,0.43359375,0.055682108,0.008653559,2496,1285.673321,500.0
50.1521532535553,9.644833,-0.02271559,10112,79,35,-0.46040046215057373,0.18359375,0.015159446,0.4401539,2528,1498.9340897,500.0
53.77130317687988,9.681581,-0.033370696,10240,80,221,0.5522541701793671,0.27929688,0.02259292,0.0075002704,2560,1498.9340897,500.0
54.350345849990845,9.700498,-0.013100453,10368,81,206,0.22376972436904907,0.203125,0.014108876,0.011536634,2592,1498.9340897,500.0
54.96959137916565,9.700852,-0.020373216,10496,82,211,0.7402545213699341,0.1875,0.014225095,0.006361024,2624,1498.9340897,500.0
55.57632899284363,9.696203,-0.016380312,10624,83,228,0.28692376613616943,0.22070312,0.015205508,0.011417998,2656,1498.9340897,500.0
