policy_loss,policy_entropy,value_loss,explained_variance,nupdates,fps,total_timesteps,ep_reward_mean,ep_len_mean
-0.08653692901134491,3.350372314453125,0.04619111865758896,0.9296763390302658,5100,109,413019,14555.074052589998,1001.0
-0.4657079577445984,3.357909679412842,0.032493043690919876,0.9774362221360207,5200,109,421119,15348.85233457,1001.0
-0.250251829624176,3.3394718170166016,0.02671198546886444,0.9814755246043205,5300,109,429219,17047.460128540002,1001.0
-0.23711174726486206,3.291299343109131,0.010174128226935863,0.8181777745485306,5400,109,437319,18565.783638179997,1001.0
-0.2007395327091217,3.299992084503174,0.015755686908960342,0.9897263767197728,5500,109,445419,19462.44208696,1001.0
-0.054778844118118286,3.2822985649108887,0.01388202328234911,0.9888599216938019,5600,109,453519,20431.555149779997,1001.0
0.148477241396904,3.2685036659240723,0.003166514215990901,0.9048976898193359,5700,109,461619,21007.45608065,1001.0
0.16658635437488556,3.2651562690734863,0.023767733946442604,0.9771600216627121,5800,109,469719,21141.8580775,1001.0
-0.13123570382595062,3.276937961578369,0.05633729696273804,0.9585557952523232,5900,109,477819,21617.445293350007,1001.0
-0.16525878012180328,3.2541251182556152,0.06378303468227386,0.6047692000865936,6000,109,485919,22303.156290850002,1001.0
0.20452401041984558,3.2695889472961426,0.07267902046442032,0.959241259843111,6100,109,494019,21776.696475029996,1001.0
-0.21898794174194336,3.243831157684326,0.06537675857543945,0.9443413615226746,6200,108,502119,22117.66296991,1001.0
