nupdates,policy_entropy,policy_loss,explained_variance,fps,value_loss,total_timesteps,ep_len_mean,ep_reward_mean
4100,3.135864734649658,-0.2538628578186035,0.8287764340639114,113,0.0014754628064110875,332019,1001.0,13215.51539077
4200,3.085587978363037,-0.21247510612010956,0.947060402482748,113,0.0007978371577337384,340119,1001.0,13215.271604239999
4300,3.052086353302002,-0.19752435386180878,0.9296393468976021,112,0.0009520243620499969,348219,1001.0,13213.659402259998
4400,3.0450453758239746,-0.1470060646533966,-0.1084294319152832,112,0.0010836136061698198,356319,1001.0,13218.39003591
4500,3.0387513637542725,-0.2356434464454651,0.947757113724947,112,0.0008530885097570717,364419,1001.0,13214.393559499998
4600,3.005152940750122,-0.031481970101594925,0.9370401576161385,112,0.0012212840374559164,372519,1001.0,13223.86916101
4700,3.005075454711914,0.039611972868442535,0.7985515147447586,112,0.0017343226354569197,380619,1001.0,13231.02717614
4800,2.9901559352874756,-0.051730602979660034,0.9461704529821873,112,0.0009309916058555245,388719,1001.0,13236.427025349996
4900,2.9628541469573975,-0.243662029504776,0.9424960240721703,112,0.0011695710709318519,396819,1001.0,13237.8014399
5000,2.9774014949798584,-0.06929122656583786,0.9338078573346138,112,0.001205652253702283,404919,1001.0,13238.019250260002
5100,2.972130537033081,-0.17559000849723816,0.8515381515026093,112,0.001192080439068377,413019,1001.0,13249.417918180001
5200,2.9433822631835938,-0.020214788615703583,0.850407212972641,112,0.001499997335486114,421119,1001.0,13265.53445268
5300,2.9462990760803223,-0.18348559737205505,0.9210265800356865,112,0.000647390668746084,429219,1001.0,13284.77916771
5400,2.9453186988830566,-0.14170154929161072,0.9101571440696716,113,0.0011119510745629668,437319,1001.0,13315.08677089
5500,2.930124521255493,-0.06664356589317322,0.9405170753598213,113,0.0009600279736332595,445419,1001.0,13333.098061510002
5600,2.907102584838867,-0.02695310488343239,0.7613485306501389,113,0.0008284455980174243,453519,1001.0,13348.331847180003
5700,2.9039642810821533,-0.05790483579039574,0.9499663561582565,113,0.0008539221016690135,461619,1001.0,13357.31992349
5800,2.915794849395752,-0.07180832326412201,0.9448903985321522,113,0.0006813516956754029,469719,1001.0,13366.508210930002
5900,2.9050614833831787,-0.0594215914607048,0.9095170423388481,112,0.000713665853254497,477819,1001.0,13367.754905340002
6000,2.903712511062622,-0.03547440096735954,0.913834311068058,112,0.0011823636014014482,485919,1001.0,13371.227846310001
6100,2.886150598526001,0.16082414984703064,-0.40062201023101807,112,0.0013372544199228287,494019,1001.0,13375.90317819
6200,2.8853745460510254,-0.07002176344394684,0.8905148804187775,112,0.000817553314846009,502119,1001.0,13376.217012150002
