fps,policy_entropy,total_timesteps,explained_variance,nupdates,policy_loss,value_loss,ep_reward_mean,ep_len_mean
266,9.919495582580566,295959,0.1805591583251953,2100,-0.36832407116889954,3430.667236328125,3186.552530100001,1000.0
266,9.920744895935059,310059,0.0423884391784668,2200,-0.056048233062028885,3943.66162109375,3299.8561350499995,1000.0
267,9.923628807067871,324159,0.11400473117828369,2300,0.2638942003250122,3429.746826171875,3399.49289216,1000.0
267,9.925554275512695,338259,0.017947912216186523,2400,-0.19379737973213196,53235.4375,3529.6992506100005,1000.0
267,9.931472778320312,352359,0.0019609928131103516,2500,-0.19068215787410736,11136.392578125,3729.5239302699997,1000.0
267,9.933793067932129,366459,0.09602278470993042,2600,-0.4503154158592224,3593.773681640625,3897.5817770599997,1000.0
267,9.936941146850586,380559,0.18829721212387085,2700,-0.13640308380126953,3716.69482421875,4115.41261225,1000.0
267,9.942357063293457,394659,0.1572008728981018,2800,-0.31156742572784424,4251.29443359375,4324.628265800001,1000.0
267,9.948244094848633,408759,0.13615691661834717,2900,0.16587284207344055,5063.48876953125,4702.533919719999,1000.0
266,9.95246410369873,422859,0.12993460893630981,3000,0.19324025511741638,5223.4375,5024.372802000001,1000.0
266,9.958298683166504,436959,0.2263590693473816,3100,-0.35180163383483887,5638.0185546875,5222.86491648,1000.0
266,9.960890769958496,451059,0.0008156299591064453,3200,-0.23545962572097778,46365.69140625,5453.194329939999,1000.0
266,9.964219093322754,465159,0.01050257682800293,3300,-0.3018297553062439,32252.78125,5768.163681600001,1000.0
265,9.966242790222168,479259,0.005706071853637695,3400,-0.017169103026390076,33994.1875,6062.862374830001,1000.0
265,9.972538948059082,493359,0.1360999345779419,3500,-0.05589807406067848,6302.6181640625,6482.75343796,1000.0
265,9.975953102111816,507459,0.04780757427215576,3600,-0.06598077714443207,12049.5625,6633.561971419999,1000.0
264,9.978719711303711,521559,0.034765779972076416,3700,-0.03820762410759926,7297.96142578125,6663.02945694,1000.0
264,9.980682373046875,535659,0.2040281891822815,3800,-0.16096170246601105,6564.73681640625,7103.24590381,1000.0
264,9.984251022338867,549759,0.27159690856933594,3900,0.13180595636367798,5009.35009765625,7385.709916799999,1000.0
263,9.990361213684082,563859,1.4960765838623047e-05,4000,-0.13698916137218475,20345.982421875,7769.56097838,1000.0
263,9.994598388671875,577959,0.03188765048980713,4100,-0.03904537856578827,8223.205078125,7939.706020810001,1000.0
263,9.997831344604492,592059,0.051158905029296875,4200,-0.08241740614175797,12112.5361328125,7894.367887899999,1000.0
262,10.000977516174316,606159,0.011435210704803467,4300,-0.2240658402442932,30946.677734375,8120.518457009998,1000.0
262,10.000941276550293,620259,0.0938529372215271,4400,-0.0008493661880493164,7988.80712890625,8383.44425587,1000.0
262,10.003645896911621,634359,0.006569564342498779,4500,0.06077151000499725,70677.7734375,8370.74089271,1000.0
262,10.003835678100586,648459,0.14489012956619263,4600,-0.11216142773628235,10600.919921875,8429.015189630001,1000.0
262,10.007796287536621,662559,-5.9485435485839844e-05,4700,-0.10566624253988266,14590.5107421875,8601.89461753,1000.0
262,10.009242057800293,676659,0.14532470703125,4800,-0.5338453054428101,10662.689453125,8521.5786185,1000.0
262,10.011387825012207,690759,0.005399644374847412,4900,-0.012969762086868286,10371.0283203125,9003.59458843,1000.0
262,10.015439987182617,704859,0.00387418270111084,5000,0.03512072563171387,36968.78515625,8924.32058845,1000.0
262,10.017091751098633,718959,0.007763564586639404,5100,-0.0011480823159217834,10616.6630859375,9084.19511443,1000.0
262,10.019807815551758,733059,0.006547272205352783,5200,-0.11261915415525436,15399.70703125,9315.75847724,1000.0
262,10.020967483520508,747159,0.0001838207244873047,5300,-0.11920267343521118,41641.6015625,9702.213305379999,1000.0
263,10.024338722229004,761259,0.048909008502960205,5400,0.1585054099559784,11085.2822265625,9675.87499363,1000.0
263,10.027463912963867,775359,7.385015487670898e-05,5500,-0.20647403597831726,8149.11865234375,9753.12546272,1000.0
263,10.030454635620117,789459,0.00020813941955566406,5600,-0.25388243794441223,69821.5859375,9876.337275489997,1000.0
263,10.033814430236816,803559,0.017834901809692383,5700,-0.42505335807800293,53228.09765625,10276.00788909,1000.0
263,10.036301612854004,817659,0.00019568204879760742,5800,0.23869186639785767,183371.078125,10292.12965959,1000.0
263,10.037079811096191,831759,-0.00010609626770019531,5900,-0.04482193663716316,18542.37890625,10098.20810427,1000.0
263,10.038895606994629,845859,0.01647007465362549,6000,-0.049511123448610306,133712.09375,10069.61087586,1000.0
263,10.043456077575684,859959,0.0017480850219726562,6100,-0.2857595384120941,34608.2734375,10212.35358475,1000.0
263,10.04625129699707,874059,0.09249329566955566,6200,-0.1980401575565338,20311.28125,10481.97085208,1000.0
263,10.047694206237793,888159,0.005620419979095459,6300,-0.014552861452102661,43190.0625,10674.069925259999,1000.0
263,10.049576759338379,902259,0.009231328964233398,6400,-0.17112231254577637,18192.55078125,10659.395559200002,1000.0
263,10.051773071289062,916359,0.005344510078430176,6500,-0.07565881311893463,155463.578125,10933.454557370002,1000.0
263,10.05512809753418,930459,0.042217910289764404,6600,0.28620681166648865,34639.21484375,11008.139670539997,1000.0
263,10.059021949768066,944559,0.000961601734161377,6700,0.058587104082107544,56667.40625,11420.81258165,1000.0
263,10.06254768371582,958659,0.011243283748626709,6800,-0.06894099712371826,75749.78125,11358.54116592,1000.0
263,10.063542366027832,972759,0.0011898279190063477,6900,0.020767755806446075,114228.640625,11495.681459660002,1000.0
263,10.064671516418457,986859,0.0010977983474731445,7000,-0.010815277695655823,52745.37109375,11609.33826402,1000.0
263,10.068681716918945,1000959,0.13716739416122437,7100,-0.1560550034046173,21097.115234375,11732.90319646,1000.0
263,10.07075309753418,1015059,0.006624698638916016,7200,0.018225207924842834,50608.69140625,11987.478335449998,1000.0
263,10.072370529174805,1029159,1.3947486877441406e-05,7300,0.12476412206888199,16558.85546875,12051.55218159,1000.0
263,10.075270652770996,1043259,1.2695789337158203e-05,7400,-0.34389030933380127,18113.771484375,12031.0456199,1000.0
263,10.078291893005371,1057359,0.0038955211639404297,7500,-0.032393909990787506,24517.16015625,12384.647054370003,1000.0
263,10.082274436950684,1071459,0.02907174825668335,7600,-0.13014957308769226,28081.70703125,12839.128557270002,1000.0
263,10.083207130432129,1085559,0.0022843480110168457,7700,0.05222814530134201,38737.19921875,12946.040271110003,1000.0
263,10.087031364440918,1099659,1.913309097290039e-05,7800,0.18884676694869995,22955.501953125,12978.072383699999,1000.0
263,10.087922096252441,1113759,0.0009548664093017578,7900,-0.27670595049858093,82316.4921875,12764.901168380002,1000.0
263,10.091552734375,1127859,0.000647127628326416,8000,-0.00318802148103714,49149.46484375,13065.8149725,1000.0
263,10.093657493591309,1141959,0.013211667537689209,8100,-0.1216452568769455,183094.6875,13631.672697550002,1000.0
