total_timesteps,nupdates,explained_variance,fps,policy_loss,value_loss,policy_entropy,ep_reward_mean,ep_len_mean
137619,1700,0.5690669119358063,107,-0.16718456149101257,0.0009427700424566865,3.4126229286193848,12117.782258930003,1001.0
145719,1800,0.9377404637634754,107,-0.03837601840496063,0.000784337695222348,3.348515033721924,12246.021343699997,1001.0
153819,1900,-0.14583194255828857,107,-0.08976136893033981,0.0003597347531467676,3.287444591522217,12444.831542729999,1001.0
161919,2000,0.8778546005487442,107,-0.08513601124286652,0.0014240251621231437,3.2287449836730957,12682.9374507,1001.0
170019,2100,-0.10099565982818604,107,-0.10290645062923431,0.0004660789854824543,3.1963751316070557,12784.60141487,1001.0
178119,2200,0.9584773257374763,107,-0.24299675226211548,0.0003966286894865334,3.1663551330566406,12885.097417809999,1001.0
186219,2300,0.9626817293465137,107,-0.03747600317001343,0.0006265227566473186,3.1280081272125244,12950.25864172,1001.0
194319,2400,0.9331310614943504,108,-0.0822453498840332,0.0003831982030533254,3.089154005050659,13022.001990560002,1001.0
202419,2500,0.9511881321668625,108,-0.2654031217098236,0.0007167042349465191,3.04349684715271,13062.85295317,1001.0
210519,2600,0.9529336579144001,108,-0.053416818380355835,0.0005767912371084094,2.988445520401001,13090.4287931,1001.0
218619,2700,0.904672160744667,108,-0.19178543984889984,0.0012463374296203256,2.943204879760742,13122.146846589998,1001.0
226719,2800,0.8992982655763626,109,0.01212313212454319,0.001392984064295888,2.9241907596588135,13145.601843110002,1001.0
234819,2900,0.9447413198649883,109,-0.2436101734638214,0.0004971417365595698,2.92533278465271,13177.123482629999,1001.0
242919,3000,0.9130711033940315,109,-0.06070781499147415,0.0011232385877519846,2.911973714828491,13204.88017199,1001.0
251019,3100,0.9551979675889015,109,-0.027326662093400955,0.0006453841924667358,2.888047695159912,13214.59277002,1001.0
259119,3200,0.948684137314558,109,-0.46896055340766907,0.0006019485299475491,2.8549764156341553,13212.123732049999,1001.0
267219,3300,0.9171056002378464,109,-0.2418573498725891,0.0010306134354323149,2.829029083251953,13219.316716510002,1001.0
275319,3400,0.9313290640711784,110,-0.4477140009403229,0.0007717743865214288,2.780531167984009,13211.67079549,1001.0
283419,3500,-0.0663290023803711,110,0.028086917474865913,0.0003075314743909985,2.7513785362243652,13210.28018046,1001.0
291519,3600,0.8315492123365402,110,-0.3188404142856598,0.0012357665691524744,2.7045061588287354,13213.77942026,1001.0
299619,3700,0.9312467947602272,110,-0.2447420060634613,0.0008735150331631303,2.672313928604126,13233.788099099998,1001.0
307719,3800,0.9078569263219833,110,-0.309094101190567,0.0009347503073513508,2.6507623195648193,13241.539483870003,1001.0
315819,3900,0.9114969372749329,111,-0.2949177324771881,0.0008314577862620354,2.618121385574341,13248.819189429998,1001.0
323919,4000,0.9154921174049377,111,-0.2132173478603363,0.0010433753486722708,2.5942771434783936,13269.178642339999,1001.0
332019,4100,0.9537153355777264,111,-0.18272270262241364,0.0005658598965965211,2.56642746925354,13275.824091819997,1001.0
340119,4200,0.9350118935108185,111,-0.08003334701061249,0.0006083417683839798,2.542703866958618,13281.016316469999,1001.0
348219,4300,-0.2920273542404175,111,0.1074228584766388,0.0008525086450390518,2.5138721466064453,13283.93952834,1001.0
356319,4400,0.9315143376588821,112,0.17502330243587494,0.0008454559138044715,2.493180990219116,13295.8426638,1001.0
364419,4500,0.9100548475980759,112,-0.11401660740375519,0.0009226625552400947,2.4879114627838135,13300.387941299998,1001.0
372519,4600,0.9186140224337578,112,0.10830298811197281,0.0008232971886172891,2.5001277923583984,13314.35540039,1001.0
380619,4700,0.9167867228388786,112,-0.1354641169309616,0.0009763160487636924,2.4924187660217285,13336.25294948,1001.0
388719,4800,0.9272706061601639,112,0.07216177880764008,0.0006983033381402493,2.481374502182007,13348.305622089996,1001.0
396819,4900,0.9183816686272621,112,-0.06769954413175583,0.0008048778399825096,2.4866275787353516,13353.632122439998,1001.0
404919,5000,0.9004514515399933,112,0.07141169160604477,0.0011347386753186584,2.484959363937378,13354.72447699,1001.0
413019,5100,0.9651381783187389,113,0.03506862372159958,0.0004560234083328396,2.4862678050994873,13357.791816190002,1001.0
421119,5200,0.9520185403525829,113,-0.25608813762664795,0.0009042949532158673,2.5104925632476807,13367.512022920002,1001.0
429219,5300,0.9342755302786827,113,-0.15878090262413025,0.000843451009131968,2.5228826999664307,13362.501778739997,1001.0
437319,5400,0.9188351258635521,113,0.03906071186065674,0.0010057634208351374,2.5157322883605957,13356.108614220002,1001.0
445419,5500,0.8881496861577034,113,0.005378589034080505,0.0009912243112921715,2.512709856033325,13359.856071600001,1001.0
453519,5600,0.9582287967205048,113,0.03090464137494564,0.00028611559537239373,2.4705278873443604,13348.821005400003,1001.0
461619,5700,0.9613406732678413,113,0.1740671545267105,0.0009567477973178029,2.464296579360962,13330.244718150001,1001.0
469719,5800,0.9329656362533569,113,-0.06746308505535126,0.0013053696602582932,2.4732799530029297,13325.115779900001,1001.0
477819,5900,0.940853089094162,113,0.262734591960907,0.0010957138147205114,2.4679665565490723,13304.500179209996,1001.0
485919,6000,0.9513087347149849,114,-0.15369169414043427,0.0009271606686525047,2.449218511581421,13280.41173169,1001.0
494019,6100,0.1454470157623291,114,-0.004776032641530037,0.0011230859672650695,2.4350478649139404,13276.33772292,1001.0
502119,6200,0.014509439468383789,114,0.05476406216621399,0.0011657809372991323,2.4242653846740723,13261.62107855,1001.0
