policy_entropy,explained_variance,total_timesteps,nupdates,policy_loss,value_loss,fps,ep_reward_mean,ep_len_mean
10.40062141418457,5.602836608886719e-06,1141959,8100,-0.20937183499336243,71611.2421875,267,13540.74542869,1000.0
10.404905319213867,7.152557373046875e-05,1156059,8200,-0.1347183883190155,25706.970703125,267,13896.781443,1000.0
10.407393455505371,0.0003197193145751953,1170159,8300,-0.09590094536542892,46288.62890625,267,14135.25573724,1000.0
10.408116340637207,0.0004748106002807617,1184259,8400,-0.13119198381900787,29879.92578125,268,14432.11840941,1000.0
10.411989212036133,-2.384185791015625e-07,1198359,8500,-0.4191838204860687,27098.5703125,268,14601.917415840004,1000.0
10.416661262512207,0.00027805566787719727,1212459,8600,0.28557533025741577,24742.064453125,268,14752.187767549998,1000.0
10.41874885559082,1.2755393981933594e-05,1226559,8700,0.18382859230041504,24225.16796875,268,14934.17831243,1000.0
10.421293258666992,1.0132789611816406e-06,1240659,8800,-0.27590665221214294,44473.48046875,268,15130.077542640001,1000.0
10.425419807434082,0.0,1254759,8900,-0.24030563235282898,42274.76953125,268,15564.21734198,1000.0
10.428645133972168,5.364418029785156e-06,1268859,9000,-0.1749981790781021,24570.486328125,268,15911.62113784,1000.0
10.431961059570312,2.8014183044433594e-06,1282959,9100,-0.09835396707057953,31885.78515625,268,16211.618428630003,1000.0
10.434422492980957,1.6689300537109375e-06,1297059,9200,-0.23062056303024292,34220.6328125,269,16359.402380549998,1000.0
10.437321662902832,8.344650268554688e-07,1311159,9300,-0.15447837114334106,25286.32421875,269,16706.10344261,1000.0
10.43946361541748,-2.384185791015625e-07,1325259,9400,-0.04978290572762489,44306.20703125,269,16957.31501423,1000.0
10.440614700317383,1.7881393432617188e-07,1339359,9500,0.028543025255203247,53990.2734375,269,17068.29767333,1000.0
10.444082260131836,1.3113021850585938e-06,1353459,9600,-0.06927183270454407,40120.13671875,269,17219.383221879998,1000.0
10.446929931640625,0.0,1367559,9700,0.017821379005908966,37558.828125,269,17505.264687789997,1000.0
10.446195602416992,1.1920928955078125e-07,1381659,9800,-0.2395174354314804,22906.037109375,269,17704.802983850004,1000.0
10.447392463684082,0.0,1395759,9900,0.03534172475337982,35718.23046875,269,18110.37820826,1000.0
10.448740005493164,1.1920928955078125e-07,1409859,10000,-0.3523993194103241,57415.78515625,270,18428.319584070003,1000.0
10.447752952575684,1.1920928955078125e-07,1423959,10100,-0.05084824934601784,28638.205078125,270,18465.12073265,1000.0
10.450315475463867,0.0,1438059,10200,-0.46915939450263977,27179.34375,270,18898.72207489,1000.0
10.451615333557129,5.662441253662109e-06,1452159,10300,-0.14730066061019897,38187.9375,270,19184.64657595,1000.0
10.451919555664062,1.1920928955078125e-07,1466259,10400,-0.05059390142560005,75199.046875,270,19410.227526839997,1000.0
10.45359992980957,5.960464477539063e-08,1480359,10500,0.05272381007671356,23587.326171875,270,19510.043033089998,1000.0
10.456979751586914,0.0,1494459,10600,-0.2284088134765625,33550.65234375,270,19716.77401443,1000.0
10.458879470825195,5.960464477539063e-08,1508559,10700,-0.11943919211626053,55750.26953125,271,20020.10143507,1000.0
10.461334228515625,1.1920928955078125e-07,1522659,10800,0.001151755452156067,65000.671875,271,20396.52208727,1000.0
10.46173095703125,1.1920928955078125e-07,1536759,10900,-0.026334702968597412,78261.65625,271,20607.995068379998,1000.0
10.463785171508789,5.960464477539063e-08,1550859,11000,0.016019120812416077,38759.50390625,271,20964.317983179997,1000.0
