nupdates,total_timesteps,explained_variance,policy_entropy,value_loss,policy_loss,fps,ep_len_mean,ep_reward_mean
2400,194319,0.011185288429260254,8.896954536437988,6.5860419273376465,-0.2582346796989441,279,1000.0,13197.986173930001
2500,202419,0.010629117488861084,8.884966850280762,6.529475212097168,-0.0800737589597702,278,1000.0,13312.536457019998
2600,210519,0.007572293281555176,8.897207260131836,6.645209312438965,0.1904831826686859,278,1000.0,13417.819980909999
2700,218619,0.004605412483215332,8.861154556274414,6.545483589172363,-0.1526324599981308,277,1000.0,13475.942349449999
2800,226719,-0.004431247711181641,8.824424743652344,6.410658359527588,-0.11638975143432617,276,1000.0,13540.7148333
2900,234819,-0.0020287036895751953,8.818205833435059,6.476640224456787,-0.03763660043478012,276,1000.0,13609.99645049
3000,242919,0.006658494472503662,8.724624633789062,6.546343803405762,-0.33320915699005127,275,1000.0,13683.149014549996
3100,251019,-0.010521531105041504,8.637436866760254,6.575869560241699,0.15601062774658203,275,1000.0,13774.091717530002
3200,259119,0.010319292545318604,8.554442405700684,6.807358741760254,-0.39218419790267944,274,1000.0,13872.51243215
3300,267219,0.025979459285736084,8.432493209838867,6.7885541915893555,0.24796786904335022,274,1000.0,13958.315790530001
3400,275319,0.0012195110321044922,8.331313133239746,7.026416778564453,-0.29745975136756897,273,1000.0,14061.050545770002
3500,283419,-0.06313192844390869,8.278044700622559,7.352485656738281,-0.08713062852621078,273,1000.0,14181.968955320004
3600,291519,0.004393041133880615,8.269048690795898,7.479678153991699,-0.008016258478164673,272,1000.0,14306.77969307
3700,299619,0.002108275890350342,8.251983642578125,7.589404106140137,0.18111565709114075,272,1000.0,14429.931926310002
3800,307719,0.0027317404747009277,8.210314750671387,7.656089782714844,0.384268581867218,272,1000.0,14553.729419970003
3900,315819,0.004621386528015137,8.126574516296387,7.897668361663818,-0.08109288662672043,271,1000.0,14689.543214009998
4000,323919,-0.000133514404296875,8.088422775268555,7.787280082702637,-0.3506322503089905,271,1000.0,14832.396528369998
4100,332019,0.013702750205993652,8.034483909606934,7.9541521072387695,0.23424865305423737,271,1000.0,14970.605374679999
4200,340119,-0.0024646520614624023,8.016286849975586,7.917585849761963,-0.03806627541780472,271,1000.0,15067.715609109997
4300,348219,0.0028815865516662598,7.976181983947754,7.924879550933838,-0.2919917404651642,270,1000.0,15161.522987699998
4400,356319,-0.0018928050994873047,7.930861473083496,7.922763824462891,-0.14588604867458344,270,1000.0,15241.554053180002
4500,364419,-7.855892181396484e-05,7.873406410217285,7.9535017013549805,-0.08758623152971268,270,1000.0,15332.270883020003
4600,372519,0.07490313053131104,7.852080345153809,8.040542602539062,-0.2734251320362091,270,1000.0,15410.574077430001
4700,380619,-0.15313684940338135,7.759322166442871,8.01457405090332,-0.10394872725009918,269,1000.0,15458.578258960002
4800,388719,-0.004954934120178223,7.711394309997559,8.136908531188965,-0.01373317837715149,269,1000.0,15499.379304569999
4900,396819,-0.0006115436553955078,7.741440773010254,8.268620491027832,0.14496642351150513,269,1000.0,15531.056715739998
5000,404919,0.11407965421676636,7.758316993713379,8.401126861572266,0.056367985904216766,269,1000.0,15570.09134582
5100,413019,0.0025346875190734863,7.745373725891113,8.464767456054688,0.004663825035095215,269,1000.0,15605.209439970002
5200,421119,-0.0018709897994995117,7.697638511657715,8.394137382507324,-0.5752546787261963,268,1000.0,15621.57145382
5300,429219,-0.00022459030151367188,7.719010353088379,8.354069709777832,0.11409112811088562,268,1000.0,15648.415059120001
5400,437319,-2.7418136596679688e-05,7.693240165710449,8.304219245910645,0.18507641553878784,268,1000.0,15680.977624789997
5500,445419,0.0001537799835205078,7.658066749572754,8.297124862670898,-0.10733067989349365,268,1000.0,15717.072644260003
5600,453519,0.0008792281150817871,7.645005226135254,8.317384719848633,-0.33150461316108704,268,1000.0,15732.43815918
5700,461619,-0.004773378372192383,7.621890068054199,8.379663467407227,0.18447744846343994,268,1000.0,15744.31575306
5800,469719,0.006200313568115234,7.606579780578613,8.40678596496582,-0.35918933153152466,268,1000.0,15747.29839847
5900,477819,0.00035822391510009766,7.611838340759277,8.445375442504883,-0.39104920625686646,267,1000.0,15755.53953526
6000,485919,-0.0047070980072021484,7.575150489807129,8.471412658691406,-0.3442733585834503,267,1000.0,15762.376434810001
6100,494019,-0.0006270408630371094,7.586243629455566,8.452143669128418,-0.23489351570606232,267,1000.0,15765.457720289998
6200,502119,-0.0006707906723022461,7.608176231384277,8.447332382202148,0.3095322549343109,267,1000.0,15771.922486170002
