policy_entropy,total_timesteps,value_loss,fps,explained_variance,nupdates,policy_loss,ep_reward_mean,ep_len_mean
9.933638572692871,234819,0.18113572895526886,257,-3.822314739227295,2900,-0.09770979732275009,220.93491276000003,1000.0
9.933646202087402,242919,0.06722895801067352,257,-163.3747100830078,3000,-0.1252937614917755,217.09061155,1000.0
9.933707237243652,251019,0.15026673674583435,257,-1.8179008960723877,3100,-0.07590693980455399,218.38527818,1000.0
9.93371868133545,259119,0.09688825160264969,257,-1117.646728515625,3200,0.10779953747987747,221.68047588000002,1000.0
9.933721542358398,267219,0.13985520601272583,257,-416.4032897949219,3300,-0.3001061677932739,228.97076121999999,1000.0
9.933747291564941,275319,0.09308169782161713,257,-24034.572265625,3400,-0.16940298676490784,235.4788155,1000.0
9.933762550354004,283419,0.1613585203886032,257,-1.3856546878814697,3500,-0.06920728087425232,249.17719403000004,1000.0
9.933770179748535,291519,0.11846323311328888,257,-13.578907012939453,3600,0.020534969866275787,247.76826965,1000.0
9.933794021606445,299619,0.12229975312948227,257,-3495.1904296875,3700,-0.3128886818885803,253.34700184999994,1000.0
9.93381404876709,307719,0.0894162654876709,257,-20.4202823638916,3800,0.09669081121683121,241.45044778000002,1000.0
9.93384075164795,315819,0.08342102915048599,257,-4.91403341293335,3900,0.07791659981012344,241.58129614,1000.0
9.933862686157227,323919,0.06986437737941742,257,-1663.2542724609375,4000,-0.03870120272040367,242.62272707999998,1000.0
9.933905601501465,332019,0.09661577641963959,257,-79.70794677734375,4100,-0.2547580897808075,247.27413435999995,1000.0
9.933937072753906,340119,0.13902735710144043,257,-3.7580771446228027,4200,-0.406854510307312,249.33875047,1000.0
9.9339599609375,348219,0.14398711919784546,257,-10.304895401000977,4300,0.09484764188528061,241.75070534,1000.0
9.933990478515625,356319,0.20157334208488464,257,-0.7956212759017944,4400,-0.4782792329788208,238.46931923,1000.0
9.934002876281738,364419,0.1459486484527588,257,-0.4132535457611084,4500,-0.2949484586715698,242.77849680999995,1000.0
9.934004783630371,372519,0.4679830074310303,257,-0.6277854442596436,4600,0.6060391664505005,250.00417218000007,1000.0
9.934035301208496,380619,5.491208076477051,257,-0.13579094409942627,4700,0.018827728927135468,251.1013514,1000.0
9.934069633483887,388719,0.18491001427173615,257,-0.25617706775665283,4800,-0.40395379066467285,239.95609612000007,1000.0
9.934081077575684,396819,0.06240420415997505,257,-7.9621124267578125,4900,-0.09187492728233337,233.43288840999998,1000.0
9.934103965759277,404919,0.13258975744247437,257,-1226.372802734375,5000,0.09281948208808899,231.07336664000002,1000.0
9.934150695800781,413019,0.11102430522441864,257,-3.187753200531006,5100,-0.23245146870613098,229.76645232,1000.0
9.934167861938477,421119,0.9066575765609741,257,0.16175627708435059,5200,0.056933239102363586,230.59764502,1000.0
9.934195518493652,429219,0.12778279185295105,257,-32.42732238769531,5300,-0.35402053594589233,229.63565267,1000.0
9.934218406677246,437319,0.12031841278076172,257,-1.9535415172576904,5400,-0.4344063401222229,231.74405087,1000.0
9.93424129486084,445419,0.08481770753860474,257,-8.514113426208496,5500,-0.029279083013534546,235.06783142999996,1000.0
9.934256553649902,453519,0.08849738538265228,257,-1137.8338623046875,5600,-0.4428633749485016,236.06045574,1000.0
9.934272766113281,461619,0.08844427764415741,257,-33.28624725341797,5700,-0.4224782884120941,229.89845112999998,1000.0
9.934282302856445,469719,0.05508565902709961,256,-2210.868408203125,5800,0.10323624312877655,230.97780607999997,1000.0
9.934296607971191,477819,0.13353340327739716,256,-56.539424896240234,5900,-0.18116885423660278,215.67116098000002,1000.0
