fps,nupdates,value_loss,total_timesteps,policy_loss,explained_variance,policy_entropy,ep_len_mean,ep_reward_mean
290,5000,6.017385482788086,704859,0.018648061901330948,-0.0005080699920654297,5.387298583984375,1000.0,124116.60220681998
290,5100,5.961971759796143,718959,0.02987688034772873,0.0013220906257629395,5.396057605743408,1000.0,124109.08315107
290,5200,5.968627452850342,733059,0.28078538179397583,-0.0006346702575683594,5.449239253997803,1000.0,124241.14635580001
290,5300,5.95562219619751,747159,-0.2006770521402359,0.0013096928596496582,5.451370716094971,1000.0,124140.89872937002
290,5400,5.91043758392334,761259,-0.07672406733036041,-0.010286808013916016,5.465108394622803,1000.0,123936.20151654999
290,5500,5.90321159362793,775359,0.023257628083229065,-0.002491593360900879,5.476419925689697,1000.0,123841.38237987
290,5600,5.907409191131592,789459,0.005817849189043045,-0.09456634521484375,5.553627014160156,1000.0,123840.87114848997
290,5700,5.8780341148376465,803559,-0.13641610741615295,0.0035755038261413574,5.513193607330322,1000.0,123795.82608061997
291,5800,5.939058780670166,817659,-0.2019757479429245,0.003327608108520508,5.53319787979126,1000.0,123797.08142239
291,5900,5.905427932739258,831759,0.10494312644004822,-5.805492401123047e-05,5.476546764373779,1000.0,123206.94417775002
291,6000,5.943160533905029,845859,-0.25049886107444763,-0.0005269050598144531,5.5191779136657715,1000.0,123301.04652447002
291,6100,5.866987705230713,859959,-0.167392760515213,0.0004724264144897461,5.577720642089844,1000.0,123251.26539927999
291,6200,5.868612766265869,874059,-0.10365583002567291,-0.0006140470504760742,5.5463175773620605,1000.0,123340.09677123999
291,6300,5.811871528625488,888159,-0.013943061232566833,0.00015741586685180664,5.531113624572754,1000.0,123286.48140144002
291,6400,5.874482154846191,902259,-0.17710082232952118,-0.007456302642822266,5.505002498626709,1000.0,123361.39356937999
291,6500,5.913613319396973,916359,-0.07746864855289459,0.00023323297500610352,5.514729976654053,1000.0,123349.10620639002
291,6600,5.901658535003662,930459,-0.2589655816555023,-0.004075527191162109,5.5860443115234375,1000.0,123761.57730314002
291,6700,5.838584899902344,944559,-0.006495341658592224,-0.008730292320251465,5.643035411834717,1000.0,124035.02404167
291,6800,5.845029830932617,958659,0.10215595364570618,0.0035210847854614258,5.66717004776001,1000.0,124205.01919338
292,6900,5.734996318817139,972759,-0.028631942346692085,-0.004377484321594238,5.671096324920654,1000.0,124184.10369007001
292,7000,5.61005973815918,986859,-0.10105976462364197,-0.013155221939086914,5.6624579429626465,1000.0,124221.24822990998
292,7100,5.605815410614014,1000959,-0.08529992401599884,-0.0003368854522705078,5.676201343536377,1000.0,124165.98243331
