EpisodesSoFar,TimeElapsed,TimestepsSoFar,entropy,entloss,surrgain,EpThisIter,meankl,EpLenMean,optimgain,explained_variance_tdlam_before,EpRewMean
288,2438.0821046829224,288768,1.2376299,0.0,0.023867764,1,0.010242639,1001.0,0.023867764,0.004782676696777344,35655.1654312
289,2446.570045232773,289792,1.2143401,0.0,0.028223772,1,0.0106996875,1001.0,0.028223772,0.05073714256286621,36030.4695138
290,2455.565207719803,290816,1.2367048,0.0,0.022872329,1,0.011261118,1001.0,0.022872329,-0.008199095726013184,35991.922200349996
291,2464.191002368927,291840,1.2005907,0.0,0.029070945,1,0.011217719,1001.0,0.029070945,0.1093752384185791,36196.691118300005
292,2472.685171365738,292864,1.180847,0.0,0.021125041,1,0.011032188,1001.0,0.021125041,0.009818553924560547,36479.7085028
293,2481.648017644882,293888,1.1742872,0.0,0.025493989,1,0.011233505,1001.0,0.025493989,-0.002366185188293457,36791.93865529999
294,2489.8799414634705,294912,1.1337601,0.0,0.026700482,1,0.010498228,1001.0,0.026700482,-0.0045473575592041016,37255.22336165
295,2498.577101945877,295936,1.0881901,0.0,0.02607064,1,0.011743306,1001.0,0.02607064,0.0014975666999816895,37479.35519515
296,2506.878540992737,296960,1.1011946,0.0,0.020905238,1,0.010710194,1001.0,0.020905238,-0.005078911781311035,37735.1292709
297,2515.5087678432465,297984,1.1143646,0.0,0.023981992,1,0.010478362,1001.0,0.023981992,-0.028334379196166992,37760.4624586
298,2523.994472503662,299008,1.1253271,0.0,0.020161595,1,0.009594467,1001.0,0.020161595,-0.007187008857727051,37855.22509225
299,2532.332548379898,300032,1.1138319,0.0,0.033769883,1,0.011122204,1001.0,0.033769883,0.23659241199493408,37777.366148825
300,2540.5419013500214,301056,1.1347711,0.0,0.026360884,1,0.010636002,1001.0,0.026360884,0.0020598769187927246,37906.100814875
301,2548.6922895908356,302080,1.0566411,0.0,0.024598848,1,0.010071003,1001.0,0.024598848,0.005835473537445068,38052.92310285
302,2557.3573343753815,303104,1.0676591,0.0,0.029223217,1,0.0115844775,1001.0,0.029223217,-0.2782933712005615,38230.88494522501
303,2566.180764913559,304128,1.0552284,0.0,0.032495745,1,0.010538482,1001.0,0.032495745,-0.008384466171264648,38213.8057214
304,2574.5081520080566,305152,1.0144029,0.0,0.040538397,1,0.012802796,1001.0,0.040538397,0.20629453659057617,38271.10999995
305,2582.9353506565094,306176,1.0104384,0.0,0.041565403,1,0.011294279,1001.0,0.041565403,-0.31025445461273193,38471.304561925
306,2592.3632385730743,307200,1.0103989,0.0,0.01836386,1,0.0113116205,1001.0,0.01836386,0.0015208125114440918,38454.244172624996
307,2601.0709085464478,308224,1.0092931,0.0,0.020917129,1,0.010831438,1001.0,0.020917129,0.0006887912750244141,38456.89816535
308,2609.219220638275,309248,0.98777044,0.0,0.03654845,1,0.010627603,1001.0,0.03654845,0.18463271856307983,38619.03579562499
309,2617.807713031769,310272,0.99316597,0.0,0.03340884,1,0.011660583,1001.0,0.03340884,-0.30498194694519043,38951.593228775004
310,2626.3097009658813,311296,1.0162352,0.0,0.022771444,1,0.009717884,1001.0,0.022771444,-0.000567317008972168,39248.580299550005
312,2635.3208088874817,312320,1.006422,0.0,0.038745727,2,0.014429856,1001.0,0.038745727,0.06429356336593628,40030.389467225
