value_loss,policy_entropy,explained_variance,approxkl,fps,n_updates,policy_loss,clipfrac,time_elapsed,serial_timesteps,total_timesteps,ep_reward_mean,ep_len_mean
7.6438184e-05,9.363409,-0.0702676773071289,0.051476873,256,3030,0.005146521,0.3359375,2211.4348113536835,96960,387840,59074.86437226,500.0
0.00016470632,9.367863,-0.08761155605316162,0.023474414,299,3031,0.007516698,0.27734375,2211.934552192688,96992,387968,59074.86437226,500.0
0.5545187,9.360327,0.023994386196136475,0.07088807,33,3032,0.00036713947,0.52734375,2212.362911462784,97024,388096,59434.062962029995,500.0
0.0009954955,9.366866,-0.035266995429992676,0.050476335,238,3033,0.0036338957,0.40039062,2216.186858892441,97056,388224,59434.062962029995,500.0
0.0006044857,9.374171,-0.04511213302612305,0.021413293,261,3034,-0.0015360755,0.27148438,2216.723619222641,97088,388352,59434.062962029995,500.0
0.0005348312,9.389368,-0.07886064052581787,0.02189225,242,3035,0.0044006505,0.2578125,2217.2152876853943,97120,388480,59434.062962029995,500.0
0.0004544612,9.415621,-0.06509947776794434,0.07407577,261,3036,0.018802084,0.46679688,2217.744777202606,97152,388608,59434.062962029995,500.0
0.00034252016,9.435034,-0.09337162971496582,0.027442673,237,3037,0.008081278,0.30273438,2218.2350878715515,97184,388736,59434.062962029995,500.0
0.00032501484,9.438312,-0.15743041038513184,0.03299999,240,3038,-0.0075041717,0.32421875,2218.7747671604156,97216,388864,59434.062962029995,500.0
0.00024080554,9.435049,-0.0494765043258667,0.0428741,250,3039,0.0068519292,0.40039062,2219.307391643524,97248,388992,59434.062962029995,500.0
0.0001990178,9.432671,-0.06467258930206299,0.041154362,255,3040,0.022826258,0.38476562,2219.819278717041,97280,389120,59434.062962029995,500.0
0.00021344292,9.433698,-0.2652932405471802,0.05455862,247,3041,-0.0033225147,0.42382812,2220.3203523159027,97312,389248,59434.062962029995,500.0
0.00028277672,9.437769,-0.06734585762023926,0.12357715,238,3042,0.057857532,0.5878906,2220.838262796402,97344,389376,59434.062962029995,500.0
0.00011576786,9.449901,-0.20621514320373535,0.025275439,251,3043,-0.020081513,0.32421875,2221.3747942447662,97376,389504,59434.062962029995,500.0
0.0003531144,9.466564,0.029975533485412598,0.015774589,233,3044,-0.008957585,0.17578125,2221.8854196071625,97408,389632,59434.062962029995,500.0
9.828718e-05,9.46946,-0.6886361837387085,0.03505223,248,3045,-0.024837332,0.3671875,2222.433970928192,97440,389760,59434.062962029995,500.0
6.2797386e-05,9.470855,-0.328416109085083,0.039684918,274,3046,0.0071198903,0.34375,2222.9504928588867,97472,389888,59434.062962029995,500.0
0.850817,9.457685,0.01514667272567749,0.09900763,31,3047,-0.00838032,0.4375,2223.4175865650177,97504,390016,59523.14778857,500.0
0.004691379,9.4550905,-0.7963396310806274,0.09851851,271,3048,-0.02745201,0.41796875,2227.4476404190063,97536,390144,59523.14778857,500.0
0.0011753925,9.461753,-0.03312575817108154,0.0473172,246,3049,-0.008315197,0.42773438,2227.9201440811157,97568,390272,59523.14778857,500.0
0.0010762484,9.4728985,-0.013154745101928711,0.031031078,259,3050,0.0039987727,0.3125,2228.4399724006653,97600,390400,59523.14778857,500.0
0.00079605484,9.4855995,-0.02703237533569336,0.03379697,251,3051,0.010744922,0.39648438,2228.9346952438354,97632,390528,59523.14778857,500.0
0.0006940487,9.49823,-0.04080939292907715,0.05030429,242,3052,0.01271474,0.43359375,2229.44486451149,97664,390656,59523.14778857,500.0
0.000490701,9.497882,-0.01875007152557373,0.038560543,250,3053,0.011195866,0.3359375,2229.974204301834,97696,390784,59523.14778857,500.0
0.00036285358,9.494926,-0.01091909408569336,0.028130012,232,3054,-0.0060226405,0.38085938,2230.4863164424896,97728,390912,59523.14778857,500.0
0.00032681483,9.504749,-0.08884584903717041,0.05434397,243,3055,0.0057971794,0.37304688,2231.0380206108093,97760,391040,59523.14778857,500.0
0.00026401674,9.521468,-0.09809887409210205,0.020631293,247,3056,-0.016370796,0.23828125,2231.564152240753,97792,391168,59523.14778857,500.0
0.00026377902,9.530925,-0.03358745574951172,0.025401866,257,3057,-0.0032037976,0.35351562,2232.0822372436523,97824,391296,59523.14778857,500.0
0.00028464646,9.527178,-0.023677945137023926,0.028927734,253,3058,0.0053596427,0.31445312,2232.579336643219,97856,391424,59523.14778857,500.0
0.00043177133,9.527844,-0.08700191974639893,0.07326736,250,3059,0.023266917,0.47851562,2233.0842854976654,97888,391552,59523.14778857,500.0
0.00014239771,9.5304575,-0.002535104751586914,0.0244489,254,3060,-0.0043997127,0.29492188,2233.596454143524,97920,391680,59523.14778857,500.0
0.00023661181,9.53525,0.023096978664398193,0.04080578,281,3061,0.014110547,0.2734375,2234.100205183029,97952,391808,59523.14778857,500.0
8.624009e-05,9.536934,-0.1356053352355957,0.0340265,258,3062,0.0067719487,0.28515625,2234.55646944046,97984,391936,59523.14778857,500.0
0.7376703,9.532616,-0.013187527656555176,0.059417214,35,3063,-0.050803635,0.37695312,2235.0519444942474,98016,392064,59562.26409985,500.0
0.0014169662,9.535374,-0.06592285633087158,0.02480218,240,3064,-0.00222544,0.25195312,2238.682447195053,98048,392192,59562.26409985,500.0
0.0007713185,9.533801,-0.05385029315948486,0.039037123,238,3065,0.0028390954,0.29882812,2239.216874361038,98080,392320,59562.26409985,500.0
0.0011297326,9.542228,-0.022590279579162598,0.022410657,237,3066,-0.0023467445,0.2421875,2239.753306865692,98112,392448,59562.26409985,500.0
0.0006396387,9.552376,-0.044330477714538574,0.044194702,237,3067,0.0017113668,0.38476562,2240.293832063675,98144,392576,59562.26409985,500.0
0.00088175747,9.5606575,-0.016043424606323242,0.045347538,277,3068,0.025845934,0.4296875,2240.833825111389,98176,392704,59562.26409985,500.0
0.00040737682,9.575075,-0.0350954532623291,0.06202485,240,3069,0.029382218,0.38671875,2241.2954590320587,98208,392832,59562.26409985,500.0
0.00056477496,9.584899,0.004824519157409668,0.08400545,287,3070,0.05171581,0.51953125,2241.829423189163,98240,392960,59562.26409985,500.0
0.0004829424,9.579143,-0.002468705177307129,0.056784995,261,3071,-0.014312506,0.44140625,2242.274935245514,98272,393088,59562.26409985,500.0
0.00058930827,9.57188,-0.015198469161987305,0.04266102,251,3072,-0.021003705,0.33789062,2242.764967441559,98304,393216,59562.26409985,500.0
0.00030559557,9.567005,-0.05698108673095703,0.018061286,245,3073,-0.0141336955,0.20703125,2243.2753224372864,98336,393344,59562.26409985,500.0
0.00037890283,9.564224,-0.0070410966873168945,0.025067167,259,3074,0.001836244,0.32226562,2243.7965743541718,98368,393472,59562.26409985,500.0
0.00025735158,9.557843,0.024686574935913086,0.019241177,240,3075,-0.006624776,0.26757812,2244.290817975998,98400,393600,59562.26409985,500.0
0.00030190026,9.550539,0.025263965129852295,0.022486169,238,3076,-0.011779831,0.29101562,2244.8243403434753,98432,393728,59562.26409985,500.0
0.00025376858,9.557847,-0.06730937957763672,0.03846242,242,3077,0.0054624164,0.40625,2245.360939979553,98464,393856,59562.26409985,500.0
0.0001932354,9.553424,-0.016951918601989746,0.033939503,257,3078,0.001468956,0.32617188,2245.889054775238,98496,393984,59562.26409985,500.0
0.3235247,9.5486145,0.002787292003631592,0.034656897,33,3079,-0.011038661,0.31054688,2246.387589931488,98528,394112,59455.33480733999,500.0
0.0015899938,9.545434,0.016566455364227295,0.04152931,236,3080,-0.0011541795,0.38671875,2250.2129895687103,98560,394240,59455.33480733999,500.0
0.0009796806,9.539124,-0.09208142757415771,0.048862655,236,3081,0.012858285,0.41210938,2250.756066799164,98592,394368,59455.33480733999,500.0
0.00053971895,9.531665,-0.046675682067871094,0.03741937,266,3082,0.02203516,0.33984375,2251.297332763672,98624,394496,59455.33480733999,500.0
0.0004654736,9.5329685,-0.05741846561431885,0.13212062,242,3083,0.0009392346,0.40429688,2251.777584552765,98656,394624,59455.33480733999,500.0
0.0003811829,9.529567,-0.07767283916473389,0.053895734,249,3084,-0.0017800387,0.375,2252.306519985199,98688,394752,59455.33480733999,500.0
0.00045506895,9.525537,-0.02256596088409424,0.072871596,250,3085,-0.0076645077,0.38671875,2252.819684743881,98720,394880,59455.33480733999,500.0
0.00024560947,9.528639,-0.15283310413360596,0.09366493,247,3086,0.00958493,0.4375,2253.3310816287994,98752,395008,59455.33480733999,500.0
0.00052049244,9.531957,0.03782433271408081,0.020792006,250,3087,-0.00026989053,0.25195312,2253.8490042686462,98784,395136,59455.33480733999,500.0
0.0002934218,9.528738,0.015013277530670166,0.023041852,238,3088,0.016554242,0.26953125,2254.3618099689484,98816,395264,59455.33480733999,500.0
0.0002116815,9.530157,0.09926211833953857,0.05354996,233,3089,-0.0006528904,0.40039062,2254.899369955063,98848,395392,59455.33480733999,500.0
0.00016872524,9.533755,-0.10408401489257812,0.049311142,264,3090,-0.0122886235,0.3828125,2255.448881626129,98880,395520,59455.33480733999,500.0
0.00015028098,9.5361595,0.05837923288345337,0.036301315,244,3091,-0.008914017,0.36328125,2255.9329619407654,98912,395648,59455.33480733999,500.0
0.00011760702,9.526895,0.061981141567230225,0.042938918,239,3092,0.016598482,0.34179688,2256.4580883979797,98944,395776,59455.33480733999,500.0
0.00011322583,9.514081,0.23118704557418823,0.025573974,266,3093,0.0066441726,0.3125,2256.9935517311096,98976,395904,59455.33480733999,500.0
0.7806275,9.500975,-0.009578704833984375,0.03044762,35,3094,-0.02143513,0.29296875,2257.4748225212097,99008,396032,59350.31645931999,500.0
0.0028863742,9.495238,-0.8244366645812988,0.037324518,281,3095,0.016423121,0.25585938,2261.113043785095,99040,396160,59350.31645931999,500.0
0.0013693826,9.492259,-0.08716726303100586,0.033008084,286,3096,0.014325749,0.34765625,2261.568278312683,99072,396288,59350.31645931999,500.0
0.000971696,9.490775,-0.10665130615234375,0.2143679,241,3097,0.08518608,0.59375,2262.0154604911804,99104,396416,59350.31645931999,500.0
0.0008645359,9.49202,-0.21783065795898438,0.027408566,252,3098,-0.008262955,0.2890625,2262.5463168621063,99136,396544,59350.31645931999,500.0
0.00061087386,9.49309,-0.2797892093658447,0.07768433,252,3099,0.04160863,0.47851562,2263.0538082122803,99168,396672,59350.31645931999,500.0
0.0004267656,9.491947,-0.14883172512054443,0.04242144,244,3100,-0.00270938,0.3203125,2263.561045885086,99200,396800,59350.31645931999,500.0
0.00078155566,9.49301,-0.0025540590286254883,0.060118176,249,3101,-0.0029790928,0.3984375,2264.0866253376007,99232,396928,59350.31645931999,500.0
0.0005376952,9.492952,-0.021143317222595215,0.06560428,295,3102,0.02785817,0.390625,2264.600879907608,99264,397056,59350.31645931999,500.0
0.00043316567,9.497266,-0.18266940116882324,0.11164374,243,3103,0.0655533,0.546875,2265.0342507362366,99296,397184,59350.31645931999,500.0
0.0002624578,9.501433,-0.14034950733184814,0.037432626,299,3104,0.012878885,0.37890625,2265.5609352588654,99328,397312,59350.31645931999,500.0
0.00057439803,9.509553,-0.10777390003204346,0.043683037,272,3105,-0.002573941,0.35546875,2265.988426923752,99360,397440,59350.31645931999,500.0
0.00036624022,9.515599,-0.1894855499267578,0.088131994,247,3106,0.044113502,0.5175781,2266.4580960273743,99392,397568,59350.31645931999,500.0
0.00036321598,9.514847,-0.26419854164123535,0.09341982,267,3107,0.037801556,0.5253906,2266.9767441749573,99424,397696,59350.31645931999,500.0
0.0002584365,9.511588,-0.24835634231567383,0.043867454,267,3108,-0.002934656,0.40820312,2267.4566311836243,99456,397824,59350.31645931999,500.0
0.00029840317,9.506916,-0.4544724225997925,0.044418335,248,3109,0.008053876,0.40234375,2267.935963153839,99488,397952,59350.31645931999,500.0
0.6051729,9.498656,0.045536816120147705,0.04479501,34,3110,-0.013678136,0.34375,2268.452511548996,99520,398080,59194.80616631001,500.0
0.0011725638,9.4853115,-0.0016726255416870117,0.09688013,256,3111,-0.013476703,0.4453125,2272.140523672104,99552,398208,59194.80616631001,500.0
0.00086677086,9.47043,-0.13581538200378418,0.043165028,254,3112,0.024082422,0.41210938,2272.639360666275,99584,398336,59194.80616631001,500.0
0.0013047148,9.470977,-0.25912022590637207,0.029565688,235,3113,-0.012216025,0.30859375,2273.143299102783,99616,398464,59194.80616631001,500.0
