nupdates,fps,total_timesteps,policy_entropy,policy_loss,value_loss,explained_variance,ep_len_mean,ep_reward_mean
1700,109,137619,4.2570295333862305,0.08579863607883453,0.32687538862228394,-2.837940216064453,1001.0,570.30386756
1800,109,145719,4.257061958312988,0.16940933465957642,0.1558217704296112,-1.557121753692627,1001.0,560.74234284
1900,109,153819,4.257072925567627,0.01977197453379631,0.19081036746501923,-1.2447543144226074,1001.0,564.52022629
2000,109,161919,4.257092475891113,-0.31319597363471985,0.20311853289604187,-2.264841318130493,1001.0,550.80131352
2100,108,170019,4.257116794586182,0.3159256875514984,0.24891550838947296,-2.43609619140625,1001.0,546.7261061800001
2200,108,178119,4.257160663604736,-0.10505537688732147,0.14366121590137482,-4.863179683685303,1001.0,547.67298101
2300,108,186219,4.257175445556641,-0.15638098120689392,0.11103024333715439,-4.901205062866211,1001.0,543.8458077399999
2400,108,194319,4.257191181182861,-0.05521756038069725,0.17229297757148743,-0.1870102882385254,1001.0,547.53224816
2500,108,202419,4.2572126388549805,-0.04670148715376854,0.1428917944431305,-1.9383127689361572,1001.0,551.84250951
2600,108,210519,4.2572245597839355,-0.05528687685728073,0.26260295510292053,-1.6197364330291748,1001.0,551.8522116600001
2700,108,218619,4.257235527038574,-0.012873396277427673,0.15173915028572083,-5.1673150062561035,1001.0,540.5483794500001
2800,108,226719,4.257241249084473,-0.047079142183065414,0.33441081643104553,-0.5645625591278076,1001.0,544.1245923099999
2900,108,234819,4.257248878479004,-0.015589941293001175,0.2390686571598053,-1.5773990154266357,1001.0,536.6173076199999
3000,108,242919,4.257263660430908,-0.13285312056541443,0.1804785579442978,-4.385165691375732,1001.0,531.5821753499999
3100,108,251019,4.257271766662598,0.015426930040121078,0.20963120460510254,-0.49488019943237305,1001.0,533.9553722800001
3200,108,259119,4.257290363311768,-0.05163620784878731,0.33871012926101685,-0.6077302694320679,1001.0,539.6329720099999
3300,108,267219,4.2573018074035645,-0.03908029571175575,0.3529941439628601,-0.6227467060089111,1001.0,544.93109126
3400,109,275319,4.2573089599609375,-0.12314535677433014,0.11405948549509048,-3.4213762283325195,1001.0,555.5763193799999
3500,109,283419,4.257319927215576,0.07605159282684326,0.32439905405044556,-0.9767622947692871,1001.0,557.1140275799999
3600,109,291519,4.257331371307373,0.027839872986078262,0.1954696625471115,-6.920799255371094,1001.0,551.4747948300001
3700,109,299619,4.257335186004639,0.07443428039550781,0.23369336128234863,-5.781551837921143,1001.0,538.27504584
3800,109,307719,4.25734281539917,0.0955459475517273,0.24733218550682068,-1.03190016746521,1001.0,526.7958284800001
3900,109,315819,4.257350444793701,0.09916967898607254,0.27371954917907715,-0.8021674156188965,1001.0,537.75501246
4000,109,323919,4.257360935211182,-0.019412245601415634,0.2079988420009613,-0.8968580961227417,1001.0,536.1373674399999
4100,109,332019,4.257361888885498,0.05535435304045677,0.6294941902160645,-0.206740140914917,1001.0,539.67631921
4200,109,340119,4.2573628425598145,-0.1524866372346878,0.4637548327445984,-0.5441943407058716,1001.0,543.2063773699999
4300,109,348219,4.257361888885498,-0.03115215338766575,0.136174276471138,-0.4663400650024414,1001.0,533.91538227
4400,109,356319,4.257370471954346,-0.05542977154254913,0.22289805114269257,-0.6178550720214844,1001.0,541.54683863
4500,109,364419,4.2573747634887695,0.10912983119487762,0.2355608195066452,-0.2602304220199585,1001.0,532.78442098
4600,109,372519,4.257381439208984,-0.16642937064170837,0.2822861075401306,-0.8899827003479004,1001.0,537.6369139599999
4700,109,380619,4.257380485534668,-0.0672132670879364,0.12592846155166626,-4.870616436004639,1001.0,530.20728921
4800,109,388719,4.257385730743408,-0.12194152176380157,0.22326651215553284,-0.9847152233123779,1001.0,522.6377453000001
4900,109,396819,4.257391929626465,0.03514672443270683,0.20796708762645721,-0.744148850440979,1001.0,530.9674622099999
5000,109,404919,4.257397174835205,-0.18456728756427765,0.10256218910217285,-1.479236364364624,1001.0,525.8351811699999
5100,109,413019,4.257403373718262,0.017498746514320374,0.18073061108589172,-2.8326051235198975,1001.0,527.87310541
5200,109,421119,4.2574076652526855,-0.036302682012319565,0.19496610760688782,-0.7354861497879028,1001.0,526.07550016
5300,109,429219,4.257412433624268,-0.037178054451942444,0.28580957651138306,-1.0256216526031494,1001.0,520.7822456700001
5400,109,437319,4.257416725158691,0.1650303602218628,0.18257012963294983,-4.773564338684082,1001.0,517.94628206
5500,109,445419,4.257421970367432,-0.10195212811231613,0.16064369678497314,-1.3522424697875977,1001.0,522.68703317
5600,109,453519,4.2574238777160645,-0.05127818137407303,0.32003870606422424,-0.1709960699081421,1001.0,516.3404601699999
5700,109,461619,4.257426738739014,0.16834618151187897,0.4949420094490051,-0.34209322929382324,1001.0,515.03679731
5800,109,469719,4.257427215576172,-0.10908153653144836,0.35415974259376526,-0.29907023906707764,1001.0,519.00145724
5900,109,477819,4.257429599761963,-0.09852293133735657,0.28683343529701233,-0.42731738090515137,1001.0,508.92029779999996
6000,109,485919,4.257430553436279,-0.08420351147651672,0.23190486431121826,-2.5938010215759277,1001.0,511.86970125
6100,109,494019,4.257430553436279,-0.035211559385061264,0.18308903276920319,-2.4081993103027344,1001.0,509.90640773
6200,109,502119,4.257430553436279,0.09300519526004791,0.36343878507614136,-1.2763440608978271,1001.0,502.46012171999996
