policy_loss,total_timesteps,fps,explained_variance,value_loss,policy_entropy,nupdates,ep_reward_mean,ep_len_mean
0.12981772422790527,366459,216,1.7881393432617188e-07,1274.033447265625,10.604456901550293,2600,1355.6408671200002,1000.0
-0.02803056687116623,380559,215,-2.2649765014648438e-06,1370.6300048828125,10.615742683410645,2700,1422.1257949299998,1000.0
-0.1298212856054306,394659,215,5.7220458984375e-06,1503.3353271484375,10.640934944152832,2800,1460.72124826,1000.0
0.07507253438234329,408759,215,2.980232238769531e-07,1618.6771240234375,10.652876853942871,2900,1497.38996563,1000.0
-0.2005893588066101,422859,215,-2.5033950805664062e-06,1743.265380859375,10.67225170135498,3000,1510.3331560700003,1000.0
-0.25623950362205505,436959,215,5.125999450683594e-06,1872.1934814453125,10.694211959838867,3100,1512.5154182899998,1000.0
-0.09746235609054565,451059,215,-1.7881393432617188e-06,1951.4385986328125,10.716242790222168,3200,1511.2817169899997,1000.0
-0.2721264064311981,465159,215,0.006939947605133057,2159.169189453125,10.734904289245605,3300,1504.6082582699999,1000.0
0.2662436366081238,479259,215,-1.1920928955078125e-06,2238.4541015625,10.767268180847168,3400,1518.91211323,1000.0
-0.27376219630241394,493359,215,0.023327291011810303,2483.0234375,10.808079719543457,3500,1509.46965622,1000.0
0.046348169445991516,507459,215,0.03921949863433838,2670.20703125,10.828923225402832,3600,1507.1235659000004,1000.0
0.0544750839471817,521559,215,-1.9073486328125e-06,2561.178955078125,10.865925788879395,3700,1511.7604848300005,1000.0
0.07899593561887741,535659,215,-3.5762786865234375e-07,2703.8857421875,10.874251365661621,3800,1507.29162978,1000.0
-0.2570400834083557,549759,215,4.76837158203125e-07,2871.876708984375,10.897247314453125,3900,1519.3079709300002,1000.0
0.10191106796264648,563859,215,3.993511199951172e-06,2999.050537109375,10.918638229370117,4000,1533.2668490299998,1000.0
-0.2692421078681946,577959,215,0.10206586122512817,3106.361572265625,10.961762428283691,4100,1532.48688666,1000.0
0.18034061789512634,592059,215,0.11684894561767578,3580.99365234375,10.973891258239746,4200,1542.80260855,1000.0
-0.1310730278491974,606159,215,7.748603820800781e-07,3412.666015625,10.990336418151855,4300,1548.37298259,1000.0
-0.06620241701602936,620259,214,-5.960464477539062e-07,3901.601806640625,11.023557662963867,4400,1565.5969913099998,1000.0
-0.05181224271655083,634359,215,0.22348731756210327,4105.73193359375,11.035340309143066,4500,1579.0099679599998,1000.0
-0.11764372885227203,648459,215,-0.00892794132232666,4354.32666015625,11.058746337890625,4600,1597.16866836,1000.0
-0.25734323263168335,662559,215,-0.014499425888061523,4043.907470703125,11.062743186950684,4700,1614.1519606100003,1000.0
-0.13766124844551086,676659,215,0.050240278244018555,4719.55322265625,11.06544017791748,4800,1646.0513954100002,1000.0
-0.014172382652759552,690759,215,0.012909948825836182,5133.76806640625,11.071883201599121,4900,1693.64288738,1000.0
-0.22830519080162048,704859,215,0.06428974866867065,5854.41259765625,11.075606346130371,5000,1778.4094641799998,1000.0
