explained_variance,nupdates,policy_loss,value_loss,total_timesteps,fps,policy_entropy,ep_len_mean,ep_reward_mean
-0.01872086524963379,4500,0.21687859296798706,7.793780326843262,364419,257,6.968509674072266,1000.0,15672.595040950002
-0.0013157129287719727,4600,0.11322920769453049,7.756063938140869,372519,257,7.006191253662109,1000.0,15695.150431799999
0.003069460391998291,4700,-0.3314892649650574,7.9498114585876465,380619,257,7.01840877532959,1000.0,15715.214977840002
-0.00047326087951660156,4800,0.03073999285697937,7.998587131500244,388719,257,7.014952659606934,1000.0,15726.039641139998
-0.004887938499450684,4900,0.254925936460495,7.958094596862793,396819,257,7.043883323669434,1000.0,15740.463173679998
-0.001604318618774414,5000,0.1631983369588852,7.953766822814941,404919,257,7.06643009185791,1000.0,15749.993513850002
0.0007347464561462402,5100,0.18687908351421356,8.047178268432617,413019,257,7.075224876403809,1000.0,15769.98373876
-0.00023174285888671875,5200,-0.15515455603599548,8.00317096710205,421119,257,7.070712089538574,1000.0,15776.078989150003
-0.0038237571716308594,5300,0.07983871549367905,8.068524360656738,429219,257,7.099875450134277,1000.0,15782.59767982
-0.0019068717956542969,5400,0.010920234024524689,8.09506607055664,437319,258,7.130584716796875,1000.0,15783.85737074
0.0009295344352722168,5500,0.0022030770778656006,8.133234977722168,445419,258,7.128268241882324,1000.0,15786.817756600001
-0.0022077560424804688,5600,-0.21299658715724945,8.204930305480957,453519,258,7.204876899719238,1000.0,15804.174246580002
-0.0004099607467651367,5700,-0.19802212715148926,8.155430793762207,461619,258,7.208592414855957,1000.0,15806.143824859999
-0.00021028518676757812,5800,0.19743087887763977,8.187342643737793,469719,258,7.21958065032959,1000.0,15812.820064360001
0.0026137232780456543,5900,0.21787896752357483,8.200081825256348,477819,258,7.268641471862793,1000.0,15811.339568909998
0.015199601650238037,6000,-0.017334595322608948,8.235873222351074,485919,258,7.319581031799316,1000.0,15802.56127477
-0.0013290643692016602,6100,-0.2434963583946228,8.218530654907227,494019,258,7.318821907043457,1000.0,15792.81226468
-0.0009756088256835938,6200,-0.18650609254837036,8.174829483032227,502119,258,7.320915222167969,1000.0,15788.196004570002
