total_timesteps,explained_variance,nupdates,policy_entropy,policy_loss,fps,value_loss,ep_len_mean,ep_reward_mean
461619,-0.012440919876098633,5700,10.270273208618164,-0.05492044985294342,259,8.020270347595215,1000.0,14392.71059452
469719,-0.002785921096801758,5800,10.25598430633545,0.22633594274520874,259,7.931129455566406,1000.0,14409.967690450001
477819,-0.013533592224121094,5900,10.29467487335205,-0.0946483239531517,259,7.992689609527588,1000.0,14454.01504879
485919,0.023956775665283203,6000,10.315881729125977,-0.1533442586660385,259,8.014495849609375,1000.0,14472.67676947
494019,0.0031839609146118164,6100,10.331717491149902,0.0659961849451065,259,8.16581916809082,1000.0,14496.170399049997
502119,-0.024205923080444336,6200,10.335128784179688,-0.2829136252403259,259,8.208765983581543,1000.0,14498.768804590001
510219,-0.008827447891235352,6300,10.380766868591309,0.21281471848487854,259,8.37997055053711,1000.0,14508.46497855
518319,0.0005285143852233887,6400,10.432859420776367,-0.23380661010742188,259,8.260305404663086,1000.0,14543.95117331
526419,-0.009453535079956055,6500,10.443662643432617,0.16283036768436432,259,8.36332893371582,1000.0,14583.155091800003
534519,-0.008281111717224121,6600,10.435851097106934,0.13058845698833466,259,8.277491569519043,1000.0,14596.872275040001
542619,-0.011365532875061035,6700,10.435711860656738,0.11399825662374496,259,8.47393798828125,1000.0,14623.70754068
550719,0.007420957088470459,6800,10.456515312194824,-0.09699073433876038,259,8.60418701171875,1000.0,14635.34429394
558819,-0.0053566694259643555,6900,10.44604206085205,-0.09081967920064926,259,8.479859352111816,1000.0,14649.73274909
566919,-0.004999041557312012,7000,10.420808792114258,0.12338526546955109,259,8.454992294311523,1000.0,14645.476213210002
575019,0.0030344128608703613,7100,10.470064163208008,-0.5040421485900879,259,8.560994148254395,1000.0,14666.224815519998
583119,-0.009811997413635254,7200,10.507652282714844,0.11349375545978546,259,8.659196853637695,1000.0,14663.62366915
591219,-0.009748339653015137,7300,10.553887367248535,-0.004249885678291321,259,8.648691177368164,1000.0,14651.40017899
599319,0.006025850772857666,7400,10.58939266204834,-0.045151881873607635,259,8.566277503967285,1000.0,14654.650648789999
607419,0.0027784109115600586,7500,10.588434219360352,-0.03531230241060257,259,8.907475471496582,1000.0,14677.053360049998
615519,-0.024480462074279785,7600,10.598363876342773,0.3564735949039459,259,8.884547233581543,1000.0,14685.00474942
623619,0.006880283355712891,7700,10.588485717773438,-0.179862380027771,259,8.801478385925293,1000.0,14679.7158691
631719,0.029527664184570312,7800,10.615078926086426,0.03192079812288284,259,8.747344017028809,1000.0,14677.00209428
639819,-0.00716853141784668,7900,10.599044799804688,-0.01681584119796753,259,8.747095108032227,1000.0,14678.12580351
647919,-0.003973484039306641,8000,10.640637397766113,-0.2249498963356018,259,8.836187362670898,1000.0,14671.659665349998
656019,-0.010139942169189453,8100,10.600945472717285,-0.3678812086582184,259,8.750539779663086,1000.0,14662.466696899999
664119,-0.00988626480102539,8200,10.601531028747559,-0.19472643733024597,259,8.83094310760498,1000.0,14665.70189405
672219,0.013427019119262695,8300,10.588919639587402,0.02932938188314438,259,8.800131797790527,1000.0,14646.232744390003
680319,0.003716707229614258,8400,10.604109764099121,-0.358225017786026,259,8.811625480651855,1000.0,14636.82047557
688419,0.008204162120819092,8500,10.609132766723633,0.18793082237243652,259,8.664651870727539,1000.0,14640.864608700002
696519,0.004516482353210449,8600,10.610947608947754,0.3228423595428467,259,8.683308601379395,1000.0,14649.27491278
704619,-0.0034826993942260742,8700,10.638482093811035,-0.11552183330059052,259,8.937346458435059,1000.0,14665.777304530002
712719,-0.012026667594909668,8800,10.720993995666504,0.003810890018939972,259,8.89300537109375,1000.0,14659.192485900003
720819,0.004544615745544434,8900,10.740340232849121,-0.05505955219268799,259,8.879968643188477,1000.0,14665.57961543
728919,0.0015693306922912598,9000,10.787426948547363,-0.3707348704338074,260,9.062219619750977,1000.0,14667.540069290002
737019,0.02226853370666504,9100,10.780105590820312,-0.27452588081359863,260,9.083070755004883,1000.0,14672.15823645
745119,-0.01223134994506836,9200,10.829620361328125,-0.26317983865737915,260,8.99236011505127,1000.0,14678.55835408
753219,-0.0013437271118164062,9300,10.821089744567871,-0.163930743932724,260,9.136016845703125,1000.0,14692.761827159999
761319,0.002057790756225586,9400,10.793220520019531,-0.12470227479934692,260,9.052098274230957,1000.0,14721.33323096
769419,-0.014174699783325195,9500,10.825387001037598,-0.3924286961555481,261,9.063196182250977,1000.0,14744.48049883
777519,-0.0011355876922607422,9600,10.807293891906738,0.0028320401906967163,261,9.210362434387207,1000.0,14778.61134265
785619,0.004298865795135498,9700,10.838720321655273,-0.08668538928031921,261,9.334943771362305,1000.0,14788.672389329999
793719,0.00674670934677124,9800,10.909879684448242,0.20376211404800415,261,9.274496078491211,1000.0,14799.50274253
801819,-0.005535244941711426,9900,10.927960395812988,-0.2220550775527954,261,9.364152908325195,1000.0,14804.165133299999
809919,-0.010341644287109375,10000,10.916817665100098,-0.2910221219062805,261,9.371182441711426,1000.0,14819.70898564
818019,0.017813146114349365,10100,10.940842628479004,-0.025580547749996185,261,9.593158721923828,1000.0,14816.14397403
826119,0.010574877262115479,10200,10.897870063781738,-0.2823309004306793,261,9.528570175170898,1000.0,14823.794397200001
834219,-0.005999565124511719,10300,10.946057319641113,0.3966733515262604,261,9.716866493225098,1000.0,14840.493461299997
842319,-0.0015009641647338867,10400,10.98557186126709,-0.2994658648967743,261,9.61092758178711,1000.0,14846.777286539997
850419,0.0029733777046203613,10500,10.990912437438965,-0.13678085803985596,261,9.551187515258789,1000.0,14850.0629038
858519,-0.006873130798339844,10600,11.009590148925781,-0.19604957103729248,261,9.72376823425293,1000.0,14871.079269849997
866619,0.017983555793762207,10700,11.011916160583496,-0.4334618151187897,261,9.695459365844727,1000.0,14879.502424519998
874719,0.0062413811683654785,10800,11.037735939025879,-0.2164459228515625,261,9.752511024475098,1000.0,14882.41665361
882819,-0.005597472190856934,10900,11.050283432006836,0.043312154710292816,261,9.928244590759277,1000.0,14886.128770440002
890919,-0.0034902095794677734,11000,11.076133728027344,-0.2852881848812103,261,9.723960876464844,1000.0,14917.81774672
899019,0.004529118537902832,11100,11.073641777038574,-0.36830753087997437,261,9.841646194458008,1000.0,14935.55193555
907119,-0.0022040605545043945,11200,11.118483543395996,-0.14739099144935608,261,9.918452262878418,1000.0,14948.507794619998
915219,-0.0019320249557495117,11300,11.083266258239746,0.16793441772460938,261,9.822885513305664,1000.0,14967.415949780003
923319,0.01318126916885376,11400,11.079208374023438,-0.2969304323196411,261,9.665606498718262,1000.0,14977.18202276
931419,-0.017491817474365234,11500,11.110573768615723,-0.5326063632965088,261,9.663263320922852,1000.0,14995.436980069999
939519,-0.012518882751464844,11600,11.14217472076416,-0.5803325772285461,261,9.56492805480957,1000.0,14995.256620440003
947619,0.004362702369689941,11700,11.176251411437988,0.15907122194766998,261,9.521478652954102,1000.0,15030.93915761
955719,0.012328863143920898,11800,11.201279640197754,-0.13164900243282318,261,9.516718864440918,1000.0,15043.879903509996
963819,0.01753711700439453,11900,11.2037353515625,-0.21184656023979187,261,9.447943687438965,1000.0,15047.465231849998
971919,0.005254626274108887,12000,11.22167682647705,0.002908848226070404,261,9.366253852844238,1000.0,15048.835239549999
980019,-0.005175232887268066,12100,11.22825813293457,-0.14654137194156647,261,9.385644912719727,1000.0,15057.29143076
988119,-0.0027697086334228516,12200,11.23543643951416,-0.023718416690826416,261,9.282669067382812,1000.0,15052.80711776
996219,0.004178464412689209,12300,11.24018669128418,0.08397651463747025,261,9.278717041015625,1000.0,15067.94449865
1004319,-0.027530431747436523,12400,11.244290351867676,-0.19322159886360168,261,9.366954803466797,1000.0,15061.64354891
1012419,0.0028846263885498047,12500,11.243844032287598,0.09416994452476501,261,9.293950080871582,1000.0,15070.552477849998
