fps,policy_entropy,total_timesteps,value_loss,nupdates,explained_variance,policy_loss,ep_reward_mean,ep_len_mean
299,10.07177734375,267759,4.409182071685791,1900,-0.005479335784912109,0.1568058878183365,15129.20316801,1000.0
299,10.115788459777832,281859,4.344241619110107,2000,-0.09718513488769531,-0.19204851984977722,15369.861505990002,1000.0
299,10.128788948059082,295959,4.410682678222656,2100,0.011146366596221924,-0.25515246391296387,15387.07440113,1000.0
299,10.147504806518555,310059,4.470442295074463,2200,0.020274639129638672,-0.15660564601421356,15416.34784875,1000.0
299,10.132223129272461,324159,4.622227668762207,2300,-0.004813790321350098,0.2068234086036682,15458.547335220002,1000.0
300,10.114150047302246,338259,4.6653828620910645,2400,0.018129587173461914,-0.3665086030960083,15493.950333949999,1000.0
300,10.236327171325684,352359,4.750138282775879,2500,0.003705739974975586,0.0679212436079979,15507.842746060001,1000.0
300,10.364333152770996,366459,4.943061828613281,2600,-0.007408261299133301,-0.08788168430328369,15507.79576284,1000.0
300,10.395258903503418,380559,4.959365367889404,2700,-0.02425837516784668,-0.1475512534379959,15524.452571660004,1000.0
300,10.412684440612793,394659,4.952755451202393,2800,-0.02177870273590088,0.06014879047870636,15555.48801696,1000.0
301,10.371216773986816,408759,4.928115367889404,2900,0.0036188364028930664,-0.2758312523365021,15555.67171865,1000.0
301,10.363520622253418,422859,4.925537109375,3000,-0.004818916320800781,-0.16068841516971588,15531.215057710002,1000.0
301,10.373739242553711,436959,4.969162940979004,3100,-0.0004712343215942383,-0.1440889835357666,15502.734225950002,1000.0
301,10.410551071166992,451059,5.082177639007568,3200,0.029613494873046875,-0.09236185252666473,15487.467186939997,1000.0
301,10.417099952697754,465159,5.120683193206787,3300,0.013212978839874268,-0.09032359719276428,15471.516243440004,1000.0
302,10.453949928283691,479259,5.251690864562988,3400,-0.038327693939208984,-0.13029083609580994,15463.825020809998,1000.0
302,10.465825080871582,493359,5.293557167053223,3500,0.008729755878448486,0.16237053275108337,15459.22350933,1000.0
302,10.484889030456543,507459,5.437507629394531,3600,0.0015789270401000977,-0.1200626939535141,15467.278526239998,1000.0
303,10.487997055053711,521559,5.558133602142334,3700,0.019530057907104492,-0.21404695510864258,15469.881744290004,1000.0
303,10.544468879699707,535659,5.513780117034912,3800,0.0020140409469604492,0.05335560441017151,15457.52378507,1000.0
303,10.606157302856445,549759,5.601081848144531,3900,0.005995392799377441,0.008057765662670135,15465.799933490001,1000.0
304,10.650742530822754,563859,5.6467671394348145,4000,-0.02881479263305664,0.14324988424777985,15472.517803829996,1000.0
304,10.692561149597168,577959,5.696568965911865,4100,0.005175292491912842,0.03023447096347809,15460.891407739997,1000.0
304,10.701963424682617,592059,5.709632396697998,4200,-0.002045869827270508,-0.024237103760242462,15452.999255419998,1000.0
304,10.721644401550293,606159,5.703341960906982,4300,-0.04773831367492676,0.2450874149799347,15464.820634880001,1000.0
305,10.783645629882812,620259,5.811314105987549,4400,0.019810259342193604,-0.2908533215522766,15477.510094010002,1000.0
305,10.783146858215332,634359,5.808879375457764,4500,-0.007137656211853027,0.1250552535057068,15493.482115520004,1000.0
305,10.796540260314941,648459,5.871936321258545,4600,-0.09904730319976807,-0.08701878786087036,15500.806665500002,1000.0
305,10.839827537536621,662559,5.955259323120117,4700,0.011824607849121094,-0.3518390655517578,15512.69277947,1000.0
306,10.863265037536621,676659,5.994316101074219,4800,0.0071939826011657715,-0.21839982271194458,15518.608510990001,1000.0
306,10.851588249206543,690759,5.987544059753418,4900,-0.013994693756103516,0.1574995219707489,15527.08769081,1000.0
306,10.863713264465332,704859,5.988494873046875,5000,0.011473536491394043,-0.3974304795265198,15523.76562393,1000.0
306,10.885197639465332,718959,5.978893280029297,5100,0.0038214921951293945,-0.2869589030742645,15522.900861790002,1000.0
307,10.874756813049316,733059,6.0404863357543945,5200,-0.0016793012619018555,-0.027130618691444397,15526.170883620001,1000.0
