serial_timesteps,policy_entropy,policy_loss,explained_variance,time_elapsed,fps,total_timesteps,clipfrac,approxkl,value_loss,n_updates,ep_reward_mean,ep_len_mean
1664,10.479457,-0.055095837,-0.1101992130279541,35.881497621536255,235,6656,0.35742188,0.044517137,0.047696564,52,212.14351558333337,500.0
1696,10.531576,-0.045513626,-0.22604894638061523,36.42666006088257,240,6784,0.421875,0.04970286,0.008916177,53,212.14351558333337,500.0
1728,10.557086,-0.03999333,0.007060050964355469,36.9588897228241,240,6912,0.34570312,0.04297738,0.022357577,54,212.14351558333337,500.0
1760,10.608425,-0.05573784,-0.0273514986038208,37.49095368385315,228,7040,0.41992188,0.0551076,0.06565253,55,212.14351558333337,500.0
1792,10.668978,-0.054822184,-0.05594778060913086,38.05116367340088,256,7168,0.35742188,0.0428693,0.016245892,56,212.14351558333337,500.0
1824,10.683828,-0.07043478,-0.0538787841796875,38.5516197681427,250,7296,0.41015625,0.050792124,0.06602875,57,212.14351558333337,500.0
1856,10.71954,-0.056464516,-0.1718202829360962,39.06358504295349,279,7424,0.37695312,0.048234325,0.0108262515,58,212.14351558333337,500.0
1888,10.75975,-0.0530278,-0.16294753551483154,39.521905183792114,248,7552,0.36132812,0.058941133,0.037149567,59,212.14351558333337,500.0
1920,10.762445,-0.0695083,-0.35166049003601074,40.03838586807251,246,7680,0.4375,0.08662603,0.014714435,60,212.14351558333337,500.0
1952,10.759504,-0.070636615,-0.028957247734069824,40.55859327316284,254,7808,0.40039062,0.045964148,0.024304854,61,212.14351558333337,500.0
1984,10.768886,-0.048300665,0.07285356521606445,41.06173396110535,226,7936,0.28710938,0.033284128,0.0058796583,62,212.14351558333337,500.0
2016,10.751631,-0.062124982,-0.005420684814453125,41.6280951499939,30,8064,0.40625,0.049271274,0.3731013,63,202.8193395,500.0
2048,10.770666,-0.044827215,-0.0036607980728149414,45.78518009185791,235,8192,0.39257812,0.05989868,0.100749254,64,202.8193395,500.0
2080,10.810088,-0.06051275,-0.24542629718780518,46.32877969741821,237,8320,0.44140625,0.07143459,0.04331855,65,202.8193395,500.0
2112,10.822085,-0.044908606,-0.5367845296859741,46.86811184883118,231,8448,0.40625,0.05341148,0.006629208,66,202.8193395,500.0
2144,10.845535,-0.056641646,0.0017090439796447754,47.42145037651062,241,8576,0.38085938,0.053662743,0.062064424,67,202.8193395,500.0
2176,10.826875,-0.049935356,-0.004480242729187012,47.95281744003296,272,8704,0.44140625,0.08293748,0.050439775,68,202.8193395,500.0
2208,10.829204,-0.042502694,-0.4235236644744873,48.42400789260864,274,8832,0.43945312,0.060555793,0.021839881,69,202.8193395,500.0
2240,10.852321,-0.047124453,-0.267413854598999,48.89138340950012,244,8960,0.45898438,0.0782065,0.010634816,70,202.8193395,500.0
2272,10.860412,-0.047925405,0.00874859094619751,49.41607427597046,254,9088,0.49804688,0.09414859,0.052516825,71,202.8193395,500.0
2304,10.866112,-0.048363663,-0.060199618339538574,49.91931366920471,242,9216,0.42773438,0.06339335,0.022560006,72,202.8193395,500.0
2336,10.854322,-0.050191507,0.07427018880844116,50.44792699813843,275,9344,0.3671875,0.05444565,0.29785365,73,202.8193395,500.0
2368,10.875298,-0.05044303,-0.060088157653808594,50.9131715297699,268,9472,0.4453125,0.064367786,0.05437667,74,202.8193395,500.0
2400,10.87497,-0.056118004,-0.06639337539672852,51.3901264667511,264,9600,0.38671875,0.06392234,0.1404112,75,202.8193395,500.0
2432,10.8543005,-0.053933535,0.08934134244918823,51.874178886413574,281,9728,0.41015625,0.045646425,0.08040913,76,202.8193395,500.0
2464,10.851934,-0.061537072,-0.2006460428237915,52.32904028892517,270,9856,0.3671875,0.044914965,0.022806654,77,202.8193395,500.0
2496,10.860985,-0.051604476,-0.49062061309814453,52.803428411483765,253,9984,0.41015625,0.06552549,0.025463525,78,202.8193395,500.0
2528,10.829589,-0.059968185,0.007387936115264893,53.309210777282715,33,10112,0.4375,0.07223173,0.34895152,79,221.11755355000005,500.0
2560,10.8096,-0.05752889,-0.42530977725982666,57.14486598968506,247,10240,0.38671875,0.062647685,0.026310502,80,221.11755355000005,500.0
2592,10.832729,-0.072964646,0.0191347599029541,57.663413524627686,236,10368,0.45507812,0.079461984,0.021503687,81,221.11755355000005,500.0
2624,10.875654,-0.058958925,-0.39431655406951904,58.205005168914795,257,10496,0.38476562,0.054802135,0.01596303,82,221.11755355000005,500.0
2656,10.91225,-0.07230786,-0.09140574932098389,58.70219898223877,231,10624,0.4609375,0.074156314,0.01130137,83,221.11755355000005,500.0
2688,10.95129,-0.045262694,-0.0397639274597168,59.25604224205017,263,10752,0.41015625,0.056692384,0.021605188,84,221.11755355000005,500.0
2720,10.950154,-0.07790831,-0.19149363040924072,59.74163246154785,264,10880,0.46289062,0.10006838,0.01357816,85,221.11755355000005,500.0
2752,10.936292,-0.060399424,-0.0012034177780151367,60.22594118118286,270,11008,0.44335938,0.08325128,0.34031522,86,221.11755355000005,500.0
2784,10.935651,-0.06019461,-0.20706093311309814,60.700499057769775,283,11136,0.45507812,0.078327104,0.01423535,87,221.11755355000005,500.0
2816,10.972487,-0.046862375,-0.06647193431854248,61.15242409706116,253,11264,0.5097656,0.08631753,0.06289086,88,221.11755355000005,500.0
2848,11.007503,-0.06231703,-0.0715477466583252,61.657792806625366,261,11392,0.37109375,0.047653828,0.056490734,89,221.11755355000005,500.0
2880,11.031543,-0.05883675,-0.17259037494659424,62.147709369659424,270,11520,0.453125,0.105006315,0.016722573,90,221.11755355000005,500.0
2912,11.069465,-0.06778586,-0.032820820808410645,62.621070861816406,296,11648,0.48046875,0.08939699,0.017026352,91,221.11755355000005,500.0
2944,11.115926,-0.052415468,-0.006627917289733887,63.053159952163696,257,11776,0.41015625,0.048649266,0.12100286,92,221.11755355000005,500.0
2976,11.13951,-0.06541076,-0.20534181594848633,63.549904108047485,263,11904,0.4140625,0.06373147,0.007195941,93,221.11755355000005,500.0
3008,11.170561,-0.056764644,-0.006426095962524414,64.03638362884521,32,12032,0.35546875,0.04450688,0.66753477,94,225.90780204166666,500.0
3040,11.183552,-0.05748209,-0.16785156726837158,67.96776342391968,257,12160,0.43164062,0.063165314,0.013703763,95,225.90780204166666,500.0
3072,11.212281,-0.0642414,-0.833149790763855,68.46656131744385,226,12288,0.48046875,0.10206788,0.0075299134,96,225.90780204166666,500.0
3104,11.236301,-0.06729271,-0.07497298717498779,69.03221821784973,226,12416,0.39257812,0.06440145,0.04499476,97,225.90780204166666,500.0
3136,11.240372,-0.059713304,0.008834362030029297,69.59786891937256,211,12544,0.38867188,0.063805886,0.06025267,98,225.90780204166666,500.0
3168,11.2785845,-0.042918704,-0.044481515884399414,70.20437264442444,239,12672,0.43359375,0.07788053,0.00980188,99,225.90780204166666,500.0
3200,11.313922,-0.055427797,-0.09851622581481934,70.7387387752533,234,12800,0.44921875,0.058804482,0.022698581,100,225.90780204166666,500.0
3232,11.363828,-0.053911053,-0.021164536476135254,71.28449368476868,224,12928,0.4140625,0.057980213,0.027346976,101,225.90780204166666,500.0
3264,11.382483,-0.054404847,-0.005539298057556152,71.85463666915894,252,13056,0.34765625,0.04288024,0.05978921,102,225.90780204166666,500.0
3296,11.374282,-0.07628517,-0.09577178955078125,72.36156129837036,232,13184,0.46289062,0.09512004,0.030356804,103,225.90780204166666,500.0
3328,11.337169,-0.06161363,-0.13657009601593018,72.91239309310913,237,13312,0.42773438,0.07296869,0.009797936,104,225.90780204166666,500.0
3360,11.340294,-0.0689593,-0.042135000228881836,73.45150661468506,259,13440,0.421875,0.06799041,0.013689347,105,225.90780204166666,500.0
3392,11.356758,-0.059178654,-0.03352928161621094,73.94573259353638,263,13568,0.4609375,0.059975598,0.013205988,106,225.90780204166666,500.0
3424,11.353636,-0.049491785,0.04204761981964111,74.43114686012268,209,13696,0.41210938,0.07715264,0.010834195,107,225.90780204166666,500.0
3456,11.352086,-0.06204984,-0.05855250358581543,75.04173684120178,235,13824,0.43945312,0.079274945,0.05444527,108,225.90780204166666,500.0
3488,11.371161,-0.058591787,-0.10623931884765625,75.58515286445618,250,13952,0.36328125,0.05276844,0.016238123,109,225.90780204166666,500.0
3520,11.397948,-0.07320733,-0.009784221649169922,76.09695291519165,29,14080,0.4140625,0.056548115,0.41108227,110,225.0034116785714,500.0
3552,11.395052,-0.06501108,-0.0956658124923706,80.3669786453247,255,14208,0.30664062,0.035823043,0.016548393,111,225.0034116785714,500.0
3584,11.369068,-0.060296845,-0.07424092292785645,80.86841654777527,253,14336,0.43359375,0.064195216,0.049234726,112,225.0034116785714,500.0
3616,11.357296,-0.05728141,-0.09930551052093506,81.3734974861145,249,14464,0.38476562,0.05501935,0.016346,113,225.0034116785714,500.0
3648,11.347245,-0.06244916,-0.08278405666351318,81.88742518424988,225,14592,0.4140625,0.055580482,0.016372487,114,225.0034116785714,500.0
3680,11.326573,-0.068858005,-0.05070304870605469,82.45659875869751,251,14720,0.40039062,0.06951683,0.015370212,115,225.0034116785714,500.0
3712,11.379394,-0.06057288,-0.302254319190979,82.96524548530579,268,14848,0.40820312,0.07988074,0.008335059,116,225.0034116785714,500.0
3744,11.421939,-0.0648092,-0.01811385154724121,83.44191575050354,249,14976,0.44726562,0.06780771,0.024337433,117,225.0034116785714,500.0
3776,11.444031,-0.06568762,-0.36113691329956055,83.95682859420776,293,15104,0.40429688,0.05445236,0.005619608,118,225.0034116785714,500.0
3808,11.438144,-0.07000063,-0.1622835397720337,84.39426779747009,282,15232,0.38671875,0.070246674,0.004861195,119,225.0034116785714,500.0
3840,11.448576,-0.059965357,-0.08054673671722412,84.8486328125,253,15360,0.46875,0.10062149,0.016354615,120,225.0034116785714,500.0
3872,11.492269,-0.056766793,-0.02908146381378174,85.35425591468811,247,15488,0.40625,0.056940787,0.011743454,121,225.0034116785714,500.0
3904,11.503025,-0.0695335,-0.11470794677734375,85.87290167808533,268,15616,0.44335938,0.07156027,0.011820945,122,225.0034116785714,500.0
3936,11.510692,-0.06726568,0.05407136678695679,86.34943270683289,268,15744,0.375,0.043540716,0.10179376,123,225.0034116785714,500.0
3968,11.485373,-0.06014088,-0.14897119998931885,86.82759356498718,245,15872,0.37109375,0.058789924,0.01585402,124,225.0034116785714,500.0
4000,11.446254,-0.060991704,-0.018401384353637695,87.34916472434998,32,16000,0.4453125,0.060727853,0.37826085,125,224.2938998125,500.0
4032,11.455286,-0.0627234,-0.05054283142089844,91.29258704185486,299,16128,0.42773438,0.07621102,0.04450693,126,224.2938998125,500.0
4064,11.442588,-0.05773539,0.01053398847579956,91.72021627426147,267,16256,0.38476562,0.048789285,0.014371224,127,224.2938998125,500.0
4096,11.447251,-0.060220808,0.04354614019393921,92.19979500770569,232,16384,0.421875,0.0718572,0.037605904,128,224.2938998125,500.0
4128,11.455593,-0.051525176,-0.1763538122177124,92.75099277496338,242,16512,0.44335938,0.067771934,0.024336332,129,224.2938998125,500.0
4160,11.470924,-0.06243931,-0.049424052238464355,93.27922821044922,235,16640,0.48242188,0.074337535,0.008786358,130,224.2938998125,500.0
4192,11.463142,-0.04570838,-0.005882382392883301,93.8231246471405,231,16768,0.37890625,0.051869985,0.028117575,131,224.2938998125,500.0
4224,11.45827,-0.059149466,-0.21199846267700195,94.37787055969238,273,16896,0.375,0.050161093,0.01082305,132,224.2938998125,500.0
4256,11.46653,-0.065639555,-0.14021384716033936,94.84583473205566,251,17024,0.41601562,0.056164384,0.004673514,133,224.2938998125,500.0
4288,11.508476,-0.06169624,0.027118206024169922,95.35580110549927,264,17152,0.5234375,0.10773272,0.019671917,134,224.2938998125,500.0
4320,11.558425,-0.056217942,-0.13263869285583496,95.84004402160645,265,17280,0.36914062,0.04498272,0.019620953,135,224.2938998125,500.0
4352,11.553503,-0.060071923,-0.09055471420288086,96.3219690322876,264,17408,0.3984375,0.05180462,0.007304551,136,224.2938998125,500.0
4384,11.575795,-0.07175252,-0.08924341201782227,96.80728769302368,253,17536,0.46875,0.06654762,0.011327077,137,224.2938998125,500.0
4416,11.5836,-0.05920478,0.03567570447921753,97.31302976608276,298,17664,0.38867188,0.09370617,0.05282496,138,224.2938998125,500.0
4448,11.581615,-0.06762267,-0.4215492010116577,97.74222087860107,264,17792,0.37890625,0.047369357,0.011774295,139,224.2938998125,500.0
4480,11.58778,-0.060364317,-0.020735502243041992,98.22745203971863,277,17920,0.34570312,0.041179687,0.010899493,140,224.2938998125,500.0
4512,11.592346,-0.068645336,-0.005016922950744629,98.689377784729,31,18048,0.4140625,0.05771649,0.32632932,141,222.05317163888887,500.0
4544,11.600227,-0.07255073,-0.46407878398895264,102.7307653427124,258,18176,0.37890625,0.057648577,0.009556538,142,222.05317163888887,500.0
4576,11.584847,-0.05263175,-0.03259909152984619,103.22710990905762,249,18304,0.46484375,0.08919574,0.011908509,143,222.05317163888887,500.0
4608,11.605172,-0.063707784,-0.03150224685668945,103.74107551574707,234,18432,0.37695312,0.056761943,0.020827148,144,222.05317163888887,500.0
4640,11.60719,-0.07783899,-0.04674029350280762,104.28636622428894,256,18560,0.46679688,0.07360706,0.04757969,145,222.05317163888887,500.0
4672,11.617186,-0.06477374,-0.1169501543045044,104.78650450706482,242,18688,0.3984375,0.058921665,0.007860659,146,222.05317163888887,500.0
4704,11.638192,-0.06580737,-0.10820531845092773,105.31461524963379,237,18816,0.3671875,0.049327154,0.07174622,147,222.05317163888887,500.0
4736,11.687083,-0.058647126,-0.013817191123962402,105.85396313667297,261,18944,0.38476562,0.053068813,0.032861,148,222.05317163888887,500.0
4768,11.706717,-0.06688622,-0.2326514720916748,106.34386873245239,257,19072,0.42773438,0.05738326,0.0072268043,149,222.05317163888887,500.0
4800,11.72229,-0.06400661,-0.25731492042541504,106.8414454460144,262,19200,0.40625,0.07013871,0.008542878,150,222.05317163888887,500.0
4832,11.757073,-0.054801382,-0.18216276168823242,107.33056354522705,263,19328,0.35351562,0.040257737,0.011812778,151,222.05317163888887,500.0
4864,11.79785,-0.07244623,-0.07721102237701416,107.81835865974426,229,19456,0.38476562,0.049027294,0.074321575,152,222.05317163888887,500.0
4896,11.798695,-0.072575115,-0.2997093200683594,108.3761670589447,254,19584,0.40625,0.06591321,0.00514113,153,222.05317163888887,500.0
4928,11.776733,-0.06435717,3.612041473388672e-05,108.88021779060364,239,19712,0.42773438,0.06684214,0.007529282,154,222.05317163888887,500.0
