fps,nupdates,explained_variance,policy_entropy,value_loss,total_timesteps,ep_len_mean,ep_reward_mean
232,7200,-1.3113021850585938e-05,9.160772323608398,39865.03515625,252000,1000.0,29362.048776480002
232,7300,1.811981201171875e-05,9.153322219848633,1158.05517578125,255500,1000.0,29362.048776480002
232,7400,-2.7418136596679688e-06,9.104693412780762,40817.66796875,259000,1000.0,30545.221477729996
232,7500,-1.430511474609375e-06,9.077033996582031,6951.53369140625,262500,1000.0,30545.221477729996
232,7600,1.3530254364013672e-05,9.063602447509766,40563.125,266000,1000.0,31967.6567108
232,7700,3.2782554626464844e-05,9.07248592376709,53424.16796875,269500,1000.0,31967.6567108
232,7800,1.2159347534179688e-05,9.078339576721191,40677.14453125,273000,1000.0,33533.003671210005
232,7900,-1.6808509826660156e-05,9.039252281188965,6270.494140625,276500,1000.0,33533.003671210005
232,8000,4.8279762268066406e-05,9.015928268432617,65353.421875,280000,1000.0,35074.95856037
232,8100,-8.463859558105469e-06,9.021289825439453,28475.548828125,283500,1000.0,35074.95856037
231,8200,-6.318092346191406e-06,8.984344482421875,40121.8125,287000,1000.0,36139.42215238
232,8300,-1.9311904907226562e-05,8.977874755859375,72351.7109375,290500,1000.0,36139.42215238
231,8400,-1.3232231140136719e-05,8.952925682067871,41551.375,294000,1000.0,36436.86540113
232,8500,-3.0994415283203125e-06,8.951725959777832,48563.58984375,297500,1000.0,36436.86540113
231,8600,6.556510925292969e-07,8.926984786987305,54057.8125,301000,1000.0,36203.722817049995
232,8700,2.1636486053466797e-05,8.888079643249512,5884.91552734375,304500,1000.0,36203.722817049995
231,8800,7.092952728271484e-06,8.881197929382324,56750.5625,308000,1000.0,34497.52502179
231,8900,-1.5497207641601562e-06,8.842533111572266,59017.421875,311500,1000.0,34497.52502179
230,9000,-5.960464477539062e-07,8.835753440856934,49720.6484375,315000,1000.0,35689.33126703001
231,9100,2.3066997528076172e-05,8.830467224121094,483.5709228515625,318500,1000.0,35689.33126703001
230,9200,-1.5020370483398438e-05,8.789334297180176,53238.1953125,322000,1000.0,35500.65219908001
231,9300,3.2186508178710938e-06,8.772134780883789,49275.5234375,325500,1000.0,35500.65219908001
