fps,policy_loss,total_timesteps,nupdates,value_loss,explained_variance,policy_entropy,ep_len_mean,ep_reward_mean
287,-0.2539060711860657,338259,2400,1.4695343971252441,-0.02301931381225586,9.319993019104004,1000.0,73.4332668
287,-0.02039707452058792,352359,2500,1.6591087579727173,-0.05796968936920166,9.212111473083496,1000.0,84.00962652
288,0.1125321015715599,366459,2600,2.033475399017334,0.011027872562408447,9.100607872009277,1000.0,94.85377349999999
288,-0.10390396416187286,380559,2700,2.126169204711914,-0.016095399856567383,8.998757362365723,1000.0,111.40389671999999
288,-0.21976405382156372,394659,2800,2.5643277168273926,0.00019943714141845703,8.90390682220459,1000.0,125.66978434
289,-0.24507614970207214,408759,2900,2.428732395172119,-0.00869596004486084,8.808953285217285,1000.0,144.29045138000004
289,-0.15843945741653442,422859,3000,2.8083713054656982,0.010624587535858154,8.725439071655273,1000.0,158.65965109
289,-0.20107963681221008,436959,3100,3.2735109329223633,-0.38036978244781494,8.582792282104492,1000.0,174.82628960999998
289,0.10982008278369904,451059,3200,3.265883684158325,-0.15394175052642822,8.45473575592041,1000.0,197.29341224
289,-0.21275202929973602,465159,3300,3.5725760459899902,0.016043424606323242,8.323152542114258,1000.0,225.94002504999997
290,-0.36981260776519775,479259,3400,9.099162101745605,0.01176530122756958,8.162650108337402,1000.0,261.85064019000004
290,-0.4298410415649414,493359,3500,5.082073211669922,-0.04271292686462402,8.031416893005371,1000.0,298.42035998999995
290,-0.11576910316944122,507459,3600,5.11646842956543,-0.10994875431060791,7.88476037979126,1000.0,345.51263338999996
290,-0.3328717350959778,521559,3700,7.512658596038818,0.02722841501235962,7.756706714630127,1000.0,412.42154384
290,-0.31712520122528076,535659,3800,8.14648723602295,0.03967583179473877,7.629377841949463,1000.0,484.18456548999995
290,-0.26923683285713196,549759,3900,8.144076347351074,-0.19646573066711426,7.503035068511963,1000.0,561.49336567
290,-0.23220950365066528,563859,4000,6.851080894470215,-0.015224218368530273,7.328817367553711,1000.0,637.08738565
290,-0.2561997175216675,577959,4100,7.120728969573975,-0.030640363693237305,7.205106735229492,1000.0,726.23189726
290,-0.031523700803518295,592059,4200,8.291298866271973,0.024792194366455078,7.024109363555908,1000.0,844.46020443
290,-0.31865277886390686,606159,4300,8.54595947265625,-0.010416507720947266,6.875593185424805,1000.0,976.5924756600001
290,-0.3387261927127838,620259,4400,9.201472282409668,0.04714852571487427,6.6992340087890625,1000.0,1143.4891863300002
290,-0.31290897727012634,634359,4500,9.544940948486328,0.03848785161972046,6.5555806159973145,1000.0,1331.0130030700002
290,-0.27441486716270447,648459,4600,12.188685417175293,0.03486567735671997,6.378310680389404,1000.0,1567.9617115300002
290,-0.27451783418655396,662559,4700,13.790369987487793,-0.040106892585754395,6.17987060546875,1000.0,1897.9149440299998
290,-0.35123276710510254,676659,4800,13.206440925598145,0.017071068286895752,6.0048828125,1000.0,2281.41519428
290,-0.4982910752296448,690759,4900,14.348772048950195,0.006905555725097656,5.838981628417969,1000.0,2748.35116494
290,-0.3168416917324066,704859,5000,13.694077491760254,-0.0024698972702026367,5.643640995025635,1000.0,3367.79492793
290,-0.12851904332637787,718959,5100,18.430025100708008,0.015586435794830322,5.4257988929748535,1000.0,4182.17057866
290,-0.11283887922763824,733059,5200,17.76924705505371,0.02424943447113037,5.197860240936279,1000.0,5098.490797779999
290,-0.07130014896392822,747159,5300,18.88984489440918,0.030466735363006592,4.9578375816345215,1000.0,6238.747887039999
290,-0.32304084300994873,761259,5400,19.388526916503906,0.014700472354888916,4.725462913513184,1000.0,7820.7102939199995
290,-0.32399672269821167,775359,5500,21.58599853515625,0.010527849197387695,4.452212333679199,1000.0,9730.05155182
290,-0.0810256153345108,789459,5600,22.1602725982666,0.004522442817687988,4.182998180389404,1000.0,11969.517810829999
290,-0.09133040904998779,803559,5700,22.02897071838379,-0.005961775779724121,3.8567469120025635,1000.0,14874.756932789998
290,-0.29738351702690125,817659,5800,22.45347785949707,0.03850376605987549,3.5689237117767334,1000.0,18136.81201905
290,-0.4268434941768646,831759,5900,21.94451332092285,0.035806119441986084,3.2847402095794678,1000.0,22095.36252693
290,-0.23749126493930817,845859,6000,23.087961196899414,0.008628249168395996,2.9519846439361572,1000.0,26799.45966532
290,-0.2767767012119293,859959,6100,23.11069107055664,-0.005719900131225586,2.6050260066986084,1000.0,32120.42305176
290,-0.38100939989089966,874059,6200,22.347915649414062,0.00928109884262085,2.2167282104492188,1000.0,38246.19302647
290,-0.2536894381046295,888159,6300,22.410945892333984,0.011100172996520996,1.8444935083389282,1000.0,45388.973290710004
290,-0.18524886667728424,902259,6400,21.80316925048828,-0.034072279930114746,1.4575576782226562,1000.0,53354.651084850004
290,-0.0837578997015953,916359,6500,20.980300903320312,-0.01867520809173584,1.0508668422698975,1000.0,61514.228496059986
290,-0.18351200222969055,930459,6600,19.942598342895508,-0.022137045860290527,0.6290732622146606,1000.0,70278.68483654999
290,0.20446047186851501,944559,6700,18.50400161743164,0.0010527372360229492,0.22154323756694794,1000.0,79108.16135935001
290,-0.32869982719421387,958659,6800,17.001632690429688,-0.010705113410949707,-0.10150980949401855,1000.0,87433.21267673
290,0.07490271329879761,972759,6900,15.454106330871582,0.0015342235565185547,-0.4122951924800873,1000.0,95163.82501287002
290,0.040372032672166824,986859,7000,14.156204223632812,-0.007263064384460449,-0.7079295516014099,1000.0,101866.77985067
290,-0.19711780548095703,1000959,7100,12.542646408081055,-0.011715292930603027,-1.0132044553756714,1000.0,107266.83213093
290,-0.16088588535785675,1015059,7200,11.508415222167969,-0.012265324592590332,-1.2841836214065552,1000.0,112008.38013548002
290,-0.5207757949829102,1029159,7300,10.567784309387207,-0.00543522834777832,-1.4677728414535522,1000.0,115454.02651964
290,-0.24665193259716034,1043259,7400,9.695015907287598,-0.0024813413619995117,-1.6782323122024536,1000.0,118002.75300762002
290,-0.1617000550031662,1057359,7500,8.982173919677734,0.006125032901763916,-1.8245104551315308,1000.0,120006.96400178003
290,-0.01734410971403122,1071459,7600,8.388622283935547,0.0047640204429626465,-1.9693800210952759,1000.0,121414.52272853999
290,-0.22473226487636566,1085559,7700,7.8489861488342285,0.0044100284576416016,-2.145280361175537,1000.0,122355.17376005002
290,0.032566800713539124,1099659,7800,7.528776168823242,0.002826094627380371,-2.2852113246917725,1000.0,123049.26958685002
290,-0.19476906955242157,1113759,7900,7.1654863357543945,0.0019336938858032227,-2.4174463748931885,1000.0,123527.72691586
290,-0.21879294514656067,1127859,8000,6.874073505401611,0.00563359260559082,-2.57029390335083,1000.0,123927.70460526997
290,-0.24698209762573242,1141959,8100,6.516098499298096,-0.00251615047454834,-2.6902849674224854,1000.0,124141.58711025996
290,0.34013107419013977,1156059,8200,6.324655532836914,-0.0012402534484863281,-2.8349850177764893,1000.0,124339.28634258
291,-0.06431976705789566,1170159,8300,6.135231971740723,-0.000820159912109375,-2.969493865966797,1000.0,124612.77567889
291,0.082013338804245,1184259,8400,5.950230598449707,0.00026345252990722656,-3.076050043106079,1000.0,124839.47003428004
291,0.2075786292552948,1198359,8500,5.730108261108398,-0.002110004425048828,-3.174064874649048,1000.0,125026.09436316999
