serial_timesteps,n_updates,fps,explained_variance,policy_loss,total_timesteps,policy_entropy,time_elapsed,clipfrac,value_loss,approxkl,ep_reward_mean,ep_len_mean
22848,714,234,0.10922098159790039,-0.01023335,91392,10.027168,536.4918665885925,0.015625,0.0009593327,0.001782431,2882.83980358,500.0
22880,715,232,-0.21403181552886963,-0.0056283106,91520,10.026862,537.0383410453796,0.001953125,0.0014231442,0.0013841442,2882.83980358,500.0
22912,716,245,-0.36375105381011963,-0.0014779179,91648,10.027402,537.589706659317,0.0,0.0021425497,0.0006097563,2882.83980358,500.0
22944,717,237,-0.4466567039489746,0.0006147381,91776,10.027281,538.1123740673065,0.0,0.0011181271,0.00013129375,2882.83980358,500.0
22976,718,234,-0.35994040966033936,-0.00246792,91904,10.024775,538.6522805690765,0.0,0.00069229637,0.0005352109,2882.83980358,500.0
23008,719,31,-0.48157835006713867,-0.0051991567,92032,10.023528,539.1983091831207,0.001953125,0.6335933,0.0010240666,2889.0444350300004,500.0
23040,720,222,0.7691326886415482,-0.00022312184,92160,10.021639,543.2557303905487,0.0,0.012190822,0.00034148808,2889.0444350300004,500.0
23072,721,217,0.6549139320850372,-0.012833543,92288,10.021208,543.8326201438904,0.005859375,0.0053042746,0.0020166964,2889.0444350300004,500.0
23104,722,220,-0.6530203819274902,-0.009863812,92416,10.021161,544.4221992492676,0.009765625,0.0036057536,0.0017957276,2889.0444350300004,500.0
23136,723,205,0.10857582092285156,-0.009873109,92544,10.022601,545.0044589042664,0.017578125,0.0026365055,0.001963687,2889.0444350300004,500.0
23168,724,230,-0.6605489253997803,-0.0042043785,92672,10.023538,545.629647731781,0.0,0.003842573,0.0008657869,2889.0444350300004,500.0
23200,725,216,0.41746145486831665,-0.0043900143,92800,10.024494,546.1847424507141,0.0,0.001894285,0.0009970984,2889.0444350300004,500.0
23232,726,231,-0.24956297874450684,-0.004431331,92928,10.024168,546.775306224823,0.005859375,0.0021578167,0.001400989,2889.0444350300004,500.0
23264,727,235,-0.4477945566177368,-0.0044462425,93056,10.023927,547.3289115428925,0.0,0.0018519002,0.0008638459,2889.0444350300004,500.0
23296,728,216,-0.26135802268981934,-0.0035554033,93184,10.023932,547.8728268146515,0.001953125,0.0031469648,0.00088858505,2889.0444350300004,500.0
23328,729,232,0.3337286710739136,-0.00069258746,93312,10.024452,548.4646735191345,0.0,0.008504285,0.000438403,2889.0444350300004,500.0
23360,730,235,0.7027826905250549,-0.01509653,93440,10.024452,549.0148453712463,0.005859375,0.015519428,0.0017596231,2889.0444350300004,500.0
23392,731,249,0.8826087564229965,-0.010406239,93568,10.025168,549.5597562789917,0.013671875,0.0055747153,0.002313465,2889.0444350300004,500.0
23424,732,239,0.7921176105737686,-0.008348879,93696,10.025511,550.0738162994385,0.00390625,0.006486711,0.0017989455,2889.0444350300004,500.0
23456,733,250,0.5557720363140106,-0.014814356,93824,10.026303,550.6099948883057,0.0234375,0.0018883301,0.002578866,2889.0444350300004,500.0
23488,734,232,-0.5991930961608887,-0.004180313,93952,10.027788,551.1209948062897,0.0,0.0020460219,0.0008905738,2889.0444350300004,500.0
23520,735,33,-0.21230292320251465,-0.0051229834,94080,10.030263,551.6728670597076,0.0,0.51998574,0.00127807,2881.03479946,500.0
23552,736,220,-0.21223688125610352,-0.0022075938,94208,10.030241,555.5326859951019,0.0,0.0037243431,0.00046167453,2881.03479946,500.0
23584,737,225,-0.4581890106201172,-0.0055103204,94336,10.030436,556.1142473220825,0.0,0.0034234168,0.00086162414,2881.03479946,500.0
23616,738,215,-0.35946714878082275,-0.009497872,94464,10.030675,556.6834244728088,0.00390625,0.001088386,0.0016107644,2881.03479946,500.0
23648,739,213,0.05335795879364014,-0.004459605,94592,10.029119,557.278374671936,0.0,0.003881819,0.00079380616,2881.03479946,500.0
23680,740,240,0.31557995080947876,-0.0062969937,94720,10.028824,557.8783330917358,0.0078125,0.0006979992,0.0014824942,2881.03479946,500.0
23712,741,239,-0.10884082317352295,-0.008338517,94848,10.027049,558.411906003952,0.0,0.0008582209,0.0014932989,2881.03479946,500.0
