policy_entropy,policy_loss,nupdates,value_loss,total_timesteps,explained_variance,fps,ep_len_mean,ep_reward_mean
7.097151756286621,0.12913696467876434,4300,5.447229862213135,348219,-0.0020242929458618164,222,1000.0,123821.12522562001
7.075339317321777,-0.13743752241134644,4400,5.567011833190918,356319,-0.01070702075958252,222,1000.0,123791.31195096001
7.068427085876465,-0.03521256893873215,4500,5.493330955505371,364419,-0.0036350488662719727,222,1000.0,123804.24909275999
7.138468265533447,-0.19473284482955933,4600,5.523536682128906,372519,0.005196094512939453,222,1000.0,123824.96715899
7.1245527267456055,-0.2024073600769043,4700,5.485331058502197,380619,-0.003286600112915039,222,1000.0,123917.23373352998
7.218251705169678,-0.2558901011943817,4800,5.441889762878418,388719,-0.005962252616882324,222,1000.0,123927.12085705
7.193182945251465,-0.3733392357826233,4900,5.567700386047363,396819,-0.005246162414550781,222,1000.0,123989.39079942
7.194211006164551,-0.0035400763154029846,5000,5.61126184463501,404919,-0.0857391357421875,222,1000.0,123972.48068897
7.191658973693848,-0.07630515843629837,5100,5.617681980133057,413019,-0.0009316205978393555,223,1000.0,123875.96165393002
7.194526672363281,-0.0077611953020095825,5200,5.668704986572266,421119,0.0014272332191467285,223,1000.0,123758.10104208998
7.174557685852051,-0.08940361440181732,5300,5.718510627746582,429219,-0.0016474723815917969,223,1000.0,123850.46127989002
7.169487953186035,-0.11080463230609894,5400,5.709536552429199,437319,-0.0002570152282714844,223,1000.0,123893.07216750999
7.18050479888916,-0.2814357280731201,5500,5.689399719238281,445419,0.006462574005126953,223,1000.0,123979.14916491002
7.184500694274902,-0.28040966391563416,5600,5.819125175476074,453519,-0.0037862062454223633,223,1000.0,124044.25364972
7.198817253112793,-0.00731465220451355,5700,5.766158103942871,461619,-0.008318185806274414,224,1000.0,124201.58081626003
7.224532127380371,0.008901916444301605,5800,5.769931316375732,469719,-0.002978086471557617,224,1000.0,124258.88176402001
7.210715293884277,0.07150645554065704,5900,5.785673141479492,477819,0.016105175018310547,224,1000.0,124265.09830797
7.214812278747559,-0.09014371782541275,6000,5.872493743896484,485919,0.002890169620513916,224,1000.0,124342.04463002
7.2324934005737305,-0.27013111114501953,6100,5.870231628417969,494019,0.00041800737380981445,224,1000.0,124372.66124232
7.266539573669434,0.13609029352664948,6200,5.9509148597717285,502119,-0.00014913082122802734,224,1000.0,124352.48714136999
