total_timesteps,policy_entropy,value_loss,explained_variance,fps,nupdates,ep_len_mean,ep_reward_mean
84000,10.013168334960938,1637.1048583984375,-5.829334259033203e-05,265,2400,1000.0,1271.0126244761905
87500,10.013983726501465,5.732985496520996,0.05122494697570801,268,2500,1000.0,1271.0126244761905
91000,9.986279487609863,2368.950927734375,0.0004699826240539551,267,2600,1000.0,1524.0387051978023
94500,9.953009605407715,475.41925048828125,0.0007630586624145508,269,2700,1000.0,1524.0387051978023
98000,9.917290687561035,2438.812255859375,0.0002587437629699707,268,2800,1000.0,1854.0813044285715
101500,9.917595863342285,188.849609375,0.7705231457948685,271,2900,1000.0,1854.0813044285715
105000,9.920323371887207,3013.83935546875,-0.09886598587036133,270,3000,1000.0,2156.45704664
108500,9.887229919433594,670.7440185546875,7.480382919311523e-05,272,3100,1000.0,2156.45704664
112000,9.84660816192627,5573.54052734375,0.003134608268737793,271,3200,1000.0,2624.97614144
115500,9.850845336914062,361.65008544921875,0.7620982080698013,274,3300,1000.0,2624.97614144
119000,9.841463088989258,5304.57666015625,-1.7901697158813477,273,3400,1000.0,3038.43739971
122500,9.827536582946777,1081.57861328125,0.0002473592758178711,275,3500,1000.0,3038.43739971
126000,9.83387279510498,6353.9072265625,-5.710124969482422e-05,274,3600,1000.0,3596.31212524
129500,9.804755210876465,872.2374267578125,6.258487701416016e-05,277,3700,1000.0,3596.31212524
133000,9.787618637084961,7084.986328125,5.53131103515625e-05,276,3800,1000.0,4131.26650122
136500,9.764568328857422,838.4442138671875,2.8789043426513672e-05,278,3900,1000.0,4131.26650122
140000,9.770820617675781,9765.9697265625,6.252527236938477e-05,277,4000,1000.0,4734.24018873
143500,9.75893497467041,1081.8470458984375,-2.753734588623047e-05,278,4100,1000.0,4734.24018873
147000,9.724981307983398,12676.3427734375,-8.976459503173828e-05,277,4200,1000.0,5274.74119771
150500,9.704845428466797,488.1275634765625,-0.0004786252975463867,279,4300,1000.0,5274.74119771
154000,9.686951637268066,10830.33203125,0.00012534856796264648,278,4400,1000.0,5965.6758452700005
157500,9.649484634399414,975.9199829101562,1.4722347259521484e-05,280,4500,1000.0,5965.6758452700005
161000,9.636622428894043,13241.3857421875,3.141164779663086e-05,279,4600,1000.0,6559.17334692
164500,9.610445022583008,1537.413330078125,-0.00017583370208740234,281,4700,1000.0,6559.17334692
168000,9.590248107910156,14770.6611328125,-6.079673767089844e-06,280,4800,1000.0,7195.57285481
171500,9.564970016479492,1637.24560546875,0.0001461505889892578,281,4900,1000.0,7195.57285481
175000,9.572802543640137,17672.62109375,7.987022399902344e-06,280,5000,1000.0,7779.44165202
178500,9.538032531738281,1410.9329833984375,1.6570091247558594e-05,282,5100,1000.0,7779.44165202
182000,9.508683204650879,20632.326171875,-1.049041748046875e-05,281,5200,1000.0,8334.259878190001
185500,9.488937377929688,974.2099609375,4.231929779052734e-06,282,5300,1000.0,8334.259878190001
189000,9.44884204864502,21929.009765625,7.212162017822266e-06,282,5400,1000.0,8822.80150484
192500,9.42909049987793,481.9222106933594,-2.5153160095214844e-05,283,5500,1000.0,8822.80150484
196000,9.422403335571289,24458.5234375,5.125999450683594e-06,282,5600,1000.0,9226.18417898
199500,9.39957332611084,1177.4903564453125,-9.298324584960938e-06,283,5700,1000.0,9226.18417898
203000,9.398886680603027,25583.841796875,7.569789886474609e-06,281,5800,1000.0,9670.28438109
206500,9.38164234161377,1158.89794921875,2.282857894897461e-05,282,5900,1000.0,9670.28438109
210000,9.333574295043945,32795.14453125,-1.633167266845703e-05,281,6000,1000.0,10084.441524670001
213500,9.33418083190918,888.4458618164062,0.9285304769873619,282,6100,1000.0,10084.441524670001
217000,9.301218032836914,30006.0078125,-7.631868362426758,282,6200,1000.0,10396.670001679999
220500,9.2714204788208,779.328125,-0.00032520294189453125,283,6300,1000.0,10396.670001679999
224000,9.238719940185547,38782.88671875,2.4259090423583984e-05,282,6400,1000.0,10682.52040351
227500,9.21491813659668,1147.8421630859375,0.00010704994201660156,283,6500,1000.0,10682.52040351
231000,9.20166015625,41753.3984375,4.869699478149414e-05,282,6600,1000.0,10964.887504550003
234500,9.186115264892578,1667.36181640625,2.4437904357910156e-05,283,6700,1000.0,10964.887504550003
238000,9.169171333312988,41919.2578125,-7.152557373046875e-06,283,6800,1000.0,11206.027252380001
241500,9.182878494262695,1531.3997802734375,-3.4570693969726562e-06,284,6900,1000.0,11206.027252380001
245000,9.168362617492676,49898.09765625,3.522634506225586e-05,283,7000,1000.0,11426.70400087
248500,9.142319679260254,1632.1685791015625,1.7344951629638672e-05,284,7100,1000.0,11426.70400087
252000,9.107576370239258,50701.8046875,2.6404857635498047e-05,283,7200,1000.0,11656.0366971
255500,9.06236743927002,1297.365966796875,1.233816146850586e-05,284,7300,1000.0,11656.0366971
259000,9.088179588317871,63584.6875,0.00029146671295166016,284,7400,1000.0,11758.397838050001
262500,9.078927993774414,298.1837463378906,5.4717063903808594e-05,284,7500,1000.0,11758.397838050001
266000,9.061485290527344,60376.984375,-2.0265579223632812e-05,284,7600,1000.0,11716.00960344
269500,9.054244995117188,877.0393676757812,-2.586841583251953e-05,285,7700,1000.0,11716.00960344
273000,9.05598258972168,65302.44140625,2.3543834686279297e-05,284,7800,1000.0,11739.92257492
276500,9.030993461608887,257.13641357421875,0.0007005929946899414,285,7900,1000.0,11739.92257492
280000,9.040641784667969,76021.6953125,5.435943603515625e-05,284,8000,1000.0,11670.352850649997
283500,9.000892639160156,1393.23681640625,0.9624781049787998,285,8100,1000.0,11670.352850649997
287000,9.001029968261719,64433.38671875,-23.673662185668945,285,8200,1000.0,11599.181304239995
290500,8.978408813476562,1501.1180419921875,2.7000904083251953e-05,286,8300,1000.0,11599.181304239995
294000,8.996256828308105,73369.7109375,-6.556510925292969e-06,286,8400,1000.0,11716.499823459999
297500,8.980908393859863,555.595947265625,0.988570767454803,287,8500,1000.0,11716.499823459999
301000,8.995759010314941,52146.4296875,-93.96985626220703,286,8600,1000.0,11325.23415476
304500,8.974552154541016,920.8316650390625,0.00010347366333007812,287,8700,1000.0,11325.23415476
308000,8.955660820007324,87312.4609375,-1.1682510375976562e-05,287,8800,1000.0,11283.881058879997
311500,8.924705505371094,350.6260070800781,6.848573684692383e-05,287,8900,1000.0,11283.881058879997
315000,8.916229248046875,99698.9609375,-0.00011205673217773438,287,9000,1000.0,11152.39418562
318500,8.904857635498047,3142.0751953125,1.537799835205078e-05,288,9100,1000.0,11152.39418562
322000,8.863001823425293,85601.8984375,2.0503997802734375e-05,287,9200,1000.0,11315.49607247
