fps,total_timesteps,explained_variance,policy_entropy,nupdates,value_loss,policy_loss,ep_reward_mean,ep_len_mean
270,394659,-0.07904720306396484,10.371720314025879,2800,3.402162790298462,0.1524665355682373,112030.80984524998,1000.0
269,408759,-0.07694101333618164,10.394713401794434,2900,3.450756072998047,0.28565579652786255,111969.70582697,1000.0
268,422859,0.040042877197265625,10.438948631286621,3000,3.5784671306610107,-0.2711270749568939,112216.02213205,1000.0
267,436959,-0.011397123336791992,10.451643943786621,3100,3.597382068634033,-0.13673169910907745,112725.26422462,1000.0
267,451059,0.003763258457183838,10.485593795776367,3200,3.6286754608154297,-0.322433203458786,113904.33964508,1000.0
266,465159,-0.13550353050231934,10.513707160949707,3300,3.5764808654785156,-0.11969270557165146,114331.67866402002,1000.0
265,479259,-2.6801400184631348,10.551313400268555,3400,3.1964879035949707,-0.33376258611679077,112760.91275764002,1000.0
264,493359,-0.3360328674316406,10.606247901916504,3500,3.385521650314331,-0.15921862423419952,113332.94854328001,1000.0
264,507459,-0.3290764093399048,10.605284690856934,3600,3.433722496032715,0.17054444551467896,114011.63563552001,1000.0
263,521559,-0.36465680599212646,10.605360984802246,3700,3.3673770427703857,0.1468418687582016,114127.74036150999,1000.0
262,535659,-0.21404588222503662,10.636934280395508,3800,3.4922995567321777,-0.24262750148773193,114209.84036449,1000.0
262,549759,-0.37936627864837646,10.622862815856934,3900,3.3106656074523926,-0.0005070194602012634,114098.33207055001,1000.0
261,563859,0.01355510950088501,10.601419448852539,4000,3.597541093826294,-0.3550756573677063,114740.50759306,1000.0
261,577959,-0.027964115142822266,10.647176742553711,4100,3.640491247177124,0.15005354583263397,115601.92916437,1000.0
260,592059,-0.2814948558807373,10.707550048828125,4200,3.5621178150177,-0.11063054949045181,116528.43799699,1000.0
260,606159,-0.7177305221557617,10.71882152557373,4300,3.5105559825897217,-0.38984739780426025,116790.84028666001,1000.0
259,620259,-0.0018039941787719727,10.73985767364502,4400,3.7846217155456543,-0.0725003331899643,117189.78166847002,1000.0
259,634359,-0.5930458307266235,10.785603523254395,4500,3.458529472351074,0.09297487139701843,117509.55305788998,1000.0
259,648459,-0.7635961771011353,10.814173698425293,4600,3.4484639167785645,-0.17111839354038239,117843.82737167999,1000.0
258,662559,-0.0017048120498657227,10.811070442199707,4700,3.8354692459106445,-0.12501169741153717,118161.58292906,1000.0
258,676659,0.003400743007659912,10.836273193359375,4800,3.789372444152832,-0.525592029094696,118437.98853069998,1000.0
258,690759,-0.011747241020202637,10.875519752502441,4900,3.8903591632843018,-0.07992289215326309,118694.42003819998,1000.0
258,704859,-3.45706844329834,10.896071434020996,5000,3.353940963745117,-0.008882015943527222,118840.97771445001,1000.0
257,718959,-0.15768063068389893,10.902100563049316,5100,3.7856554985046387,-0.1887381225824356,118789.06364457001,1000.0
257,733059,-0.0014111995697021484,10.950361251831055,5200,3.9393985271453857,-0.3915366530418396,118846.80523997999,1000.0
257,747159,-0.02459430694580078,11.020142555236816,5300,4.077670097351074,-0.39264971017837524,118995.65037565999,1000.0
257,761259,0.008502542972564697,11.057047843933105,5400,3.842528820037842,-0.2584291696548462,116067.97970445,1000.0
257,775359,-0.016676783561706543,11.070296287536621,5500,3.7682442665100098,-0.15321572124958038,115924.47866646,1000.0
257,789459,-0.02592599391937256,11.026423454284668,5600,3.798241376876831,-0.30248144268989563,115089.82314533001,1000.0
257,803559,-0.12897861003875732,11.008784294128418,5700,3.6946628093719482,-0.06740955263376236,114637.30417864,1000.0
257,817659,-2.244276285171509,11.001276969909668,5800,3.5147898197174072,-0.2341645359992981,114388.57908435998,1000.0
257,831759,-0.3995591402053833,11.013138771057129,5900,3.6343960762023926,0.0011923834681510925,114207.33412870999,1000.0
