value_loss,policy_loss,policy_entropy,total_timesteps,nupdates,explained_variance,fps,ep_len_mean,ep_reward_mean
5.977409362792969,-0.1396491825580597,7.525031566619873,874059,6200,0.0060904622077941895,291,1000.0,124952.41238603002
6.038496017456055,-0.22742965817451477,7.580939769744873,888159,6300,-0.003053426742553711,292,1000.0,124925.84030106
6.077360153198242,-0.4389285445213318,7.591200351715088,902259,6400,0.002862691879272461,292,1000.0,124882.24981527001
6.038254261016846,-0.0713978260755539,7.601829528808594,916359,6500,-0.0013260841369628906,292,1000.0,124801.13299057003
6.168122291564941,-0.19840358197689056,7.629234790802002,930459,6600,0.0030736923217773438,292,1000.0,124800.77644743
6.136524677276611,-0.18350955843925476,7.665473937988281,944559,6700,0.0029753446578979492,292,1000.0,124695.55614889998
6.0727128982543945,-0.016783013939857483,7.7157769203186035,958659,6800,3.921985626220703e-05,292,1000.0,124791.49110874
6.004544734954834,0.24760791659355164,7.730802536010742,972759,6900,0.00016248226165771484,292,1000.0,124927.31167617001
5.927601337432861,-0.06027251482009888,7.738227367401123,986859,7000,-0.0037107467651367188,293,1000.0,124993.03987073
5.877327919006348,-0.25032398104667664,7.736000061035156,1000959,7100,-0.00537562370300293,293,1000.0,125048.84513057001
