fps,policy_loss,nupdates,value_loss,policy_entropy,total_timesteps,explained_variance,ep_reward_mean,ep_len_mean
246,-0.3440953493118286,3000,10.991081237792969,8.383004188537598,242919,-0.03512680530548096,43124.49482047,1000.0
246,-0.021278057247400284,3100,11.410765647888184,8.26956844329834,251019,-0.05402994155883789,46604.674794,1000.0
246,0.06854668259620667,3200,11.304853439331055,8.131834983825684,259119,-0.017345905303955078,50351.605770229995,1000.0
247,-0.2357364296913147,3300,11.495259284973145,8.01697063446045,267219,-0.018764138221740723,54331.32333903,1000.0
247,-0.12670671939849854,3400,11.081868171691895,7.926169395446777,275319,-0.024562954902648926,58507.40563396999,1000.0
247,-0.4631940424442291,3500,11.435991287231445,7.827153205871582,283419,0.05549943447113037,62927.29807815,1000.0
248,-0.19753021001815796,3600,11.21613597869873,7.709671974182129,291519,0.05191671848297119,67536.56164065999,1000.0
248,-0.10976745188236237,3700,10.957340240478516,7.595297813415527,299619,-0.0011932849884033203,72060.20065863,1000.0
248,0.004034288227558136,3800,11.117101669311523,7.496869087219238,307719,-0.040953993797302246,76500.76856696002,1000.0
249,-0.06978971511125565,3900,10.724589347839355,7.417771339416504,315819,-0.01428842544555664,81115.97469881,1000.0
249,-0.10753616690635681,4000,10.475580215454102,7.339133262634277,323919,0.006761729717254639,85559.40550395001,1000.0
249,0.2763061821460724,4100,9.527023315429688,7.230201721191406,332019,0.007006943225860596,89718.72995601999,1000.0
250,-0.047638144344091415,4200,9.002508163452148,7.142092227935791,340119,-0.01532900333404541,93649.48704868002,1000.0
250,-0.05687463656067848,4300,8.50234317779541,7.041900634765625,348219,-0.004516720771789551,97141.87342264,1000.0
250,-0.10515695065259933,4400,8.223382949829102,6.982913970947266,356319,-0.037461042404174805,100192.74710477999,1000.0
250,-0.5586978793144226,4500,7.271376609802246,6.925772666931152,364419,-0.06835949420928955,102478.78687294999,1000.0
250,-0.055967509746551514,4600,7.382757663726807,6.862229347229004,372519,-0.08871150016784668,104774.59981156,1000.0
251,-0.2261638641357422,4700,7.071200370788574,6.787840843200684,380619,-0.020406246185302734,107077.61909046,1000.0
251,0.09815170615911484,4800,7.0625,6.772858619689941,388719,0.0022972822189331055,108796.78076588002,1000.0
251,-0.2857699692249298,4900,7.090635776519775,6.748970985412598,396819,0.004936039447784424,110227.41857648,1000.0
251,0.17276659607887268,5000,6.935389518737793,6.591296195983887,404919,-0.008519649505615234,111288.10222680999,1000.0
251,-0.2493685781955719,5100,6.794422149658203,6.562138557434082,413019,0.00865548849105835,112252.17910380001,1000.0
251,-0.12923766672611237,5200,6.625966548919678,6.514681816101074,421119,-0.012040138244628906,113027.62563838997,1000.0
252,0.2381010353565216,5300,6.7280988693237305,6.475775718688965,429219,-0.04835319519042969,113521.65594631001,1000.0
252,0.18588721752166748,5400,6.422524452209473,6.466376304626465,437319,-0.04633927345275879,113978.5373442,1000.0
252,-0.1307295262813568,5500,6.324075222015381,6.457400321960449,445419,0.010829627513885498,114451.66001691,1000.0
252,-0.13582688570022583,5600,6.08432674407959,6.465203285217285,453519,-0.011559009552001953,114895.48292944001,1000.0
252,-0.22845441102981567,5700,6.163799285888672,6.41464900970459,461619,-0.07276606559753418,115615.15472547,1000.0
253,0.47562068700790405,5800,6.037538051605225,6.374312877655029,469719,-0.005470156669616699,116176.04748847004,1000.0
253,-0.031288761645555496,5900,6.089049816131592,6.289810657501221,477819,0.01597076654434204,116886.81713796999,1000.0
253,-0.10346616804599762,6000,6.083380699157715,6.220340251922607,485919,-0.0010546445846557617,117382.51866787001,1000.0
253,-0.5288076400756836,6100,6.09048318862915,6.130497932434082,494019,0.009160339832305908,117756.67686331998,1000.0
253,0.06412077695131302,6200,6.16787052154541,6.094709873199463,502119,0.13497066497802734,118059.83747646,1000.0
