EpThisIter,EpRewMean,optimgain,meankl,surrgain,EpLenMean,entloss,entropy,explained_variance_tdlam_before,EpisodesSoFar,TimestepsSoFar,TimeElapsed
1,466.44096343999996,0.13152963,0.013131751,0.13152963,1000.0,0.0,9.8982315,-0.13125967979431152,25,25600,110.34742331504822
1,471.2800251923076,0.13458787,0.013390193,0.13458787,1000.0,0.0,9.906125,-0.021781444549560547,26,26624,114.71077227592468
1,473.80675507407403,0.12405001,0.011780161,0.12405001,1000.0,0.0,9.940722,-0.1793661117553711,27,27648,119.0972056388855
1,475.06981317857145,0.13402337,0.013494247,0.13402337,1000.0,0.0,9.950083,-0.06344366073608398,28,28672,123.3465621471405
1,481.0177292413793,0.1668886,0.013012154,0.1668886,1000.0,0.0,9.925952,-0.022558212280273438,29,29696,127.71448540687561
1,489.6933315,0.13655916,0.013498714,0.13655916,1000.0,0.0,9.948863,-0.17975783348083496,30,30720,132.155202627182
1,493.8838090967742,0.12434041,0.012749324,0.12434041,1000.0,0.0,9.954955,0.0020513534545898438,31,31744,136.60908031463623
1,498.6035609375,0.13747093,0.013707172,0.13747093,1000.0,0.0,9.977665,-0.17097747325897217,32,32768,140.8787338733673
1,499.8671402424242,0.13780001,0.013442073,0.13780001,1000.0,0.0,9.991456,-0.03540325164794922,33,33792,145.27860116958618
1,504.80140620588236,0.13516541,0.01394337,0.13516541,1000.0,0.0,10.011642,-0.10397326946258545,34,34816,149.60362100601196
1,508.57379197142865,0.16174048,0.012325298,0.16174048,1000.0,0.0,10.044481,-0.025969505310058594,35,35840,153.8823003768921
1,508.79314405555556,0.14851406,0.014537124,0.14851406,1000.0,0.0,10.037219,-0.031121492385864258,36,36864,158.15288996696472
1,511.80852497297303,0.13970652,0.012797081,0.13970652,1000.0,0.0,10.041822,-0.011287569999694824,37,37888,162.508873462677
1,513.1380656842106,0.12865561,0.013377769,0.12865561,1000.0,0.0,10.047409,-0.04148745536804199,38,38912,166.8293719291687
1,514.1202633076924,0.19702828,0.013867579,0.19702828,1000.0,0.0,10.031079,-0.009282827377319336,39,39936,171.12140130996704
1,519.1746313,0.13307631,0.013368471,0.13307631,1000.0,0.0,10.030472,-0.07826197147369385,40,40960,175.60295176506042
1,523.620550675,0.12234919,0.014230254,0.12234919,1000.0,0.0,10.002365,0.045150697231292725,41,41984,179.75638127326965
2,535.857432875,0.13000524,0.013954287,0.13000524,1000.0,0.0,9.9809475,-0.027067899703979492,43,43008,184.99632477760315
1,536.54274385,0.11851848,0.013751487,0.11851848,1000.0,0.0,9.965161,-0.040841102600097656,44,44032,189.45959424972534
1,536.5188062,0.12476177,0.012285026,0.12476177,1000.0,0.0,9.966419,-0.022495269775390625,45,45056,193.8778579235077
1,537.6734460999999,0.066752344,0.0037830719,0.066752344,1000.0,0.0,9.966554,-0.08079421520233154,46,46080,198.15666818618774
1,540.715693825,0.14332992,0.012166621,0.14332992,1000.0,0.0,9.955492,-0.025852560997009277,47,47104,202.96135663986206
1,541.8865873499999,0.12892912,0.013013458,0.12892912,1000.0,0.0,9.961178,-0.03386533260345459,48,48128,207.62918972969055
1,550.6354654999999,0.13565509,0.0133345295,0.13565509,1000.0,0.0,9.961903,-0.014682173728942871,49,49152,212.05558466911316
