total_timesteps,policy_entropy,fps,nupdates,explained_variance,value_loss,policy_loss,ep_reward_mean,ep_len_mean
607419,11.092413902282715,266,7500,-0.0374678373336792,10.032730102539062,-0.50534987449646,15538.97800303,1000.0
615519,11.096711158752441,266,7600,-0.005133867263793945,9.975320816040039,-0.2684011459350586,15545.23282054,1000.0
623619,11.186629295349121,266,7700,-0.0049724578857421875,9.918612480163574,-0.29620006680488586,15509.93685064,1000.0
631719,11.174811363220215,266,7800,5.125999450683594e-05,10.00877571105957,-0.1728677749633789,15508.52225482,1000.0
639819,11.210923194885254,266,7900,-0.004675149917602539,10.053729057312012,-0.464386522769928,15507.564701119998,1000.0
647919,11.221541404724121,266,8000,-0.007817983627319336,10.156524658203125,-0.15738481283187866,15499.77970217,1000.0
656019,11.224685668945312,266,8100,-0.018879055976867676,10.224123001098633,-0.303070068359375,15496.527805320002,1000.0
664119,11.235304832458496,265,8200,-0.0028617382049560547,10.2545747756958,-0.40777698159217834,15506.355832900004,1000.0
672219,11.316879272460938,265,8300,-0.021236419677734375,10.550844192504883,-0.37815946340560913,15514.992249899999,1000.0
680319,11.356735229492188,265,8400,-0.03861427307128906,10.263769149780273,0.17747002840042114,15428.699623210005,1000.0
688419,11.37039852142334,265,8500,-0.020705699920654297,9.353784561157227,0.10680940747261047,15335.44046587,1000.0
696519,11.3726167678833,265,8600,-0.012790918350219727,9.409055709838867,-0.1505008041858673,15311.91588651,1000.0
704619,11.395540237426758,265,8700,-0.0029039382934570312,9.51994514465332,-0.4908592402935028,15316.79131242,1000.0
712719,11.423306465148926,265,8800,-0.012993812561035156,9.730047225952148,0.014916852116584778,15326.830780799999,1000.0
720819,11.43699836730957,265,8900,-0.0019443035125732422,9.781394958496094,-0.07967144250869751,15324.549131490001,1000.0
728919,11.466387748718262,265,9000,0.00018554925918579102,9.917054176330566,-0.2655676603317261,15300.492575940001,1000.0
737019,11.538545608520508,265,9100,-0.00243377685546875,10.019233703613281,0.03581178933382034,15266.93223253,1000.0
745119,11.545478820800781,265,9200,0.022434651851654053,9.896875381469727,0.2242710292339325,15230.7112425,1000.0
753219,11.584473609924316,265,9300,-0.0044710636138916016,9.996369361877441,-0.24083691835403442,15229.26904787,1000.0
761319,11.622403144836426,265,9400,-0.0007032155990600586,10.170619010925293,-0.13375012576580048,15227.324954760003,1000.0
769419,11.706357955932617,265,9500,-0.020983576774597168,10.240758895874023,-0.08404107391834259,15216.24044052,1000.0
777519,11.744505882263184,265,9600,0.004663348197937012,10.252400398254395,-0.07233957946300507,15220.685536650002,1000.0
785619,11.77258014678955,265,9700,-0.010241508483886719,10.25554084777832,-0.23286166787147522,15342.900790120002,1000.0
793719,11.799833297729492,264,9800,-5.519390106201172e-05,10.394291877746582,-0.14872395992279053,15401.463846369998,1000.0
801819,11.822556495666504,264,9900,0.01014399528503418,10.32982349395752,0.11833803355693817,15393.759698069998,1000.0
809919,11.935690879821777,264,10000,0.003889024257659912,10.271963119506836,-0.0034577250480651855,15369.8890166,1000.0
818019,11.971442222595215,264,10100,-0.007317185401916504,10.1698579788208,-0.24643611907958984,15354.74993551,1000.0
826119,11.968950271606445,264,10200,0.013678193092346191,10.25063705444336,-0.18919789791107178,15296.51667688,1000.0
834219,12.072256088256836,264,10300,-0.009087681770324707,10.006524085998535,-0.549214243888855,15258.045327929998,1000.0
842319,12.098588943481445,264,10400,-0.01957404613494873,10.093750953674316,-0.06753411144018173,15264.334033769997,1000.0
850419,12.14157772064209,264,10500,-0.01034557819366455,9.91064739227295,0.1580478549003601,15172.93948438,1000.0
858519,12.177382469177246,264,10600,0.003034234046936035,9.710744857788086,-0.13002072274684906,15035.390968950001,1000.0
866619,12.199540138244629,264,10700,0.010756731033325195,9.47822380065918,-0.08547024428844452,14958.3268436,1000.0
874719,12.253817558288574,264,10800,0.016772866249084473,9.414789199829102,-0.0071428194642066956,14888.91388797,1000.0
882819,12.282867431640625,264,10900,0.006101369857788086,9.564542770385742,-0.07365226745605469,14828.311506959999,1000.0
890919,12.333359718322754,264,11000,-0.0034487247467041016,9.418850898742676,-0.47935429215431213,14791.515884710001,1000.0
899019,12.352124214172363,264,11100,-0.04179525375366211,9.75135612487793,-0.18361973762512207,14688.012599300002,1000.0
907119,12.396661758422852,264,11200,-0.0019736289978027344,9.521125793457031,0.300153523683548,14686.702048289999,1000.0
915219,12.389455795288086,264,11300,-0.004143953323364258,9.50768756866455,-0.2957727909088135,14679.537003440002,1000.0
