fps,nupdates,value_loss,policy_loss,total_timesteps,policy_entropy,explained_variance,ep_len_mean,ep_reward_mean
276,5400,3285.534423828125,0.10278107225894928,761259,10.205504417419434,0.0,1000.0,7717.6277717500025
276,5500,3631.1650390625,0.059028007090091705,775359,10.209614753723145,-1.1920928955078125e-07,1000.0,7738.07550631
276,5600,3589.896484375,-0.29855749011039734,789459,10.211038589477539,-1.1920928955078125e-07,1000.0,7756.26319403
277,5700,3733.55859375,-0.13731223344802856,803559,10.21684455871582,2.384185791015625e-07,1000.0,7773.74573269
277,5800,3987.5634765625,-0.30320754647254944,817659,10.21742057800293,0.0,1000.0,7796.9984228700005
277,5900,4377.57421875,-0.1705896258354187,831759,10.21851921081543,0.0,1000.0,7819.819636189999
277,6000,4391.271484375,0.12381620705127716,845859,10.224808692932129,1.1920928955078125e-07,1000.0,7834.939098499999
278,6100,4560.69384765625,-0.38408899307250977,859959,10.225428581237793,5.960464477539063e-08,1000.0,7858.597906520001
278,6200,4842.1728515625,-0.21567609906196594,874059,10.227231979370117,-1.1920928955078125e-07,1000.0,7866.159547100001
278,6300,4941.62158203125,-0.3129390478134155,888159,10.233854293823242,-1.1920928955078125e-07,1000.0,7874.087120560001
278,6400,5197.73876953125,0.051768653094768524,902259,10.23731803894043,0.0,1000.0,7894.113540990003
279,6500,5463.37939453125,-0.19701869785785675,916359,10.239850997924805,-1.1920928955078125e-07,1000.0,7909.93515687
279,6600,5721.7919921875,-0.052954476326704025,930459,10.244202613830566,0.0,1000.0,7920.145059909999
279,6700,5916.17724609375,0.08333808928728104,944559,10.249894142150879,0.0,1000.0,7926.629723790001
279,6800,6307.27685546875,-0.09410181641578674,958659,10.250535011291504,1.1920928955078125e-07,1000.0,7927.178262680001
279,6900,6418.66943359375,0.09004481136798859,972759,10.254465103149414,-2.384185791015625e-07,1000.0,7928.891749959999
279,7000,6788.25244140625,-0.14636313915252686,986859,10.258030891418457,-2.384185791015625e-07,1000.0,7927.516796680001
280,7100,7176.95263671875,0.014266431331634521,1000959,10.262660026550293,-1.1920928955078125e-07,1000.0,7930.525141510001
280,7200,7321.50830078125,0.09070140868425369,1015059,10.265981674194336,1.1920928955078125e-07,1000.0,7940.95778568
280,7300,7707.91943359375,0.12036097794771194,1029159,10.273594856262207,0.0,1000.0,7948.58957681
280,7400,7958.32421875,-0.04845204949378967,1043259,10.277674674987793,-1.1920928955078125e-07,1000.0,7950.32359249
280,7500,8221.4736328125,-0.11598114669322968,1057359,10.283357620239258,-1.1920928955078125e-07,1000.0,7956.207429020001
280,7600,8849.330078125,-0.26159682869911194,1071459,10.288278579711914,0.0,1000.0,7971.24730992
281,7700,9086.2744140625,0.028900928795337677,1085559,10.293299674987793,1.1920928955078125e-07,1000.0,7982.120300160001
281,7800,9304.2548828125,-0.31353864073753357,1099659,10.300724983215332,-1.1920928955078125e-07,1000.0,7990.414312889999
281,7900,9684.1103515625,-0.10373040288686752,1113759,10.302079200744629,-2.384185791015625e-07,1000.0,7987.08489685
281,8000,9963.6728515625,-0.15376071631908417,1127859,10.306361198425293,1.1920928955078125e-07,1000.0,7991.468720690001
281,8100,10447.029296875,-0.030614599585533142,1141959,10.307927131652832,0.0,1000.0,8001.808871000002
281,8200,10928.203125,-0.0026960745453834534,1156059,10.311752319335938,-1.1920928955078125e-07,1000.0,8009.24834637
282,8300,11307.5966796875,-0.2553269863128662,1170159,10.315938949584961,5.960464477539063e-08,1000.0,8013.314751080001
282,8400,11505.890625,0.11896316707134247,1184259,10.318434715270996,-1.1920928955078125e-07,1000.0,8012.241953420001
282,8500,11910.7255859375,-0.11908145993947983,1198359,10.324076652526855,1.1920928955078125e-07,1000.0,8019.936583250001
282,8600,12794.560546875,-0.1788432002067566,1212459,10.32826042175293,0.0,1000.0,8031.66484873
282,8700,13467.5263671875,-0.2017870396375656,1226559,10.334864616394043,0.0,1000.0,8032.401006529999
282,8800,13860.521484375,-0.19885604083538055,1240659,10.337586402893066,0.0,1000.0,8028.368385409999
282,8900,14265.9189453125,-0.16128996014595032,1254759,10.344447135925293,0.0,1000.0,8031.775107570001
282,9000,14834.0361328125,-0.2826942801475525,1268859,10.34733772277832,1.1920928955078125e-07,1000.0,8031.146986269999
