nupdates,value_loss,explained_variance,policy_loss,total_timesteps,fps,policy_entropy,ep_reward_mean,ep_len_mean
5600,0.10719797760248184,0.019060134887695312,-0.3394416272640228,184767,183,8.529711723327637,40.162056729999996,1000.0
5700,0.20168302953243256,0.07614493370056152,0.05626325309276581,188067,184,8.471258163452148,42.19287351,1000.0
5800,1.2967562675476074,0.1531636118888855,-0.013506677001714706,191367,184,8.447423934936523,45.04847556,1000.0
5900,1.5281848907470703,-0.026488304138183594,-0.4859151840209961,194667,184,8.39674186706543,47.69708422000001,1000.0
6000,56.5452766418457,0.01312565803527832,0.03764939308166504,197967,184,8.346654891967773,51.931981289999996,1000.0
6100,0.13672667741775513,0.06186509132385254,-0.15261304378509521,201267,184,8.31616497039795,55.14484722000001,1000.0
6200,0.22781944274902344,-0.09903240203857422,0.000298056285828352,204567,185,8.26055908203125,58.870345959999995,1000.0
6300,0.858992874622345,0.07773548364639282,-0.035418614745140076,207867,185,8.201393127441406,62.434964390000005,1000.0
6400,3.6106934547424316,0.05126786231994629,-0.4931298792362213,211167,185,8.169065475463867,66.9510187,1000.0
6500,98.3641586303711,-0.14665305614471436,-0.45916661620140076,214467,185,8.121257781982422,73.04547284,1000.0
6600,0.028343861922621727,-0.27145683765411377,-0.6218060851097107,217767,186,8.097413063049316,79.10162315,1000.0
6700,6.948118209838867,-0.08041322231292725,0.6009998321533203,221067,186,8.054798126220703,88.22887426999999,1000.0
6800,1.5625782012939453,-0.24578535556793213,0.31947842240333557,224367,186,7.994472980499268,97.26859941999999,1000.0
6900,1.5329687595367432,0.0019753575325012207,-0.017644450068473816,227667,187,7.951375961303711,108.57339445999997,1000.0
7000,169.3597412109375,-1.5715253353118896,-0.3324662446975708,230967,187,7.915696620941162,124.28921027999996,1000.0
7100,0.1950131356716156,-0.18467795848846436,0.23689284920692444,234267,187,7.879552841186523,139.15558398999997,1000.0
7200,0.2586367130279541,0.008173465728759766,-0.15810327231884003,237567,187,7.850634574890137,155.87694016,1000.0
7300,0.8927773237228394,0.06382220983505249,-0.6063219308853149,240867,188,7.821850776672363,171.30280951999998,1000.0
7400,0.421028196811676,-0.004703879356384277,-0.10542004555463791,244167,188,7.779058456420898,190.89487089,1000.0
7500,190.5852813720703,-0.005129098892211914,-0.5234078168869019,247467,188,7.737303733825684,224.25997616,1000.0
7600,0.03431613743305206,0.0785875916481018,-0.04749389365315437,250767,188,7.7065324783325195,247.5786473,1000.0
7700,0.012402608059346676,-0.5842722654342651,0.07691352069377899,254067,189,7.65330696105957,275.79029591,1000.0
7800,0.04474947229027748,-0.007115364074707031,-0.21373505890369415,257367,189,7.627473831176758,300.2333643,1000.0
7900,1.1335219144821167,0.021474003791809082,-0.6266058087348938,260667,189,7.567698001861572,328.89895889,1000.0
8000,199.42108154296875,-0.003405332565307617,-0.0470152422785759,263967,189,7.527698040008545,361.45984857999997,1000.0
8100,0.013582123443484306,0.03932243585586548,-0.22695861756801605,267267,189,7.469491958618164,396.88136131,1000.0
8200,0.48037630319595337,-0.041388750076293945,-0.1175743043422699,270567,190,7.433442115783691,431.59505232,1000.0
8300,0.06348908692598343,-0.07387673854827881,-0.45860713720321655,273867,190,7.3881611824035645,464.45217176,1000.0
8400,0.08760116994380951,-0.004010319709777832,-0.3799416720867157,277167,190,7.358393669128418,499.37434375000004,1000.0
8500,184.99041748046875,0.0035132765769958496,0.4781596064567566,280467,190,7.315603256225586,548.1480512400001,1000.0
8600,0.23896124958992004,0.016941189765930176,-0.16942109167575836,283767,190,7.273838520050049,589.81707484,1000.0
8700,0.3161712884902954,-0.025434494018554688,-0.4210142493247986,287067,191,7.232822895050049,633.9023249200001,1000.0
8800,0.3957770764827728,0.04595524072647095,0.12738417088985443,290367,191,7.180824279785156,680.0283150099999,1000.0
8900,0.01030014269053936,0.13328468799591064,-0.26737475395202637,293667,191,7.142782211303711,725.7621152700001,1000.0
9000,221.15509033203125,0.028776466846466064,0.043387286365032196,296967,191,7.086036682128906,794.5568999700001,1000.0
9100,0.19703073799610138,5.185604095458984e-06,-0.6987807750701904,300267,192,7.037636756896973,845.19496089,1000.0
9200,0.27412885427474976,-0.0069533586502075195,-0.012743806466460228,303567,192,6.992065906524658,897.44460255,1000.0
