episodes,n_updates,qf1_loss,policy_loss,time_elapsed,ent_coef_loss,mean 100 episode reward,qf2_loss,entropy,eplenmean,ent_coef,current_lr,ep_rewmean,total timesteps,fps,value_loss
216,214900,0.000111796515,-1.9475014,2334,-4.7766585,26.2,0.00011256062,-0.739488,1000.0,0.00023952837,0.0003,108285.29257403,215000,92,6.0871957e-05
220,218900,7.166816e-05,-1.9615465,2377,-2.3244696,25.5,7.1214556e-05,-0.546064,1000.0,0.00025103122,0.0003,108943.37825887003,219000,92,9.8039134e-05
224,222900,0.012879868,-1.9122941,2421,-4.1570697,24.8,0.014325289,-0.113501914,1000.0,0.00025133163,0.0003,109060.44341637,223000,92,0.0002946926
228,226900,3.484198e-05,-1.9272674,2465,0.29213572,24.3,4.5543635e-05,-0.79653764,1000.0,0.00026762992,0.0003,109124.86745905,227000,92,0.00014763672
232,230900,4.0987794e-05,-1.8515809,2507,-10.210596,23.7,4.3154698e-05,0.40156505,1000.0,0.0003395753,0.0003,108531.34772789,231000,92,1.453306e-05
236,234900,7.066118e-05,-1.8538584,2550,-2.9860265,23.4,8.3543084e-05,-0.3818608,1000.0,0.00033637485,0.0003,109036.81876161002,235000,92,1.08720615e-05
240,238900,5.2872965e-05,-1.8906162,2593,2.3391318,23.1,6.0256363e-05,-0.34715176,1000.0,0.00026888528,0.0003,108909.62770988999,239000,92,2.6263522e-05
244,242900,2.212054e-05,-1.8911281,2636,3.998433,22.8,4.465387e-05,-1.0008124,1000.0,0.00034125222,0.0003,108523.98963596999,243000,92,1.6853255e-05
248,246900,3.391789e-05,-1.8856698,2680,-0.120093346,22.5,2.8024417e-05,-0.74438715,1000.0,0.0002639505,0.0003,108146.16749231,247000,92,9.7956756e-05
252,250900,2.8301218e-05,-1.8622758,2722,5.473115,22.2,2.358028e-05,-0.34693897,1000.0,0.00035509904,0.0003,107569.84061675999,251000,92,7.6128184e-05
256,254900,5.40396e-05,-1.8867989,2765,-2.523099,22.0,6.643334e-05,0.17859337,1000.0,0.00028231306,0.0003,106991.50956464998,255000,92,2.7564188e-06
260,258900,1.831516e-05,-1.9141202,2809,-6.2575445,22.0,1.4282023e-05,-1.1546946,1000.0,0.0002811443,0.0003,107389.31732907,259000,92,1.5661717e-05
264,262900,2.6576197e-05,-1.9444231,2852,-4.1657505,21.9,2.6409332e-05,-0.8402453,1000.0,0.00031360716,0.0003,107583.94986293999,263000,92,0.00010864876
268,266900,6.121062e-05,-1.9002306,2896,-17.759466,21.8,4.4152188e-05,0.5055247,1000.0,0.00040293502,0.0003,107193.66464748,267000,92,0.0001611269
272,270900,4.000718e-05,-1.8854585,2940,-1.0214379,21.9,6.102801e-05,-1.3819244,1000.0,0.0004170419,0.0003,107851.22001969001,271000,92,4.7548347e-05
276,274900,0.02644851,-1.8531184,2985,0.2653613,21.9,0.026433408,-0.90266603,1000.0,0.00040031955,0.0003,108021.29428968999,275000,92,1.1399689e-05
280,278900,0.026092494,-1.8625743,3029,-5.278631,21.9,0.026349733,-0.6140631,1000.0,0.00032822147,0.0003,108378.15762854001,279000,92,6.5771733e-06
284,282900,3.0970823e-05,-1.8747916,3073,-0.5492468,21.7,8.415111e-05,-1.0228698,1000.0,0.00034997152,0.0003,107915.60912671001,283000,92,3.0220142e-05
288,286900,2.1035608e-05,-1.8732095,3117,-8.474794,21.8,1.6442558e-05,-0.09167725,1000.0,0.0005004508,0.0003,108385.41473472,287000,92,1.7412027e-05
292,290900,4.4631364e-05,-1.8815876,3161,6.201929,21.8,4.555734e-05,-2.6036685,1000.0,0.00046884498,0.0003,108576.14399187999,291000,92,6.1433624e-05
296,294900,2.2784749e-05,-1.8842264,3205,-2.9544868,22.3,1.8194014e-05,-2.063897,1000.0,0.00029212423,0.0003,110977.94751991998,295000,92,2.6556609e-05
300,298900,8.669016e-05,-1.8728664,3250,0.25331616,22.3,0.00010200291,-0.87624335,1000.0,0.00028222476,0.0003,111384.94470931997,299000,91,5.095663e-05
304,302900,4.899316e-05,-1.8786308,3293,-12.364354,22.2,4.2018593e-05,-1.1838927,1000.0,0.00028120974,0.0003,110806.37388590998,303000,92,2.9036939e-05
308,306900,4.3518383e-05,-1.8557471,3338,-3.8459532,22.0,3.779815e-05,-1.3851473,1000.0,0.0002717719,0.0003,109585.17187348,307000,91,5.89856e-05
312,310900,2.6658894e-05,-1.8632795,3382,3.3454356,21.9,2.4145831e-05,-2.4562879,1000.0,0.00026406883,0.0003,109241.64506417,311000,91,0.00013270372
316,314900,9.578573e-05,-1.8506336,3426,-6.1790485,21.7,5.568732e-05,-1.4559157,1000.0,0.0004394787,0.0003,108408.29503016002,315000,91,2.247117e-05
320,318900,3.5855177e-05,-1.8599021,3469,-8.828314,21.8,3.897671e-05,-2.202726,1000.0,0.0003935573,0.0003,108598.43448726,319000,91,8.088637e-06
324,322900,0.026472032,-1.8503757,3514,-6.411705,21.7,0.026382575,-0.8687649,1000.0,0.0005706346,0.0003,107971.53964180998,323000,91,7.401852e-05
328,326900,4.506603e-05,-1.821583,3558,12.310499,21.7,0.0001624932,-0.31177565,1000.0,0.00063449936,0.0003,108181.17757557999,327000,91,0.00020701507
332,330900,3.418357e-05,-1.8341032,3603,0.8663504,21.9,2.6299695e-05,-1.6089599,1000.0,0.0005565487,0.0003,109140.10896828,331000,91,1.6935575e-05
336,334900,0.0001116504,-1.8321469,3646,-2.746214,21.8,0.00015206597,-0.9622667,1000.0,0.00051252334,0.0003,108560.38412450999,335000,91,8.158822e-06
340,338900,6.511781e-05,-1.8179166,3690,1.6529592,21.8,6.381984e-05,-1.4710064,1000.0,0.00050682673,0.0003,108241.31377196003,339000,91,5.4298864e-05
344,342900,5.225276e-05,-1.8181136,3734,-5.468079,21.9,5.584803e-05,-1.2457632,1000.0,0.00035834775,0.0003,108539.22395562001,343000,91,4.1100062e-05
348,346900,1.8947565e-05,-1.844583,3778,1.003747,22.0,1.7124436e-05,-0.99342304,1000.0,0.0003781513,0.0003,109157.30027308996,347000,91,9.8379e-06
