fps,nupdates,policy_entropy,explained_variance,total_timesteps,value_loss,ep_reward_mean,ep_len_mean
283,53500,21.541717529296875,0.998385300161317,1070000,21.086406707763672,8622.52109273,1000.0
283,53600,21.569215774536133,-2.5434699058532715,1072000,443591.4375,8574.12160143,1000.0
283,53700,21.567232131958008,0.9876864403486252,1074000,88.11883544921875,8574.12160143,1000.0
283,53800,21.558055877685547,-0.11408352851867676,1076000,532418.0,8529.61180297,1000.0
283,53900,21.559059143066406,0.9936185600236058,1078000,70.66072082519531,8529.61180297,1000.0
283,54000,21.55094337463379,-24.67462921142578,1080000,618250.875,8429.185242000001,1000.0
283,54100,21.528135299682617,0.1254529356956482,1082000,31.369693756103516,8429.185242000001,1000.0
283,54200,21.500648498535156,-0.45131754875183105,1084000,456486.1875,8398.762782999998,1000.0
283,54300,21.49746322631836,-0.4328988790512085,1086000,45.54194641113281,8398.762782999998,1000.0
283,54400,21.49148178100586,0.07062286138534546,1088000,532934.1875,8363.45468735,1000.0
284,54500,21.485435485839844,0.9911389844492078,1090000,149.67599487304688,8363.45468735,1000.0
283,54600,21.47820472717285,-116.94371032714844,1092000,511495.84375,8279.232257110001,1000.0
284,54700,21.448450088500977,0.2999018430709839,1094000,106.6647720336914,8279.232257110001,1000.0
283,54800,21.44843292236328,-0.002976059913635254,1096000,717928.5,8238.256099650001,1000.0
284,54900,21.43134307861328,0.9976680257823318,1098000,57.53907012939453,8238.256099650001,1000.0
283,55000,21.440650939941406,-27.084365844726562,1100000,602788.5,8212.66441775,1000.0
284,55100,21.42632293701172,0.9741329289972782,1102000,83.42565155029297,8212.66441775,1000.0
283,55200,21.43282699584961,-13.695109367370605,1104000,669529.75,8154.608775320001,1000.0
284,55300,21.396181106567383,-0.4961686134338379,1106000,6.480308532714844,8154.608775320001,1000.0
283,55400,21.397361755371094,0.19485974311828613,1108000,732486.6875,8120.79404798,1000.0
284,55500,21.350419998168945,0.003250420093536377,1110000,9.874185562133789,8120.79404798,1000.0
283,55600,21.349300384521484,0.00016874074935913086,1112000,831796.0,8169.947061750001,1000.0
284,55700,21.337066650390625,0.9912990899756551,1114000,54.91656494140625,8169.947061750001,1000.0
283,55800,21.32513427734375,-31.654743194580078,1116000,734355.3125,8178.703728289999,1000.0
284,55900,21.31195831298828,0.9866318525746465,1118000,37.22996520996094,8178.703728289999,1000.0
283,56000,21.293615341186523,-18.639734268188477,1120000,781329.3125,8201.051210149999,1000.0
284,56100,21.31664276123047,0.9940595696680248,1122000,36.79694366455078,8201.051210149999,1000.0
283,56200,21.321674346923828,-5.514618396759033,1124000,812450.5,8269.395520260001,1000.0
284,56300,21.326950073242188,0.9352442994713783,1126000,74.64920806884766,8269.395520260001,1000.0
283,56400,21.323543548583984,-0.7224725484848022,1128000,46215.80859375,8079.84219194,1000.0
284,56500,21.32645034790039,-0.45696449279785156,1130000,14.506535530090332,8079.84219194,1000.0
283,56600,21.324108123779297,-0.39521896839141846,1132000,548140.8125,7873.4826023000005,1000.0
284,56700,21.266918182373047,-0.05622220039367676,1134000,184.38327026367188,7873.4826023000005,1000.0
283,56800,21.165218353271484,0.002705216407775879,1136000,930752.6875,7875.205834869999,1000.0
284,56900,21.156017303466797,0.16906386613845825,1138000,34.428123474121094,7875.205834869999,1000.0
283,57000,21.15315818786621,-0.082183837890625,1140000,784103.125,7858.134647570001,1000.0
284,57100,21.147663116455078,0.9981611926341429,1142000,50.03003692626953,7858.134647570001,1000.0
283,57200,21.170923233032227,-14.686607360839844,1144000,769432.625,7829.884343859998,1000.0
