total_timesteps,policy_entropy,fps,value_loss,nupdates,explained_variance,ep_len_mean,ep_reward_mean
699000,45.19354248046875,298,3893.171875,46600,-0.014439225196838379,1000.0,631.9609642099999
700500,45.300071716308594,299,0.0026906426064670086,46700,-0.049895405769348145,1000.0,631.9609642099999
702000,45.33502197265625,298,3805.62451171875,46800,-0.042153000831604004,1000.0,632.09586041
703500,45.400028228759766,299,0.023529112339019775,46900,-0.15388524532318115,1000.0,632.09586041
705000,45.462379455566406,298,3860.74609375,47000,-0.016474485397338867,1000.0,632.05506813
706500,45.49848556518555,299,0.009889783337712288,47100,0.20048737525939941,1000.0,632.05506813
708000,45.56508255004883,298,3820.8427734375,47200,0.03760957717895508,1000.0,631.9651106700001
709500,45.635032653808594,299,0.008913789875805378,47300,0.17300915718078613,1000.0,631.9651106700001
711000,45.653663635253906,298,3813.878173828125,47400,0.17257964611053467,1000.0,631.7226474
712500,45.68302917480469,299,0.021083999425172806,47500,0.12280762195587158,1000.0,631.7226474
714000,45.73664855957031,298,3830.9130859375,47600,-0.32201647758483887,1000.0,631.9269678600001
715500,45.808204650878906,299,0.007754975464195013,47700,0.06811290979385376,1000.0,631.9269678600001
717000,45.830970764160156,298,3713.99853515625,47800,0.06791359186172485,1000.0,631.9535283600001
718500,45.869361877441406,299,0.06146568804979324,47900,0.15796691179275513,1000.0,631.9535283600001
720000,45.9395751953125,298,3817.795654296875,48000,0.024269521236419678,1000.0,632.002365
721500,46.035118103027344,299,0.06867744028568268,48100,0.2882276177406311,1000.0,632.002365
723000,46.066322326660156,298,3855.63232421875,48200,-0.03970813751220703,1000.0,632.03890667
724500,46.134422302246094,299,0.002206080127507448,48300,-0.7476062774658203,1000.0,632.03890667
726000,46.19458770751953,298,3800.0791015625,48400,0.2552591562271118,1000.0,631.8960029499999
727500,46.25857925415039,299,0.011549782007932663,48500,-2.0854060649871826,1000.0,631.8960029499999
729000,46.332313537597656,298,3758.94189453125,48600,0.01882493495941162,1000.0,631.7915805099999
730500,46.36499786376953,299,0.01060094591230154,48700,0.2508748173713684,1000.0,631.7915805099999
732000,46.39599609375,298,3805.74169921875,48800,-0.0213240385055542,1000.0,631.67818366
733500,46.43472671508789,299,0.004299730062484741,48900,0.29307663440704346,1000.0,631.67818366
735000,46.51618576049805,298,3809.6005859375,49000,0.09770643711090088,1000.0,631.77190182
736500,46.581520080566406,299,0.0011264180066064,49100,0.2889784574508667,1000.0,631.77190182
