nupdates,policy_entropy,fps,total_timesteps,value_loss,explained_variance,ep_len_mean,ep_reward_mean
17600,21.84967803955078,285,616000,26733.7109375,0.001985013484954834,1000.0,1650.5991292400001
17700,21.946075439453125,286,619500,0.00802856869995594,-0.044165611267089844,1000.0,1650.5991292400001
17800,22.047550201416016,285,623000,26845.109375,0.0017088651657104492,1000.0,1650.814876
17900,22.184799194335938,286,626500,0.004503604955971241,-0.08691847324371338,1000.0,1650.814876
18000,22.288135528564453,286,630000,26716.4609375,0.004327952861785889,1000.0,1650.9046034399998
18100,22.35919952392578,286,633500,0.007717045024037361,0.12470674514770508,1000.0,1650.9046034399998
18200,22.493324279785156,286,637000,26896.5703125,-0.0005336999893188477,1000.0,1651.3362149700001
18300,22.571067810058594,286,640500,0.012152568437159061,-0.10483312606811523,1000.0,1651.3362149700001
18400,22.672687530517578,286,644000,26387.638671875,-0.00750732421875,1000.0,1651.5987918499998
18500,22.76435089111328,287,647500,0.035021889954805374,0.015804588794708252,1000.0,1651.5987918499998
18600,22.8569393157959,287,651000,26687.4609375,0.002574026584625244,1000.0,1651.8434481300003
18700,22.950613021850586,287,654500,0.006208588369190693,-0.11720788478851318,1000.0,1651.8434481300003
18800,23.059722900390625,287,658000,26683.58203125,-0.002123713493347168,1000.0,1652.0120815899998
18900,23.158315658569336,288,661500,0.005151179153472185,0.05080294609069824,1000.0,1652.0120815899998
19000,23.285980224609375,287,665000,26815.107421875,0.00028705596923828125,1000.0,1652.39270659
19100,23.40183448791504,288,668500,0.011290885508060455,0.07427138090133667,1000.0,1652.39270659
19200,23.474838256835938,288,672000,26396.740234375,0.004868566989898682,1000.0,1652.4577332800002
19300,23.546672821044922,288,675500,0.008808002807199955,0.02739328145980835,1000.0,1652.4577332800002
19400,23.610130310058594,288,679000,26643.37109375,-0.002573251724243164,1000.0,1652.1399548399997
19500,23.712858200073242,288,682500,0.010956915095448494,-0.015993237495422363,1000.0,1652.1399548399997
19600,23.811599731445312,288,686000,26619.046875,0.0020925402641296387,1000.0,1652.03502224
19700,23.902385711669922,289,689500,0.02403365634381771,-0.01342010498046875,1000.0,1652.03502224
19800,24.000852584838867,289,693000,26653.9609375,-0.0020700693130493164,1000.0,1651.95467134
19900,24.09330177307129,289,696500,0.005717149470001459,0.0017485618591308594,1000.0,1651.95467134
