total_timesteps,fps,nupdates,explained_variance,policy_loss,value_loss,policy_entropy,ep_len_mean,ep_reward_mean
606159,130,4300,0.0,-0.163054957985878,11085.4072265625,4.148612022399902,1001.0,10357.14185778
620259,130,4400,1.1920928955078125e-07,-0.13127031922340393,10411.9052734375,4.145259380340576,1001.0,10404.521422929998
634359,130,4500,0.0,-0.10416044294834137,11971.51953125,4.140334129333496,1001.0,10448.74258454
648459,130,4600,1.1920928955078125e-07,-0.05457260459661484,9359.767578125,4.136742115020752,1001.0,10499.87494444
662559,130,4700,1.1920928955078125e-07,-0.2060905545949936,10180.8203125,4.134627819061279,1001.0,10534.64569691
676659,130,4800,0.0,0.02369862049818039,11470.9453125,4.132306098937988,1001.0,10596.525060119999
690759,130,4900,5.960464477539063e-08,-0.200039803981781,11467.001953125,4.131050109863281,1001.0,10608.56797254
704859,130,5000,0.0,-0.10226704925298691,11097.7451171875,4.129397392272949,1001.0,10628.345100730001
718959,130,5100,0.0,-0.07281044870615005,11345.86328125,4.127353191375732,1001.0,10651.680467049999
733059,130,5200,5.960464477539063e-08,-0.2956222593784332,11727.404296875,4.125330924987793,1001.0,10682.605379789999
747159,131,5300,5.960464477539063e-08,-0.06263475865125656,11383.810546875,4.123969078063965,1001.0,10714.14637008
