fps,nupdates,value_loss,explained_variance,policy_entropy,policy_loss,total_timesteps,ep_reward_mean,ep_len_mean
299,3500,6061.3271484375,0.004683494567871094,9.996769905090332,-0.04768124967813492,493359,5448.852244889999,1000.0
299,3600,5413.43310546875,0.0010962486267089844,9.997802734375,-0.19009336829185486,507459,5523.14129511,1000.0
299,3700,5525.7373046875,0.0015840530395507812,10.00616455078125,-0.22534924745559692,521559,5629.72031549,1000.0
299,3800,4859.47900390625,-0.001706242561340332,10.012648582458496,-0.09791741520166397,535659,5769.6863470299995,1000.0
299,3900,4226.76806640625,5.412101745605469e-05,10.016026496887207,-0.20257949829101562,549759,5792.3228156000005,1000.0
300,4000,4500.0458984375,0.00010949373245239258,10.016103744506836,0.20565256476402283,563859,5853.5036845800005,1000.0
300,4100,9315.578125,0.0006003379821777344,10.018691062927246,-0.2634281516075134,577959,5999.73078861,1000.0
300,4200,4814.81884765625,0.00026673078536987305,10.02345085144043,-0.37643149495124817,592059,6097.36525624,1000.0
300,4300,6083.15966796875,0.0019982457160949707,10.027069091796875,-0.17389774322509766,606159,6194.94019647,1000.0
301,4400,5348.85498046875,5.7578086853027344e-05,10.030122756958008,-0.1432476043701172,620259,6384.0560522999995,1000.0
301,4500,5077.068359375,1.913309097290039e-05,10.032649040222168,-0.009570613503456116,634359,6554.105142740001,1000.0
301,4600,6836.83544921875,0.0002747774124145508,10.032881736755371,-0.028210386633872986,648459,6734.980445130001,1000.0
301,4700,6117.2802734375,0.00010251998901367188,10.037812232971191,-0.048336684703826904,662559,6922.47557018,1000.0
302,4800,7693.71337890625,0.0003304481506347656,10.042052268981934,-0.21488550305366516,676659,7100.085799029999,1000.0
302,4900,4723.482421875,6.67572021484375e-06,10.041716575622559,0.034775927662849426,690759,7256.996892470001,1000.0
302,5000,8124.46337890625,0.00028252601623535156,10.044413566589355,-0.05853515863418579,704859,7483.466820320001,1000.0
302,5100,5556.69921875,1.1563301086425781e-05,10.049745559692383,-0.057757530361413956,718959,7673.777362379999,1000.0
302,5200,4871.453125,3.653764724731445e-05,10.049956321716309,-0.15780524909496307,733059,7809.25646683,1000.0
302,5300,7858.06787109375,7.981061935424805e-05,10.051076889038086,-0.1864713728427887,747159,8008.62018195,1000.0
303,5400,7198.37744140625,6.0558319091796875e-05,10.054079055786133,-0.027878299355506897,761259,8150.080737029999,1000.0
303,5500,7113.30029296875,-1.3113021850585938e-05,10.057210922241211,0.018658868968486786,775359,8277.692169760001,1000.0
303,5600,6304.88525390625,5.900859832763672e-06,10.057756423950195,-0.1535167396068573,789459,8434.564314669999,1000.0
303,5700,7003.60546875,4.118680953979492e-05,10.063615798950195,-0.16942265629768372,803559,8612.30001551,1000.0
303,5800,7535.40380859375,-5.924701690673828e-05,10.065068244934082,0.1906655877828598,817659,8753.854728209999,1000.0
303,5900,7175.15380859375,0.00012302398681640625,10.06768798828125,-0.23817725479602814,831759,8928.412396200001,1000.0
304,6000,7491.2919921875,2.092123031616211e-05,10.069911003112793,-0.15603002905845642,845859,9055.997731970001,1000.0
304,6100,7353.49609375,0.0004988312721252441,10.070134162902832,-0.15696583688259125,859959,9207.95835733,1000.0
304,6200,8292.1875,4.309415817260742e-05,10.07148551940918,-0.20210063457489014,874059,9379.47922871,1000.0
304,6300,8027.10888671875,2.104043960571289e-05,10.07384204864502,-0.11210676282644272,888159,9484.122500840002,1000.0
304,6400,7115.35498046875,-5.125999450683594e-06,10.07745361328125,-0.0768672525882721,902259,9592.40365953,1000.0
304,6500,9227.7666015625,2.092123031616211e-05,10.080836296081543,-0.36804285645484924,916359,9662.98013291,1000.0
304,6600,8073.05712890625,8.344650268554688e-07,10.082712173461914,0.06980902701616287,930459,9746.88735017,1000.0
304,6700,9095.6103515625,3.522634506225586e-05,10.085637092590332,-0.2579095959663391,944559,9837.413499430002,1000.0
305,6800,8981.2880859375,1.6391277313232422e-05,10.088561058044434,-0.24910035729408264,958659,9924.280936099998,1000.0
305,6900,8890.6875,1.919269561767578e-05,10.090285301208496,-0.09370031952857971,972759,10009.78723267,1000.0
305,7000,9497.990234375,7.510185241699219e-06,10.091812133789062,-0.5274190306663513,986859,10169.972025389998,1000.0
305,7100,8705.4521484375,6.020069122314453e-06,10.095128059387207,-0.26333966851234436,1000959,10245.74930707,1000.0
