fps,total_timesteps,policy_entropy,nupdates,explained_variance,value_loss,ep_len_mean,ep_reward_mean
283,140000,9.50837230682373,4000,2.962350845336914e-05,10571.67578125,1000.0,5324.06284152
285,143500,9.487606048583984,4100,5.125999450683594e-06,9921.353515625,1000.0,5324.06284152
284,147000,9.458284378051758,4200,6.264448165893555e-05,11414.359375,1000.0,6358.91732512
285,150500,9.4142427444458,4300,7.450580596923828e-06,5650.345703125,1000.0,6358.91732512
285,154000,9.401172637939453,4400,9.059906005859375e-06,11694.1181640625,1000.0,7737.8854869
286,157500,9.404891014099121,4500,1.233816146850586e-05,4115.82763671875,1000.0,7737.8854869
285,161000,9.38167953491211,4600,-3.4928321838378906e-05,15488.5234375,1000.0,9053.09152064
287,164500,9.373385429382324,4700,-7.271766662597656e-06,11066.98046875,1000.0,9053.09152064
285,168000,9.370259284973145,4800,1.8477439880371094e-05,10766.6572265625,1000.0,10557.022367200001
287,171500,9.355376243591309,4900,-4.291534423828125e-06,20154.841796875,1000.0,10557.022367200001
285,175000,9.3107271194458,5000,1.1920928955078125e-07,18614.66796875,1000.0,11849.693084229999
287,178500,9.30646800994873,5100,-3.5762786865234375e-06,37370.0625,1000.0,11849.693084229999
286,182000,9.303472518920898,5200,8.344650268554688e-07,19596.4140625,1000.0,13415.1670429
287,185500,9.303227424621582,5300,-5.960464477539062e-07,18663.927734375,1000.0,13415.1670429
286,189000,9.302992820739746,5400,5.841255187988281e-06,16552.998046875,1000.0,14546.58045096
287,192500,9.271928787231445,5500,1.0907649993896484e-05,2527.11376953125,1000.0,14546.58045096
286,196000,9.269943237304688,5600,6.377696990966797e-06,14681.6552734375,1000.0,15843.660873669998
287,199500,9.229523658752441,5700,5.543231964111328e-06,6013.97412109375,1000.0,15843.660873669998
286,203000,9.231595039367676,5800,-2.5033950805664062e-06,22809.88671875,1000.0,17480.67284067
287,206500,9.226953506469727,5900,3.933906555175781e-06,52286.6171875,1000.0,17480.67284067
287,210000,9.172524452209473,6000,8.344650268554688e-07,20377.431640625,1000.0,18946.4848475
288,213500,9.154595375061035,6100,1.0073184967041016e-05,5900.2109375,1000.0,18946.4848475
287,217000,9.163649559020996,6200,1.4901161193847656e-06,17531.470703125,1000.0,20794.83539052
288,220500,9.132518768310547,6300,2.6226043701171875e-06,467.3090515136719,1000.0,20794.83539052
287,224000,9.112603187561035,6400,1.1920928955078125e-06,28202.42578125,1000.0,21794.41056752
288,227500,9.098686218261719,6500,-5.960464477539062e-07,65607.5546875,1000.0,21794.41056752
287,231000,9.057689666748047,6600,-1.9073486328125e-06,23432.662109375,1000.0,23137.22012602
288,234500,9.073349952697754,6700,-9.5367431640625e-07,10254.9111328125,1000.0,23137.22012602
288,238000,9.06922721862793,6800,3.5762786865234375e-07,28444.2421875,1000.0,24118.172494370003
288,241500,9.084259033203125,6900,-2.86102294921875e-06,5795.7724609375,1000.0,24118.172494370003
288,245000,9.074434280395508,7000,1.2516975402832031e-06,31278.986328125,1000.0,25169.00020542
288,248500,9.068387031555176,7100,2.0265579223632812e-06,16399.134765625,1000.0,25169.00020542
