explained_variance,fps,nupdates,total_timesteps,policy_loss,value_loss,policy_entropy,ep_len_mean,ep_reward_mean
-1.3808953762054443,83,1800,145719,0.09911766648292542,0.34512728452682495,4.257087230682373,1001.0,806.4581962899999
0.09535914659500122,83,1900,153819,0.06375245749950409,0.43451136350631714,4.2571187019348145,1001.0,806.1930289999998
-0.5032607316970825,83,2000,161919,0.00583885982632637,0.12653490900993347,4.2571563720703125,1001.0,806.1931797399999
-2.8676130771636963,83,2100,170019,-0.16926978528499603,0.12566345930099487,4.2571868896484375,1001.0,805.63225662
-1.3013958930969238,83,2200,178119,0.0210333950817585,0.3072039783000946,4.257206439971924,1001.0,807.37839366
-0.029914498329162598,83,2300,186219,-0.011252384632825851,1.8288326263427734,4.257213115692139,1001.0,796.2673792400003
-1.178192377090454,83,2400,194319,0.20427462458610535,0.2187075912952423,4.257243633270264,1001.0,781.16871914
-0.4032261371612549,83,2500,202419,-0.2168961465358734,0.15911594033241272,4.2572550773620605,1001.0,780.57087556
-0.18574106693267822,83,2600,210519,-0.24550633132457733,0.9823440313339233,4.257275104522705,1001.0,785.9548359099999
-3.216066360473633,83,2700,218619,0.06228496506810188,0.1869744509458542,4.257315158843994,1001.0,786.6559648300001
-0.028838038444519043,83,2800,226719,-0.0984453558921814,0.1722806692123413,4.257335186004639,1001.0,791.6349596900001
-3.76051664352417,83,2900,234819,0.2413795292377472,0.14152486622333527,4.257369041442871,1001.0,800.4563882599999
-0.7542164325714111,83,3000,242919,-0.06043130159378052,0.3349052965641022,4.257380962371826,1001.0,811.5498681
-0.6559585332870483,83,3100,251019,0.17217442393302917,0.3562661409378052,4.25740385055542,1001.0,813.7268203000001
-1.4867229461669922,83,3200,259119,-0.08540330827236176,0.15689094364643097,4.257426738739014,1001.0,810.26681796
-1.6597013473510742,83,3300,267219,-0.11570508033037186,0.07684020698070526,4.257439136505127,1001.0,814.66210784
-0.2691293954849243,83,3400,275319,-0.10706924647092819,0.05670718103647232,4.257449626922607,1001.0,823.9755719099999
-0.6976701021194458,83,3500,283419,0.2535287141799927,0.09540269523859024,4.257461071014404,1001.0,837.85645041
-1.5133047103881836,83,3600,291519,0.07337284088134766,0.1525205820798874,4.257483959197998,1001.0,844.5482454699999
-1.5875391960144043,83,3700,299619,-0.012922767549753189,0.07646029442548752,4.257513523101807,1001.0,836.23662909
-2.3332953453063965,83,3800,307719,0.05274827405810356,0.1397712528705597,4.257523059844971,1001.0,842.2740318900001
-0.7227708101272583,83,3900,315819,-0.0284716859459877,0.37192654609680176,4.257553577423096,1001.0,847.1292365200003
-1.0481750965118408,83,4000,323919,-0.14649571478366852,0.20292291045188904,4.257552146911621,1001.0,872.4021138299997
-10.603381156921387,83,4100,332019,0.04294350743293762,0.08984316885471344,4.257561206817627,1001.0,875.76429782
0.06590712070465088,83,4200,340119,-0.31503593921661377,0.38660961389541626,4.257595062255859,1001.0,865.7160274
0.19920247793197632,83,4300,348219,0.12695731222629547,0.09451492130756378,4.257622241973877,1001.0,873.3940945999999
-0.05654096603393555,83,4400,356319,-0.1656477153301239,0.8115566372871399,4.257615089416504,1001.0,863.17188837
-0.5193699598312378,83,4500,364419,-0.04309584200382233,0.07065078616142273,4.257632732391357,1001.0,857.4300242899999
-1.310267448425293,83,4600,372519,-0.22169259190559387,0.10809192806482315,4.257653713226318,1001.0,856.6257703199999
-2.842625617980957,83,4700,380619,-0.14523908495903015,0.08691506087779999,4.257686138153076,1001.0,849.30701924
-0.992224931716919,83,4800,388719,0.07490532100200653,0.2572093904018402,4.25767183303833,1001.0,849.9485907999999
-1.1520416736602783,83,4900,396819,-0.0614236481487751,0.13645508885383606,4.257667064666748,1001.0,844.3145887200001
-4.6334123611450195,83,5000,404919,-0.08308488130569458,0.11595859378576279,4.257656097412109,1001.0,855.3386799699999
-0.4131120443344116,83,5100,413019,-0.09964475780725479,0.11589670181274414,4.25766134262085,1001.0,856.82601724
-0.5653496980667114,83,5200,421119,0.18627674877643585,0.2667110860347748,4.257686138153076,1001.0,828.2184446300001
-0.9890486001968384,83,5300,429219,-0.08664712309837341,0.28577595949172974,4.257694244384766,1001.0,811.3546024600001
-1.2887682914733887,83,5400,437319,-0.13682404160499573,0.42991775274276733,4.25771427154541,1001.0,812.06732311
-0.29290568828582764,83,5500,445419,0.07501104474067688,0.5705537796020508,4.257733345031738,1001.0,792.4793808899999
-0.24235129356384277,83,5600,453519,0.07535165548324585,1.0126826763153076,4.257736682891846,1001.0,800.2440568099998
0.04204779863357544,83,5700,461619,0.03580249845981598,0.9365792274475098,4.257735729217529,1001.0,811.0723663299999
-0.30794286727905273,83,5800,469719,-0.0781567171216011,0.9938680529594421,4.257756233215332,1001.0,801.45510272
0.24496161937713623,83,5900,477819,0.2361852526664734,0.06663286685943604,4.257774829864502,1001.0,805.8918855200001
-0.21612894535064697,83,6000,485919,-0.13508692383766174,1.1795752048492432,4.257794380187988,1001.0,805.91209114
-0.4743388891220093,83,6100,494019,-0.11829906702041626,0.1065886840224266,4.257800102233887,1001.0,815.44664458
-8.7164945602417,83,6200,502119,-0.08174505829811096,0.14042843878269196,4.257805347442627,1001.0,820.3741605999999
