explained_variance,policy_entropy,total_timesteps,nupdates,value_loss,policy_loss,fps,ep_len_mean,ep_reward_mean
-9.72747802734375e-05,13.734302520751953,1691859,12000,3061.151611328125,-0.18894261121749878,204,1000.0,736.91157855
6.413459777832031e-05,13.723526000976562,1705959,12100,3089.782470703125,-0.1526705026626587,204,1000.0,761.4698799100001
2.9921531677246094e-05,13.71664810180664,1720059,12200,3090.196044921875,-0.28516605496406555,204,1000.0,792.2644584999999
-1.6450881958007812e-05,13.726436614990234,1734159,12300,3055.6708984375,-0.08823585510253906,204,1000.0,829.8780772000001
-1.9669532775878906e-05,13.75174331665039,1748259,12400,3139.181396484375,0.02398829162120819,205,1000.0,877.19969988
9.775161743164062e-06,13.745037078857422,1762359,12500,3142.18896484375,-0.03603336960077286,205,1000.0,931.91846093
5.900859832763672e-06,13.754776954650879,1776459,12600,3227.9287109375,-0.07488890737295151,205,1000.0,991.0717805000002
-0.0004457235336303711,13.734298706054688,1790559,12700,3174.565185546875,-0.045323170721530914,205,1000.0,1054.5256926499999
-1.049041748046875e-05,13.734024047851562,1804659,12800,3265.064453125,-0.28050100803375244,206,1000.0,1119.96191826
-2.384185791015625e-06,13.736235618591309,1818759,12900,3484.273193359375,0.16457296907901764,206,1000.0,1182.5344607
-6.973743438720703e-05,13.725190162658691,1832859,13000,3233.1455078125,-0.01594681292772293,206,1000.0,1242.7726105
3.7550926208496094e-06,13.736095428466797,1846959,13100,3503.3212890625,-0.20733045041561127,207,1000.0,1299.5937493400002
0.07254612445831299,13.755995750427246,1861059,13200,3836.032958984375,0.004857078194618225,207,1000.0,1352.9612531699997
-3.5762786865234375e-05,13.759125709533691,1875159,13300,3671.388916015625,-0.14951038360595703,207,1000.0,1393.3699762999997
-3.921985626220703e-05,13.764145851135254,1889259,13400,4015.99609375,0.031490668654441833,207,1000.0,1433.42538669
0.06259024143218994,13.771541595458984,1903359,13500,4244.14697265625,-0.06782650947570801,208,1000.0,1477.6733608499997
-0.8727831840515137,13.779827117919922,1917459,13600,3461.6181640625,-0.11996978521347046,208,1000.0,1505.85458309
0.006934821605682373,13.776667594909668,1931559,13700,4580.44921875,0.04921206831932068,208,1000.0,1552.6035173900004
0.00010025501251220703,13.789216041564941,1945659,13800,4846.12841796875,0.05128870904445648,209,1000.0,1603.1945267600001
-0.0005739927291870117,13.810805320739746,1959759,13900,4416.90673828125,-0.36402446031570435,209,1000.0,1661.3019496200002
-0.00023174285888671875,13.817414283752441,1973859,14000,4708.09130859375,0.032822057604789734,209,1000.0,1740.4349718900003
0.001474618911743164,13.822096824645996,1987959,14100,4826.38671875,-0.5603638887405396,210,1000.0,1820.80336562
-2.1457672119140625e-06,13.829975128173828,2002059,14200,4748.7783203125,-0.6446755528450012,210,1000.0,1896.25894562
