nupdates,value_loss,fps,policy_loss,policy_entropy,explained_variance,total_timesteps,ep_reward_mean,ep_len_mean
3600,0.000903439533431083,106,-0.18759065866470337,3.84358549118042,0.8821785300970078,291519,12926.43851728,1001.0
3700,0.000322307285387069,106,-0.06418432295322418,3.791673183441162,0.9323510006070137,299619,12973.15658457,1001.0
3800,0.00036271364660933614,106,-0.1401301622390747,3.787261486053467,0.9667110182344913,307719,13031.389706939999,1001.0
3900,0.0009140350157395005,106,0.12578481435775757,3.788984775543213,0.9185314401984215,315819,13071.094654339999,1001.0
4000,0.0005225204513408244,106,0.10712278634309769,3.7723681926727295,0.0269467830657959,323919,13109.655131149997,1001.0
4100,0.00048199304728768766,106,0.14940868318080902,3.737269878387451,0.9496400207281113,332019,13136.78293264,1001.0
4200,9.720696834847331e-05,106,0.02691110596060753,3.7467894554138184,0.9724703300744295,340119,13164.782207150001,1001.0
4300,0.000791852071415633,107,0.05995827168226242,3.7341079711914062,0.8875759690999985,348219,13179.463072659999,1001.0
4400,0.0006839350098744035,107,-0.07573504745960236,3.7196688652038574,0.46081292629241943,356319,13201.839465970004,1001.0
4500,0.0005796966142952442,107,-0.15300388634204865,3.702542543411255,-0.18675363063812256,364419,13231.041239010001,1001.0
4600,0.0008521050331182778,107,-0.09185289591550827,3.70135235786438,0.643942654132843,372519,13253.085986320002,1001.0
4700,0.0006122716004028916,107,0.10582387447357178,3.687835216522217,0.925723984837532,380619,13265.57497674,1001.0
4800,0.0008697663433849812,108,0.19031110405921936,3.6760177612304688,0.8756856098771095,388719,13301.482049240001,1001.0
4900,0.0002490417973604053,108,0.06793729215860367,3.609264850616455,-0.13008129596710205,396819,13308.667655460002,1001.0
5000,0.0005679223104380071,108,-0.08268098533153534,3.6279263496398926,0.924026295542717,404919,13292.370408709998,1001.0
5100,0.00037290446925908327,108,-0.0864209532737732,3.6530356407165527,0.8475054204463959,413019,13300.715500040002,1001.0
5200,0.0005704956129193306,108,-0.08083600550889969,3.6354432106018066,0.9405204020440578,421119,13307.7064123,1001.0
5300,0.0003022152523044497,108,-0.24977374076843262,3.60796856880188,0.9272861033678055,429219,13300.422630759998,1001.0
5400,0.0010010770056396723,109,-0.20081716775894165,3.610029697418213,0.7978103309869766,437319,13285.23131669,1001.0
5500,0.0004634785873349756,109,-0.1071656197309494,3.592437267303467,0.746405839920044,445419,13308.523409920002,1001.0
5600,0.0013066630344837904,109,0.21563759446144104,3.5757336616516113,-0.27388298511505127,453519,13313.144459209996,1001.0
5700,0.001992888282984495,109,-0.0710887759923935,3.5929782390594482,0.7737774550914764,461619,13319.407247359997,1001.0
5800,0.0011922377161681652,109,-0.11175587028265,3.5897650718688965,0.6985096037387848,469719,13326.30877597,1001.0
5900,0.0007502298103645444,109,-0.024033695459365845,3.6257107257843018,0.8269882947206497,477819,13351.111186569999,1001.0
6000,0.00044274586252868176,109,0.061947524547576904,3.6209359169006348,0.7100725471973419,485919,13373.476189830002,1001.0
6100,0.00026961867115460336,110,-0.19047170877456665,3.611645221710205,0.876454159617424,494019,13381.821114770002,1001.0
6200,0.0003155908198095858,110,-0.22129657864570618,3.5739121437072754,-0.07897746562957764,502119,13405.23064382,1001.0
6300,0.0002789467107504606,110,-0.392673134803772,3.576169490814209,0.8987538814544678,510219,13395.372696130002,1001.0
6400,0.0003013619570992887,110,-0.177860826253891,3.549417018890381,0.8934949114918709,518319,13388.679442849998,1001.0
6500,0.000579602550715208,110,0.09042780101299286,3.535409450531006,0.8798495233058929,526419,13399.054724799998,1001.0
6600,0.00034417223650962114,110,-0.10702532529830933,3.525358200073242,0.9394793175160885,534519,13397.284893250002,1001.0
6700,0.00044680284918285906,110,-0.15586285293102264,3.5255699157714844,0.9426261000335217,542619,13411.792443219998,1001.0
6800,0.00033362983958795667,110,0.10710154473781586,3.537987232208252,0.9603549316525459,550719,13428.210491780002,1001.0
6900,0.0004773197288159281,110,-0.037817131727933884,3.547576427459717,0.45066773891448975,558819,13437.8447644,1001.0
