total_timesteps,explained_variance,fps,value_loss,nupdates,policy_loss,policy_entropy,ep_len_mean,ep_reward_mean
747159,-5.2447991371154785,207,888.6124877929688,5300,-0.3264825642108917,11.76642894744873,1000.0,563.77422741
761259,0.3389420509338379,207,1596.1907958984375,5400,-0.19158460199832916,11.783350944519043,1000.0,578.87690793
775359,-5.607959747314453,207,562.2249755859375,5500,-0.328101247549057,11.793427467346191,1000.0,583.6934705
789459,0.3989083170890808,207,1270.3572998046875,5600,-0.16488152742385864,11.804829597473145,1000.0,584.3897625
803559,-5.5363569259643555,207,851.9154663085938,5700,-0.0057369619607925415,11.813319206237793,1000.0,573.5404557799999
817659,-120.29015350341797,207,710.8973388671875,5800,-0.17333261668682098,11.824671745300293,1000.0,588.6542622200001
831759,-9.91513442993164,207,1155.56884765625,5900,-0.1969471573829651,11.847651481628418,1000.0,605.98578207
845859,-145.53846740722656,207,645.5339965820312,6000,-0.3031609356403351,11.848994255065918,1000.0,611.4445868299999
859959,0.004662752151489258,206,316.608154296875,6100,-0.20244234800338745,11.910004615783691,1000.0,614.2538424300001
874059,-143.29383850097656,206,673.1734008789062,6200,-0.1602334976196289,11.926116943359375,1000.0,624.15046538
888159,0.38748103380203247,206,1683.8565673828125,6300,-0.28910699486732483,11.933456420898438,1000.0,634.07477141
902259,-2.8013036251068115,206,2021.755859375,6400,-0.1257742941379547,11.93860912322998,1000.0,661.43083995
916359,-125.81824493408203,206,705.5817260742188,6500,-0.35557717084884644,11.943267822265625,1000.0,681.67051145
930459,0.18074703216552734,206,1898.9359130859375,6600,-0.2676483690738678,11.947521209716797,1000.0,709.2223395499999
944559,-2.501336097717285,206,1451.662109375,6700,-0.15638279914855957,11.944579124450684,1000.0,733.6111422
958659,-5.0140299797058105,207,1941.234619140625,6800,-0.28312191367149353,11.948183059692383,1000.0,798.0485640200001
972759,-0.8555464744567871,207,1038.0858154296875,6900,-0.11269126087427139,11.953068733215332,1000.0,828.6951388699999
986859,-1.6887118816375732,207,703.6333618164062,7000,-0.009982921183109283,11.967961311340332,1000.0,850.2726493099998
1000959,-0.003233790397644043,207,350.62158203125,7100,-0.1973068118095398,11.976424217224121,1000.0,848.3737662699999
1015059,0.2979823350906372,207,1497.712646484375,7200,-0.20475250482559204,11.980326652526855,1000.0,894.80063688
1029159,-16.79842758178711,207,2011.533447265625,7300,0.030187256634235382,11.987544059753418,1000.0,926.77226233
1043259,-3.2534074783325195,207,1337.7099609375,7400,-0.20020151138305664,12.026530265808105,1000.0,910.6329186099999
1057359,-138.6335906982422,207,822.8250122070312,7500,0.0729966089129448,12.034043312072754,1000.0,927.0525042300001
1071459,-12.522363662719727,207,1556.9105224609375,7600,-0.3391038477420807,12.038835525512695,1000.0,933.5246881000002
1085559,-115.37554168701172,207,2374.108154296875,7700,-0.09858810156583786,12.05074691772461,1000.0,979.90666242
1099659,-4.43975830078125,207,878.6852416992188,7800,-0.06085292622447014,12.068385124206543,1000.0,1016.9879939800002
1113759,-3.957498550415039,207,1302.8165283203125,7900,-0.21642540395259857,12.078413963317871,1000.0,1006.9630556300002
1127859,-1.9681487083435059,207,2307.7548828125,8000,-0.2043592780828476,12.082697868347168,1000.0,1006.0455788299998
1141959,-0.7512682676315308,207,1780.6488037109375,8100,-0.3083668351173401,12.088394165039062,1000.0,1053.59728449
1156059,-0.17903292179107666,207,1805.7093505859375,8200,-0.16301177442073822,12.093489646911621,1000.0,1079.57626422
1170159,-0.7097876071929932,208,2924.715087890625,8300,-0.024020478129386902,12.103367805480957,1000.0,1149.04254795
1184259,0.1073409914970398,208,3927.784423828125,8400,-0.2300773561000824,12.102086067199707,1000.0,1265.2995093700001
1198359,-0.6035799980163574,209,3140.37451171875,8500,-0.018274791538715363,12.107925415039062,1000.0,1391.9732398200001
1212459,-0.38997209072113037,209,4689.3701171875,8600,-0.1077154204249382,12.116010665893555,1000.0,1549.3374599499998
1226559,-0.10042417049407959,209,3678.2080078125,8700,-0.14115279912948608,12.12183952331543,1000.0,1675.48486541
1240659,-0.042668700218200684,210,3483.341064453125,8800,-0.4212469160556793,12.124162673950195,1000.0,1930.6954697300005
1254759,0.40879732370376587,210,2196.3720703125,8900,0.11399935930967331,12.131715774536133,1000.0,2159.79823694
1268859,0.11979252099990845,210,4767.6591796875,9000,-0.13881459832191467,12.133086204528809,1000.0,2368.0321166400004
1282959,-1.4830317497253418,211,5866.89013671875,9100,-0.19034533202648163,12.136677742004395,1000.0,2532.122864160001
1297059,0.40012550354003906,211,2821.76025390625,9200,0.15004831552505493,12.139954566955566,1000.0,2821.67819472
1311159,0.3064897060394287,212,5461.37841796875,9300,-0.3317483365535736,12.142545700073242,1000.0,2979.07009243
1325259,0.3525020480155945,212,2903.746337890625,9400,-0.16046473383903503,12.14561939239502,1000.0,3122.8250721699997
