fps,explained_variance,policy_entropy,total_timesteps,value_loss,nupdates,ep_reward_mean,ep_len_mean
166,0.034226179122924805,13.190322875976562,143000,1236.15283203125,2200,206.03397003999999,500.0
166,0.05330294370651245,13.243203163146973,149500,1434.4910888671875,2300,207.91362265,500.0
166,-1.9609687328338623,13.2335205078125,156000,1767.342529296875,2400,222.55110704999998,500.0
166,-0.001348733901977539,13.291364669799805,162500,1619.64404296875,2500,220.30528859000006,500.0
166,0.07718271017074585,13.385808944702148,169000,1750.65771484375,2600,230.10558487999998,500.0
166,-14.51805591583252,13.387404441833496,175500,1758.5113525390625,2700,234.24190346,500.0
166,-2.0438501834869385,13.341787338256836,182000,2335.988037109375,2800,251.92548987,500.0
167,0.2665642499923706,13.368842124938965,188500,2849.489990234375,2900,271.45449343999996,500.0
167,-0.09521794319152832,13.374910354614258,195000,3163.99755859375,3000,289.80975759999995,500.0
167,-7.7261762619018555,13.399275779724121,201500,2421.455322265625,3100,294.00970313,500.0
167,-1.9498677253723145,13.416245460510254,208000,3354.43603515625,3200,304.1618065,500.0
167,-1.249276876449585,13.423895835876465,214500,3755.5869140625,3300,330.25067504000003,500.0
167,-14.410181045532227,13.397981643676758,221000,3849.56201171875,3400,350.80170815,500.0
167,-0.30047428607940674,13.418341636657715,227500,4387.67578125,3500,361.21391858000004,500.0
167,-0.5825228691101074,13.399771690368652,234000,4904.20166015625,3600,370.58770489999995,500.0
167,-0.0024794340133666992,13.409650802612305,240500,5475.17529296875,3700,407.78501327999993,500.0
167,0.06479591131210327,13.408012390136719,247000,5793.23095703125,3800,447.96902578000015,500.0
167,-0.19201946258544922,13.421454429626465,253500,6592.4755859375,3900,497.74524483,500.0
167,0.019238770008087158,13.426435470581055,260000,6920.1533203125,4000,524.22209437,500.0
167,0.011715412139892578,13.370367050170898,266500,7658.76708984375,4100,559.8619785399999,500.0
167,0.010137975215911865,13.363845825195312,273000,8058.13623046875,4200,587.16658589,500.0
167,0.02280503511428833,13.354753494262695,279500,8811.7021484375,4300,637.3349722200002,500.0
168,0.042299091815948486,13.357282638549805,286000,9237.0703125,4400,697.4504102400001,500.0
168,0.04129493236541748,13.351274490356445,292500,10054.365234375,4500,729.2880586599999,500.0
168,-0.9657469987869263,13.331003189086914,299000,8873.0234375,4600,859.37465698,500.0
168,0.0835646390914917,13.359701156616211,305500,10671.1162109375,4700,865.36583981,500.0
168,-0.02456080913543701,13.35279655456543,312000,10333.59375,4800,864.7313829500001,500.0
168,-0.04054880142211914,13.322128295898438,318500,11407.96484375,4900,890.9414990800001,500.0
168,-0.33235061168670654,13.287752151489258,325000,11664.189453125,5000,901.35363418,500.0
168,-0.575173020362854,13.251608848571777,331500,11921.6494140625,5100,912.8012211399999,500.0
168,0.0933639407157898,13.270577430725098,338000,13460.806640625,5200,880.7416534300002,500.0
168,0.026013851165771484,13.339858055114746,344500,14541.6318359375,5300,839.32106751,500.0
168,0.028104424476623535,13.310623168945312,351000,15325.90234375,5400,839.9039303700001,500.0
168,0.2105729579925537,13.263840675354004,357500,15547.5849609375,5500,953.6264160400001,500.0
168,0.06301242113113403,13.230254173278809,364000,16635.888671875,5600,1050.45563645,500.0
168,0.014794230461120605,13.203415870666504,370500,17355.75,5700,1081.7313164299999,500.0
169,0.09112316370010376,13.197160720825195,377000,17953.125,5800,1157.5538496199997,500.0
169,-4.273382663726807,13.178573608398438,383500,15158.15625,5900,1267.15566494,500.0
