value_loss,nupdates,policy_entropy,total_timesteps,fps,explained_variance,ep_len_mean,ep_reward_mean
2441.084228515625,2400,9.621524810791016,84000,299,-0.00013017654418945312,1000.0,1631.9617150357142
268.1478271484375,2500,9.588890075683594,87500,301,0.0003209114074707031,1000.0,1631.9617150357142
3540.709228515625,2600,9.593786239624023,91000,299,-9.131431579589844e-05,1000.0,1900.1757700769233
235.0477752685547,2700,9.605077743530273,94500,301,0.0001946091651916504,1000.0,1900.1757700769233
4466.8330078125,2800,9.590818405151367,98000,298,0.0003618001937866211,1000.0,2092.592287612245
193.99974060058594,2900,9.574073791503906,101500,300,-4.5418739318847656e-05,1000.0,2092.592287612245
4397.0859375,3000,9.5633544921875,105000,297,1.2636184692382812e-05,1000.0,2414.88228596
583.3487548828125,3100,9.56876277923584,108500,299,8.404254913330078e-05,1000.0,2414.88228596
6176.0361328125,3200,9.530613899230957,112000,297,-2.9802322387695312e-06,1000.0,2853.31931687
699.5624389648438,3300,9.47447395324707,115500,298,4.351139068603516e-06,1000.0,2853.31931687
6620.67431640625,3400,9.471268653869629,119000,296,1.0192394256591797e-05,1000.0,3260.92479513
29.37645721435547,3500,9.456892013549805,122500,297,0.008605420589447021,1000.0,3260.92479513
11152.7666015625,3600,9.460636138916016,126000,295,-0.00020551681518554688,1000.0,3560.0062180699997
4302.51806640625,3700,9.430063247680664,129500,297,6.175041198730469e-05,1000.0,3560.0062180699997
11264.740234375,3800,9.371783256530762,133000,294,-1.0132789611816406e-05,1000.0,4010.645431470001
4844.5830078125,3900,9.327606201171875,136500,296,-9.298324584960938e-06,1000.0,4010.645431470001
10870.8310546875,4000,9.320277214050293,140000,294,-4.291534423828125e-06,1000.0,4521.00280183
788.6375122070312,4100,9.316817283630371,143500,296,0.0005972981452941895,1000.0,4521.00280183
13823.794921875,4200,9.318596839904785,147000,294,0.00013059377670288086,1000.0,4968.547499980001
632.3906860351562,4300,9.305316925048828,150500,296,0.0002034306526184082,1000.0,4968.547499980001
16191.021484375,4400,9.275110244750977,154000,294,0.00020813941955566406,1000.0,5358.99822138
566.3172607421875,4500,9.233880996704102,157500,295,-9.906291961669922e-05,1000.0,5358.99822138
18877.990234375,4600,9.222333908081055,161000,294,0.001371622085571289,1000.0,5925.605031569999
3021.774658203125,4700,9.211773872375488,164500,295,-0.00031375885009765625,1000.0,5925.605031569999
17944.798828125,4800,9.205230712890625,168000,293,0.0004994869232177734,1000.0,6482.6118614
986.5164184570312,4900,9.174545288085938,171500,294,6.973743438720703e-05,1000.0,6482.6118614
16095.0322265625,5000,9.141752243041992,175000,291,1.4662742614746094e-05,1000.0,7113.94119388
4491.39501953125,5100,9.121744155883789,178500,292,-9.655952453613281e-06,1000.0,7113.94119388
21477.345703125,5200,9.130099296569824,182000,290,1.8835067749023438e-05,1000.0,7935.053371859998
10579.689453125,5300,9.096684455871582,185500,290,1.2099742889404297e-05,1000.0,7935.053371859998
21605.943359375,5400,9.057053565979004,189000,288,-1.1920928955078125e-06,1000.0,8736.41361478
3889.86572265625,5500,9.03085708618164,192500,288,2.2470951080322266e-05,1000.0,8736.41361478
26324.79296875,5600,8.992980003356934,196000,285,-2.1576881408691406e-05,1000.0,9837.31463558
16886.88671875,5700,9.015264511108398,199500,285,2.86102294921875e-06,1000.0,9837.31463558
21370.322265625,5800,9.021644592285156,203000,283,8.881092071533203e-06,1000.0,10796.13694304
1922.4412841796875,5900,9.009410858154297,206500,283,3.230571746826172e-05,1000.0,10796.13694304
22137.091796875,6000,8.959677696228027,210000,281,3.933906555175781e-06,1000.0,11956.022515940003
1783.3509521484375,6100,8.984206199645996,213500,282,4.184246063232422e-05,1000.0,11956.022515940003
32567.853515625,6200,8.9805326461792,217000,280,8.046627044677734e-06,1000.0,12937.329351950002
12979.16015625,6300,8.956640243530273,220500,280,8.463859558105469e-06,1000.0,12937.329351950002
