time_elapsed,total_timesteps,explained_variance,policy_loss,fps,clipfrac,serial_timesteps,approxkl,value_loss,policy_entropy,n_updates,ep_reward_mean,ep_len_mean
219.5474557876587,60032,0.07023781538009644,-0.0035964283,343,0.013950894,8576,0.002033648,0.050800845,9.905139,67,2290.2713527857145,1000.0
222.1546790599823,60928,0.06513279676437378,-0.0063171196,326,0.07728794,8704,0.0058005108,0.064376265,9.900477,68,2290.2713527857145,1000.0
224.90011167526245,61824,0.10870867967605591,-0.0019247617,281,0.015625,8832,0.0020913081,0.031839408,9.896097,69,2290.2713527857145,1000.0
228.08951234817505,62720,0.06284177303314209,-0.0049080406,316,0.03766741,8960,0.003584154,0.04548097,9.895753,70,2290.2713527857145,1000.0
230.9177703857422,63616,-0.017496109008789062,-0.002515307,107,0.010044644,9088,0.001603412,0.3614786,9.893842,71,2678.2366730793647,1000.0
239.23063039779663,64512,0.014501333236694336,-0.0026475778,299,0.012276786,9216,0.002011008,0.014825713,9.896298,72,2678.2366730793647,1000.0
242.22072505950928,65408,0.021025002002716064,-0.0030479715,286,0.016183037,9344,0.0021896097,0.025836352,9.900752,73,2678.2366730793647,1000.0
245.34842801094055,66304,0.051667869091033936,-0.0039208685,298,0.039620534,9472,0.0037552223,0.021986645,9.903371,74,2678.2366730793647,1000.0
248.3550980091095,67200,0.08425748348236084,-0.0024131117,309,0.0066964286,9600,0.0014766061,0.019348063,9.901289,75,2678.2366730793647,1000.0
251.25099349021912,68096,0.1477711796760559,-0.010076255,282,0.0890067,9728,0.0060284827,0.022254072,9.901916,76,2678.2366730793647,1000.0
254.42489194869995,68992,0.06925374269485474,-0.006979515,341,0.08872768,9856,0.006184058,0.044154953,9.904923,77,2678.2366730793647,1000.0
257.0528702735901,69888,0.11548030376434326,-0.008090901,273,0.05998884,9984,0.004383588,0.027607538,9.903324,78,2678.2366730793647,1000.0
260.32466769218445,70784,0.023828506469726562,-0.0027465657,106,0.006975447,10112,0.0015125321,0.29331183,9.90106,79,3019.082783414286,1000.0
268.7677307128906,71680,0.045102059841156006,-0.0058073984,270,0.04017857,10240,0.0037301686,0.042163108,9.899208,80,3019.082783414286,1000.0
272.0787899494171,72576,0.09581601619720459,-0.008033823,259,0.06975447,10368,0.0050602322,0.057223827,9.895106,81,3019.082783414286,1000.0
275.5349876880646,73472,0.11093699932098389,-0.0067998082,287,0.067522325,10496,0.00522776,0.044421263,9.8908415,82,3019.082783414286,1000.0
278.656347990036,74368,0.12702161073684692,-0.007975706,257,0.07784598,10624,0.0056751305,0.050981265,9.889798,83,3019.082783414286,1000.0
282.13628673553467,75264,0.08824032545089722,-0.0029841969,285,0.021763394,10752,0.0024274918,0.06292587,9.888872,84,3019.082783414286,1000.0
285.2780613899231,76160,0.07221657037734985,-0.0034659174,328,0.032366075,10880,0.003315442,0.05848879,9.886527,85,3019.082783414286,1000.0
288.0077850818634,77056,-0.043530941009521484,-0.0015511131,112,0.0053013396,11008,0.0012662335,0.49231064,9.887661,86,3590.0413042987016,1000.0
